"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,30,62500,62500,62500,62500,62500,62500,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,57501.4666666667,57461.0666666667,57539.4666666667,57493.7,57454.8333333333,57535.5,143,140.5,146,100.366666666667,99.3,101.466666666667,0,0,0,0,0,0,0,0,0,43,40.2666666666667,45.8333333333333,0.366666666666667,-0.8,1.43333333333333,0,0,0
20,30,55322.5333333333,55177.8333333333,55456.9333333333,57493.9666666667,57430.7,57559.1,240.466666666667,235.033333333333,245.666666666667,108.933333333333,107.566666666667,110.333333333333,0,0,0,0,0,0,0,0,0,68.2858906628467,65.6381776283947,71.0838738341501,8.55890940719467,7.55368895711526,9.4775148862979,0,0,0
30,30,50518.2,50238,50764.0333333333,57073.0333333333,57000.7333333333,57141.7,399.066666666667,390.766666666667,407.6,118,116,120.033333333333,0,0,0,0,0,0,0,0,0,65.9893720057349,64.3810195048473,67.5743419053825,8.3091546338536,7.20778687794034,9.49255875551234,0,0,0
40,30,42590.2333333333,42145.6333333333,43068.1333333333,56597.3333333333,56472.8333333333,56705.2666666667,672.8,657.333333333333,690.066666666667,128.233333333333,126.233333333333,130.366666666667,0,0,0,0,0,0,0,0,0,68.5717352091849,67.3154238081776,69.8101494358662,8.71507502013689,7.69536575829904,9.68788119371501,0,0,0
50,30,29544.1333333333,28785.5,30296.6333333333,56083.7666666667,55971.1,56200.5666666667,1114,1087.96666666667,1141.06666666667,140.133333333333,137.3,143.066666666667,0,0,0,0,0,0,0,0,0,65.5807514675058,64.3235076071659,66.6821866503067,9.28811586211371,7.97177850670337,10.5281404838088,0,0,0
60,30,13041.1333333333,12212.7666666667,13813.7333333333,55496.9333333333,55340.8,55643.6,1634.6,1610.03333333333,1658.3,152.666666666667,148.933333333333,155.933333333333,0,0,0,0,0,0,0,0,0,47.0562598348413,45.2567950915445,48.9680586467296,8.8815725346506,7.95262339952162,9.66390181126161,0,0,0
70,30,3383.93333333333,3099.2,3687.23333333333,54885.6333333333,54683.2,55085.2666666667,1847.03333333333,1834.23333333333,1859.5,167.566666666667,162.8,172.3,0,0,0,0,0,0,0,0,0,13.2013792055006,11.0966228075624,15.077693991914,9.72078169451607,8.69282815446547,10.7864061874204,0,0,0
80,30,1488.03333333333,1408.83333333333,1573.26666666667,54111.4666666667,53848.7,54350.7333333333,1761.86666666667,1746.83333333333,1774.26666666667,182.533333333333,177.366666666667,187.9,0,0,0,0,0,0,0,0,0,-4.56292424519503,-5.73602313498153,-3.50145508083483,8.95289393961719,8.02878736390351,9.85269688975242,0,0,0
90,30,1870.36666666667,1747.5,2001.13333333333,53366.1333333333,53093.2333333333,53633.5333333333,1752.2,1737.56666666667,1766.46666666667,198.1,192.5,203.4,0,0,0,0,0,0,0,0,0,-0.472671451294539,-1.77313319453186,0.882144888317447,8.56622174474409,7.58565063158872,9.4850819721451,0,0,0
