"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,62500,62500,100,100,0,0,0,0,0,0
1,10,57387,57539,143,547,0,0,0,43,447,0
1,20,55362,35329,234,3294,0,0,0,63.6363636363636,502.193784277879,0
1,30,50672,45,406,344,0,0,0,73.5042735042735,-89.5567698846387,0
1,40,42493,45275,677,2401,0,0,0,66.7487684729064,597.96511627907,0
1,50,28826,232,1156,1023,0,0,0,70.7533234859675,-57.3927530195752,0
1,60,11323,16196,1701,5145,0,0,0,47.1453287197232,402.932551319648,0
1,70,2832,0,1865,97,0,0,0,9.6413874191652,-98.1146744412051,0
1,80,1567,57593,1713,667,0,0,0,-8.15013404825737,587.628865979381,0
1,90,2102,29898,1817,3782,0,0,0,6.07122008172796,467.016491754123,0
1,100,2090,36,1695,198,0,0,0,-6.71436433681893,-94.7646747752512,0
1,110,2486,52564,1721,1541,0,0,0,1.53392330383481,678.282828282828,0
1,120,3065,4986,1706,3392,0,0,0,-0.871586287042417,120.116807268008,0
1,130,2438,0,1705,336,0,0,0,-0.0586166471277843,-90.0943396226415,0
1,140,2297,45847,1744,2313,0,0,0,2.28739002932551,588.392857142857,0
1,150,2345,773,1705,1314,0,0,0,-2.23623853211009,-43.1906614785992,0
1,160,2315,7277,1772,5292,0,0,0,3.92961876832845,302.739726027397,0
1,170,1781,0,1666,84,0,0,0,-5.98194130925508,-98.4126984126984,0
1,180,2470,58271,1741,607,0,0,0,4.50180072028812,622.619047619048,0
1,190,2069,32413,1779,3486,0,0,0,2.18265364732912,474.299835255354,0
1,200,1467,22,1747,332,0,0,0,-1.79876335019674,-90.4761904761905,0
1,210,2414,46563,1507,2142,27,3,66,-13.7378362907842,545.180722891566,0
1,220,4762,1320,1734,1652,10,17,98,15.0630391506304,-22.8758169934641,48.4848484848485
1,230,2493,5285,1626,3544,22,19,155,-6.22837370242215,114.52784503632,58.1632653061224
1,240,4067,120,1637,530,18,57,261,0.676506765067651,-85.0451467268623,68.3870967741936
1,250,5174,40061,1488,2243,42,14,292,-9.10201588271228,323.207547169811,11.8773946360153
1,260,6714,713,1510,1541,45,61,434,1.47849462365591,-31.2973695942934,48.6301369863014
1,270,9523,10067,1178,3375,49,56,486,-21.9867549668874,119.013627514601,11.9815668202765
1,280,19135,161,992,369,42,137,766,-15.7894736842105,-89.0666666666667,57.6131687242798
1,290,30771,50666,581,799,52,12,387,-41.4314516129032,116.531165311653,-49.4778067885117
1,300,40637,30886,518,2684,25,30,204,-10.8433734939759,235.919899874844,-47.2868217054264
1,310,38770,206,667,780,15,57,257,28.7644787644788,-70.9388971684054,25.9803921568627
1,320,33948,29323,767,3713,17,16,154,14.9925037481259,376.025641025641,-40.0778210116732
1,330,27368,1,1084,272,14,61,247,41.3298565840939,-92.6743872879074,60.3896103896104
1,340,17642,50968,1194,1167,32,9,164,10.1476014760148,329.044117647059,-33.6032388663968
1,350,12554,15281,1472,4050,23,22,180,23.2830820770519,247.043701799486,9.75609756097561
1,360,6723,6,1630,187,21,80,347,10.7336956521739,-95.3827160493827,92.7777777777778
1,370,6617,54565,1327,826,51,5,307,-18.5889570552147,341.711229946524,-11.5273775216138
1,380,12062,29052,1247,3134,39,26,285,-6.02863602110023,279.418886198547,-7.16612377850163
1,390,12512,171,1394,387,27,77,492,11.7882919005613,-87.6515634971283,72.6315789473684
1,400,14486,47900,997,1449,57,16,327,-28.4791965566715,274.418604651163,-33.5365853658537
1,410,22490,9200,986,3382,30,45,347,-1.10330992978937,133.402346445825,6.11620795107034
1,420,22826,18,1031,275,26,91,558,4.56389452332657,-91.8687167356594,60.806916426513
1,430,26112,52886,737,809,41,10,298,-28.5160038797284,194.181818181818,-46.594982078853
1,440,32022,29939,779,2959,20,22,167,5.69877883310719,265.760197775031,-43.9597315436242
1,450,27229,216,1036,665,13,46,227,32.9910141206675,-77.5261912808381,35.9281437125749
1,460,20346,33760,1159,3150,20,10,176,11.8725868725869,373.684210526316,-22.4669603524229
1,470,14498,27,1428,399,24,45,289,23.2096635030198,-87.3333333333333,64.2045454545455
1,480,9196,46323,1390,1766,40,11,252,-2.66106442577031,342.606516290727,-12.80276816609
1,490,8891,3893,1470,2667,31,54,327,5.75539568345324,51.0192525481314,29.7619047619048
1,500,8383,352,1360,870,39,77,514,-7.48299319727891,-67.3790776152981,57.1865443425076
1,510,13979,30553,1058,2961,61,23,455,-22.2058823529412,240.344827586207,-11.4785992217899
1,520,22156,368,934,426,38,105,686,-11.7202268431002,-85.612968591692,50.7692307692308
1,530,31463,48536,570,990,50,17,298,-38.9721627408994,132.394366197183,-56.5597667638484
1,540,39644,23241,545,3428,14,25,180,-4.3859649122807,246.262626262626,-39.5973154362416
1,550,37242,18,764,338,10,49,245,40.1834862385321,-90.1400233372229,36.1111111111111
1,560,30673,48154,856,1479,19,12,134,12.0418848167539,337.573964497041,-45.3061224489796
1,570,23651,6151,1173,3867,9,23,143,37.0327102803738,161.460446247464,6.71641791044776
1,580,12384,0,1529,201,19,48,263,30.3495311167945,-94.8021722265322,83.9160839160839
1,590,8078,54001,1396,964,40,2,221,-8.69849574885546,379.601990049751,-15.9695817490494
1,600,9141,22079,1425,3749,40,29,215,2.07736389684814,288.900414937759,-2.71493212669683
1,610,8610,17,1511,340,29,68,355,6.03508771929825,-90.9309149106428,65.1162790697674
1,620,8723,48471,1304,1309,58,7,302,-13.699536730642,285,-14.9295774647887
1,630,12051,12397,1287,3881,35,41,309,-1.30368098159509,196.485867074102,2.31788079470199
1,640,12102,1,1375,146,30,105,532,6.83760683760684,-96.2380829683071,72.168284789644
1,650,15740,57192,956,481,60,7,392,-30.4727272727273,229.452054794521,-26.3157894736842
1,660,25378,43868,899,1768,44,14,218,-5.96234309623431,267.567567567568,-44.3877551020408
