"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,30,62500,62500,62500,62500,62500,62500,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,57500.4,57465.3666666667,57534.1,57517.4,57478.9333333333,57553.0333333333,142.933333333333,140.033333333333,145.766666666667,236.933333333333,230.633333333333,243.833333333333,0,0,0,0,0,0,0,0,0,42.9333333333333,40.3,45.6333333333333,136.933333333333,130.366666666667,144.133333333333,0,0,0
20,30,55362.6666666667,55225.3666666667,55506.7333333333,50645.8,50275.7,50978.3,238.766666666667,233.933333333333,243.7,655.733333333333,634.2,678,0,0,0,0,0,0,0,0,0,67.1685323908835,64.4807103923826,69.6884085103513,176.842169458152,172.088361236749,181.380622227739,0,0,0
30,30,50551.5,50325.4,50779.8666666667,30189.3666666667,29305.8333333333,31165.3333333333,403.3,395.5,411.166666666667,1727.9,1681.43333333333,1775.2,0,0,0,0,0,0,0,0,0,69.0945954692108,66.6927586443534,71.4514118966156,163.988990388965,160.446333312529,167.614248671491,0,0,0
40,30,42367.2666666667,41970.4666666667,42758.2,3009.3,2588.56666666667,3464.33333333333,679.666666666667,665.133333333333,693.1,1935.53333333333,1876.5,1996.63333333333,0,0,0,0,0,0,0,0,0,68.5368360098539,67.2041920933362,69.9201948856441,13.3592269765623,7.23541735382446,20.3097426552014,0,0,0
50,30,29172,28564.2666666667,29811.4333333333,953.3,765.8,1165.3,1113.86666666667,1091.26666666667,1135.46666666667,1706.6,1614.23333333333,1797.7,0,0,0,0,0,0,0,0,0,63.9185998614363,62.7130952643826,65.0547416325704,-10.0113661572684,-17.631300448617,-2.94016593621456,0,0,0
60,30,13034.2666666667,12380.9333333333,13716.2666666667,3369.86666666667,2492.53333333333,4296.5,1650.9,1626.26666666667,1672.2,2034.26666666667,1903.66666666667,2153.2,0,0,0,0,0,0,0,0,0,48.4580067467149,46.3384366156277,50.3988535343458,25.5262488824703,10.1576552558363,40.528903132181,0,0,0
70,30,3228.73333333333,2935.33333333333,3525.13333333333,1188.96666666667,762.033333333333,1672.9,1842.9,1830.9,1855.23333333333,1616.9,1427.36666666667,1794.5,0,0,0,0,0,0,0,0,0,11.8216366169584,9.96362402807818,13.8379393473345,-13.3046190883419,-28.9848566126108,1.11445306866806,0,0,0
80,30,1501.86666666667,1398.36666666667,1599.63333333333,6590.36666666667,4482.6,8828.63333333333,1756.83333333333,1743.86666666667,1771.4,2009.3,1789.43333333333,2200.13333333333,0,0,0,0,0,0,0,0,0,-4.62524901606194,-5.69808352834654,-3.49932684772151,48.4305536996061,21.2205630733419,76.2862926250387,0,0,0
90,30,1946.36666666667,1825.9,2063.2,3249.2,1636,5067.63333333333,1752.46666666667,1736.56666666667,1767.56666666667,1590.06666666667,1339.9,1827.2,0,0,0,0,0,0,0,0,0,-0.159384446240042,-1.85486443915978,1.44278312414885,-1.00191072804317,-27.0409587992278,25.6877670724812,0,0,0
100,30,1947.83333333333,1828.93333333333,2077.26666666667,8215.56666666667,5700.16666666667,10887.4666666667,1744.1,1731.7,1755.96666666667,1983.1,1727.93333333333,2228.2,0,0,0,0,0,0,0,0,0,-0.386065950027651,-1.8103503534844,1.03580721904112,61.5610362241453,28.3671426795644,91.989212593191,0,0,0
110,30,1973.3,1878.73333333333,2069.06666666667,4766.83333333333,2573.63333333333,7311.66666666667,1734.4,1718.53333333333,1750.1,1550.93333333333,1319.2,1796.53333333333,0,0,0,0,0,0,0,0,0,-0.491181375599313,-1.93340830919159,0.966082415902473,7.52642044722533,-21.4922558821727,37.9523008854408,0,0,0
120,30,1985.56666666667,1847.66666666667,2143.23333333333,9300.83333333333,6881.06666666667,11986.5,1744,1728.13333333333,1757.26666666667,1994.3,1748,2220.93333333333,0,0,0,0,0,0,0,0,0,0.670713202625855,-0.965626560669195,2.31111810355793,70.2235310955948,32.877542864486,102.20784493467,0,0,0
130,30,2046.8,1901.8,2185.13333333333,4887.9,2556.4,7322.03333333333,1726.56666666667,1716.7,1735.9,1562.86666666667,1310.93333333333,1805.63333333333,0,0,0,0,0,0,0,0,0,-0.927244014066363,-2.16105275688949,0.270640252043342,10.8884663042236,-24.5305200759244,43.549653759393,0,0,0
140,30,2103.86666666667,2014.1,2200.83333333333,9807,6931.96666666667,12732.3,1738.46666666667,1721.53333333333,1752.73333333333,1915.1,1668.36666666667,2153.03333333333,0,0,0,0,0,0,0,0,0,0.73828066064288,-0.754137914582487,2.01201687904991,68.402111559773,34.6404990631777,104.688538034237,0,0,0
150,30,2105.46666666667,1981.23333333333,2244.3,6010.56666666667,3303.6,8936.23333333333,1712.9,1698.36666666667,1726.73333333333,1576.8,1335.23333333333,1821.3,0,0,0,0,0,0,0,0,0,-1.36200714020689,-2.90301585630811,0.417675759491114,18.0112408706853,-14.7384734601657,52.7443381313486,0,0,0
160,30,2098.83333333333,1970.63333333333,2221.06666666667,8539.5,6101.33333333333,10880.4666666667,1745.03333333333,1732.63333333333,1756.86666666667,1997.1,1717.03333333333,2243.76666666667,0,0,0,0,0,0,0,0,0,1.94895452109256,0.593848531284341,3.19757596478727,66.525938559243,32.3075427447423,100.133718236542,0,0,0
170,30,2023.26666666667,1889.13333333333,2153.9,5140.86666666667,2775.36666666667,7754.53333333333,1727.6,1714.93333333333,1739.1,1540.36666666667,1289.23333333333,1806.56666666667,0,0,0,0,0,0,0,0,0,-0.943992723642532,-2.05759551276432,0.182805267743894,11.3156621219165,-22.7651933938537,45.7710037505619,0,0,0
180,30,2082.23333333333,1992.7,2170,10610.7333333333,7499,13615.3333333333,1731.23333333333,1719.26666666667,1743.06666666667,1922.43333333333,1668.33333333333,2169.23333333333,0,0,0,0,0,0,0,0,0,0.271972812436374,-0.963613155283865,1.5509115155195,73.4557595365291,37.1913693707388,108.55754367398,0,0,0
190,30,2039.13333333333,1931.43333333333,2155.66666666667,5487.86666666667,2916.5,8003.6,1741.16666666667,1730.83333333333,1751.26666666667,1598.73333333333,1360.13333333333,1843.1,0,0,0,0,0,0,0,0,0,0.631152776188176,-0.491240371282452,1.74079767701145,16.9885261354119,-17.2092734251675,51.8590367470741,0,0,0
200,30,2066.06666666667,1949.36666666667,2176.66666666667,8736.5,6098.4,11463.2333333333,1717.93333333333,1707.4,1728.7,1945.56666666667,1684.36666666667,2198.06666666667,0,0,0,0,0,0,0,0,0,-1.29838092811541,-2.21690795303553,-0.413204021730628,63.0576278501053,30.8839466934386,97.8322801577993,0,0,0
210,30,2834.13333333333,2734.3,2929.23333333333,6740.06666666667,3600.16666666667,9766.4,1616.66666666667,1604.13333333333,1629.9,1464.06666666667,1261.23333333333,1669.33333333333,19.3666666666667,17.9,20.7,21.6666666666667,18.5333333333333,24.7666666666667,129.333333333333,118.833333333333,138.9,-5.85273819526727,-6.98851009538691,-4.79949470088405,8.50891665690045,-21.7034137048172,39.544073618435,0,0,0
220,30,4200.6,3993.23333333333,4396.63333333333,12182.6666666667,8641.03333333333,15428.3666666667,1602,1582.66666666667,1621.2,1764.43333333333,1601.2,1911.83333333333,23.7666666666667,20.9333333333333,26.5,19.7333333333333,18.0666666666667,21.4666666666667,166.533333333333,157.566666666667,174.533333333333,-0.831827210536019,-2.52568443304307,0.941489919600142,52.545351294927,22.9263698742723,77.8931730329644,32.1477267085209,25.8057529558607,38.5559204946616
230,30,4732.36666666667,4397.96666666667,5049.2,5364.86666666667,3588,7345.23333333333,1552.03333333333,1537.96666666667,1564.66666666667,1711.23333333333,1551.3,1880.6,29.2,27.4,31,31.6333333333333,26.8333333333333,36.1666666666667,237.666666666667,221.5,253.833333333333,-3.03175997972875,-4.28719162059809,-1.87824001486821,12.2176280493292,-9.01260131593156,33.5298383478288,42.0719666370888,37.4045890004223,46.7941010661981
240,30,6141.9,5731.33333333333,6528.76666666667,6796.93333333333,4806.9,8743.96666666667,1475.6,1448.76666666667,1506.33333333333,1690.96666666667,1539.63333333333,1834.43333333333,38.1,35.3666666666667,40.7666666666667,38.7,35.8333333333333,41.9666666666667,320.133333333333,310.166666666667,330.366666666667,-4.92561949093885,-6.56377387662333,-3.22751010038505,12.2032731998928,-7.0221610612492,29.2651848951672,37.8444233731215,31.0953337847267,44.493760830309
250,30,8608.46666666667,7859.53333333333,9276.73333333333,7605.56666666667,5242.06666666667,10209.9333333333,1359.2,1342.13333333333,1379.06666666667,1612.86666666667,1513.86666666667,1713.2,45.1,42.8333333333333,47.2,50.0666666666667,44.4333333333333,55.7,416,393.5,438.033333333333,-7.75299792271448,-8.95610034271693,-6.52207124514787,7.70218187811773,-9.80481789916356,26.5610878136938,29.5361818835305,24.7577785205305,33.9122975767608
260,30,12920.9666666667,11969.2,13786.2666666667,9047.43333333333,7153.83333333333,10923.6,1177.66666666667,1135.33333333333,1219.56666666667,1596.06666666667,1537.73333333333,1649.06666666667,48.0333333333333,45.0666666666667,50.9333333333333,55.4333333333333,51.9666666666667,58.6666666666667,486.533333333333,473.266666666667,498.566666666667,-13.5123596535453,-15.7798797831536,-11.0766286215288,3.4433529047706,-5.32652082640025,11.8063827477056,18.8719734772274,13.6443759046603,23.5627680835368
270,30,19607.2666666667,18042.7666666667,21052.5,8850.23333333333,7915.73333333333,9885.3,968.366666666667,927.933333333333,1009.36666666667,1620.83333333333,1582.63333333333,1658.23333333333,43.4666666666667,40.8,45.9333333333333,63.6,59.7333333333333,67.5333333333333,505.866666666667,496.333333333333,514.1,-17.7995004414436,-18.9332245244967,-16.7395601204969,2.99153139083159,-2.29414932423798,8.56239223364826,4.42611533480614,1.73035563724084,6.85890015370856
280,30,26412.8666666667,24947.4666666667,27866.7,8764.4,7963.83333333333,9613.7,803.7,766.366666666667,839.466666666667,1566.76666666667,1542.1,1590.36666666667,39.6,37.2666666666667,42.2333333333333,64.1666666666667,61.5333333333333,66.9,475.2,458.766666666667,489.433333333333,-17.0445172805384,-18.5711483332399,-15.4878109202369,-2.86003088114909,-5.84887011527314,0.0144240875605071,-5.86796305794464,-9.58039025115292,-2.37006626311241
290,30,32096.9666666667,30758.7666666667,33276.6,9529.9,8915.53333333333,10089.1666666667,691.666666666667,663.9,718.9,1606.46666666667,1579.46666666667,1630.63333333333,30.9,28.1333333333333,33.5,60.2666666666667,58.0333333333333,62.9333333333333,398.566666666667,383.1,414.166666666667,-13.3992825288432,-15.8718102137859,-10.4723677749898,2.75465499797675,0.290333946812758,5.12480401559578,-16.0320563645086,-18.2493914315232,-13.9569330434647
300,30,35230.8333333333,34193.6,36233.1333333333,7688.46666666667,7131.93333333333,8203.66666666667,660,638.6,685.366666666667,1705.53333333333,1676.43333333333,1733.46666666667,24.2333333333333,21.8666666666667,26.5333333333333,58.1,55.3,60.7333333333333,333.533333333333,319.466666666667,347.433333333333,-4.27903552698854,-6.3547222083016,-2.02135506089778,6.4319430069566,3.51327060578708,9.36130361261467,-16.0741137322236,-18.5169921344094,-13.5957322413293
310,30,35563.3,34612.8333333333,36383.3666666667,5408.63333333333,4914.03333333333,5931.8,687.233333333333,664.8,713.133333333333,1699.6,1667.43333333333,1730,20.2333333333333,18.8666666666667,21.5666666666667,53.6333333333333,51.0666666666667,56.3,301.433333333333,290.633333333333,312.733333333333,4.409392467172,1.6673275236635,6.94014936332987,0.0491591189107318,-3.27009825644062,3.26472737021787,-9.1619665293313,-11.8641317052834,-6.42841489518139
320,30,33902.2,32876.0333333333,34741.6333333333,5097.9,4594.83333333333,5614.26666666667,755.666666666667,731.633333333333,782.766666666667,1769.8,1716.66666666667,1821.16666666667,20.4333333333333,18.8666666666667,22.0666666666667,50.6666666666667,47.9333333333333,53.4333333333333,279,264.833333333333,292.533333333333,10.1685957119285,8.03786112205791,12.3182409565615,4.88285594617888,-0.180313242330067,10.22289095947,-7.43568004613959,-10.8996597747956,-4.27128480854335
330,30,30893.7,29846.6666666667,31843.2666666667,4239.93333333333,3635.23333333333,4833.96666666667,855.433333333333,821.6,889.633333333333,1715.63333333333,1653.6,1772.63333333333,21.7,19.5333333333333,23.7,48.0666666666667,45.5666666666667,50.6333333333333,283.933333333333,272.8,295.066666666667,13.1615261109991,10.7930461224171,15.2269903846839,-1.72630756414018,-7.88011169608513,3.97720802274088,2.63451313568726,-0.606199704314746,6.28143284778716
340,30,26978.8666666667,25653.1,28239.1333333333,4838.6,3960.16666666667,5875.53333333333,951.433333333333,914.933333333333,987.166666666667,1766.46666666667,1713.13333333333,1818.03333333333,24.1333333333333,22.4,25.8,50.6666666666667,47.8333333333333,53.5,294.866666666667,281.2,308.2,11.381846308389,9.15573537956754,13.5221506666525,4.93377858131668,-1.9315216030823,12.1761473187555,4.36816985807614,0.382369489110336,8.33674870765521
350,30,23661.1333333333,22440.7666666667,24918.2666666667,4334.66666666667,3712.96666666667,4937.53333333333,1043.3,1005.86666666667,1082.06666666667,1710.13333333333,1643.23333333333,1771.8,26.0333333333333,23.8333333333333,28.1,52.1,49.7,54.3666666666667,327.2,312.033333333333,342.2,9.99193190293458,7.61855186288409,12.2473235775995,-1.71437956311084,-7.99260284878221,5.18614046178629,11.3428563053841,8.08066785220411,14.6605851221966
360,30,21034.4333333333,19741.5,22170.9666666667,5509.9,4556.8,6471.8,1074.56666666667,1039.96666666667,1112.13333333333,1706.76666666667,1640.36666666667,1772.2,31.6333333333333,29.3,34.0333333333333,55.1,52.5,57.6666666666667,358.4,343.933333333333,372.166666666667,3.26774016017427,0.911026052685569,5.50754912778388,2.09195161152347,-5.85756496404657,9.94324770759289,10.093125956062,6.36075748385945,13.3260473746079
370,30,20595.1,19423.9666666667,21708.4333333333,5884.26666666667,4985,6890.2,1060.26666666667,1024.03333333333,1096.06666666667,1686.63333333333,1622.6,1743.06666666667,35.6333333333333,33.4,37.8333333333333,55.4,51.6,59.1333333333333,396.1,380.2,410.233333333333,-1.23893181804841,-3.06269459157811,0.69858857800373,0.973522992821997,-6.02311063755235,8.57610340949503,11.2393021051681,6.95096856009671,15.4576383010903
380,30,21583.3,20292.2666666667,22905.1333333333,6528.4,5543.2,7655.33333333333,1011.1,973.066666666667,1043.93333333333,1658.46666666667,1610.3,1708.03333333333,36.8333333333333,34.8333333333333,39,58.8666666666667,55.9333333333333,61.5333333333333,413.033333333333,397.066666666667,428.233333333333,-4.46017017390355,-6.95130492154343,-1.98514667203525,0.0540857291656896,-5.98995596262513,6.55859842481297,4.69567283945985,1.23066275788568,7.86269177608601
390,30,23660,22245.7,24984.7333333333,7136.96666666667,6399.46666666667,7914.1,932.533333333333,892.166666666667,971.7,1658.3,1622.83333333333,1694.43333333333,36.6333333333333,34.8333333333333,38.5,58.9,56.0666666666667,61.5666666666667,423.7,406.9,440.866666666667,-7.69500217399061,-9.92511203664936,-5.42995499317418,1.0043699475673,-3.59282136279327,5.86901494077107,2.97491558656658,-0.422606678313661,6.64222939777147
400,30,26620.5,25163.0333333333,28192.8,7053.63333333333,6368.1,7806.4,860.766666666667,819.033333333333,904.366666666667,1655.73333333333,1624.66666666667,1686.2,34.4666666666667,31.7,37.4,59.5666666666667,56.3,62.4333333333333,406.8,391.666666666667,421.966666666667,-7.69354913357176,-10.1972249086583,-5.4231012946151,0.381792825998209,-2.87949593828542,3.81575235961849,-3.58301040174506,-6.52125800103124,-0.369970126512908
410,30,28996.2,27421.3666666667,30631.5,6913.16666666667,6345.4,7490.06666666667,806.366666666667,767.8,848.566666666667,1680.3,1644.16666666667,1713.03333333333,29.4666666666667,27.0333333333333,32.0333333333333,59.0666666666667,56.4333333333333,61.8,385.833333333333,370.633333333333,400.433333333333,-6.11529935666328,-8.32304398231125,-3.80264359492877,1.93002827090595,-1.83900411194854,5.41717078383308,-4.71929065260703,-7.79882983260962,-0.724738310625271
420,30,30651.6333333333,29230.8666666667,32014.9333333333,6416.36666666667,5668.76666666667,7270.8,780.333333333333,750.466666666667,811.666666666667,1667.96666666667,1637.43333333333,1696.9,28.6,26,31.1333333333333,58.2666666666667,55.4666666666667,60.8,360.766666666667,344.9,376.133333333333,-2.6698710775626,-4.9761987361917,-0.432055708574598,-0.152783143074929,-3.54939081813713,3.7862910475186,-6.26612821714445,-8.81136812220037,-3.66498308515459
430,30,31154.9,30018.9,32280.6666666667,6092.13333333333,5616.2,6611.66666666667,780.666666666667,759.466666666667,803.133333333333,1725.66666666667,1688.46666666667,1766.63333333333,25.9,23.9333333333333,28.1666666666667,55.6333333333333,52.5666666666667,58.7666666666667,344.166666666667,327.233333333333,362.6,0.582121677783648,-2.20139216782469,2.87935173967507,3.96020648072589,0.338960000019417,8.25691460807884,-4.63797207583614,-6.88568985181056,-2.36654151661132
440,30,30969.1333333333,30130.5,31768.1333333333,5208.76666666667,4559.4,5839.03333333333,809.566666666667,783.633333333333,838.5,1687.96666666667,1645.86666666667,1724.53333333333,24.3,22.3333333333333,26.1,56.8666666666667,54.1,59.5,332.8,320.033333333333,345.5,3.85873799966302,1.27603292694985,6.21994113073796,-1.50010587552959,-5.68554164870976,2.29381765214033,-2.54670630951832,-5.79263870733834,0.663629526556126
450,30,29534.5666666667,28553.8333333333,30560.3,5520.73333333333,4914.56666666667,6216.63333333333,854.333333333333,824.266666666667,883.3,1748.3,1710.8,1787.46666666667,26.2666666666667,24.3333333333333,28.0333333333333,53.5333333333333,50.7,56.3333333333333,324.666666666667,313.666666666667,336.633333333333,5.69318927362977,3.3719694277567,8.1875277861684,4.32147139598233,0.180302743305423,8.70073567125421,-2.06766936234405,-4.34593655430252,0.187667629866031
460,30,27675.6333333333,26549.8333333333,28827.0666666667,4628.86666666667,4184.93333333333,5093.8,902.333333333333,866.933333333333,935.133333333333,1713.83333333333,1665.4,1759.46666666667,27.2333333333333,25.4,29.0666666666667,54.1333333333333,51.2333333333333,56.9666666666667,334.333333333333,323.1,345.133333333333,5.68539754936293,3.90915081528748,7.70455097017281,-1.25911589900159,-5.69777570780232,3.13399125183104,3.30625703336417,0.49857556990787,5.80081463552698
470,30,26031,24818.5,27244.7666666667,5189.36666666667,4510.7,5858.7,945.9,911.533333333333,979.966666666667,1728.8,1685.83333333333,1771.33333333333,28.1,26.1333333333333,29.9,54.5666666666667,51.8,57.1333333333333,344.966666666667,334.3,354.9,4.88674335550566,3.10779522528596,6.89109566848793,1.8851979314521,-3.5607466258766,6.77301699039036,3.51849088014795,0.641814589542333,6.24957488689142
480,30,24779.8666666667,23449.1333333333,26174.2333333333,5087.63333333333,4487.63333333333,5698.2,960.566666666667,920.8,999.466666666667,1706.73333333333,1652.53333333333,1754.16666666667,29.9,27.9,32.1,58.0333333333333,55,61.1666666666667,362.333333333333,349.433333333333,375.133333333333,1.76184666436549,-0.291275878236298,3.69597132236528,-0.310942952933162,-5.55823567822224,4.80945240660934,5.15340508818085,2.62296642922944,7.87429890625823
490,30,24537.3333333333,23198.5333333333,25856,5738.86666666667,4856.56666666667,6613.33333333333,956.7,923.6,993.5,1679.03333333333,1636.56666666667,1722.73333333333,31.5333333333333,29.4666666666667,33.4666666666667,55.0333333333333,52.5666666666667,57.6333333333333,373.766666666667,361.066666666667,386.4,-0.160613738238233,-1.89404415662163,1.53048303415099,-0.436067569285988,-5.83796942998634,4.84442152414249,3.61242436182571,0.14562534799005,7.04840270278694
500,30,24922.6333333333,23784.3666666667,26040.3333333333,6176.9,5472.7,6903.46666666667,947.366666666667,919.933333333333,979.233333333333,1716.06666666667,1676.83333333333,1756.53333333333,32.2,30.1,34.3,56.2,53.9666666666667,58.5,384.2,371.4,398.166666666667,-0.701536236526949,-2.73953479961588,1.03912457227576,3.12365201436158,-1.57229376203367,8.07674967661646,3.03683567609256,0.15535065308341,5.77305996699235
510,30,25383.7333333333,24309.2,26436.2,5778.6,5140.7,6389.8,918.033333333333,886.7,950.6,1648.8,1610.36666666667,1690.73333333333,34,31.2666666666667,36.9333333333333,57.5666666666667,54.4333333333333,60.7666666666667,392.2,376.966666666667,408.4,-3.02465797460505,-5.25218412944793,-0.701358472866506,-3.21870110343109,-7.33071773728437,1.16753996048583,2.45593634242931,-0.572154227952563,5.4884235807046
520,30,26586.4,25341.9666666667,27674.4666666667,6880.23333333333,6063.7,7669.4,888.466666666667,855.2,919.066666666667,1696.63333333333,1660.46666666667,1733.06666666667,30.5333333333333,28.1,33,56.6333333333333,53.7666666666667,59.1,379.233333333333,364.833333333333,395.366666666667,-3.06726822067886,-5.19592675760225,-1.11922586899923,3.67845120582379,-0.498223343995744,8.0627059398526,-2.8865958662384,-6.34724944392303,0.548267113774814
530,30,27327.1333333333,26155.5333333333,28471.0666666667,6009.7,5456.66666666667,6504.93333333333,890.333333333333,856.033333333333,923.7,1669.63333333333,1624.53333333333,1707.66666666667,28.3333333333333,25.6666666666667,30.7333333333333,57.5,55.1,60.1,371.333333333333,354.933333333333,388.166666666667,0.346083833052038,-2.11584489579801,2.78600465883878,-0.92262482539964,-5.33247945828399,3.10302142026677,-1.96252819661445,-4.8447952520945,0.734506648574078
540,30,26985.5333333333,25787.7333333333,28113.4666666667,6295.36666666667,5463.96666666667,7087.73333333333,888.7,853.533333333333,923.866666666667,1707.06666666667,1680.13333333333,1733.8,29.1333333333333,26.9666666666667,31.1666666666667,57.2,53.9666666666667,60.3666666666667,363.566666666667,348.866666666667,378.433333333333,0.0908406469027526,-2.7481126596958,2.62776021109114,2.89822510011494,-0.948608899431643,6.90857892018608,-1.48411396475718,-4.84782872645961,1.9009915808666
550,30,27120.2,25744.3333333333,28391.1666666667,5638.13333333333,5160.56666666667,6116.2,899.666666666667,863.7,939.2,1697.03333333333,1658.56666666667,1734.7,26.7,24.2333333333333,29.2666666666667,57.1333333333333,54.3333333333333,59.7,362.666666666667,348.533333333333,375.766666666667,1.26577437654361,-0.719701283163298,3.66319046801664,-0.190496171875396,-3.83772648503435,3.08285704061593,0.0994208608249346,-2.55460592454386,2.42017733839056
