"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,30,62500,62500,62500,62500,62500,62500,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,57480.8,57446.1666666667,57515.9666666667,57496.2333333333,57459.2,57532.4666666667,143.766666666667,140.8,146.7,118.833333333333,117.066666666667,120.633333333333,0,0,0,0,0,0,0,0,0,43.7666666666667,40.9,46.8666666666667,18.8333333333333,16.9666666666667,20.6666666666667,0,0,0
20,30,55322.4666666667,55180.4666666667,55476.7333333333,56603.6666666667,56499,56703.0333333333,237.533333333333,230.3,243.8,159.1,155.333333333333,162.766666666667,0,0,0,0,0,0,0,0,0,65.2398961054994,62.0870271099755,68.2987228735506,33.8380371519992,31.4376140542757,36.0549148731039,0,0,0
30,30,50588.4666666667,50256.5333333333,50935,54557.2666666667,54340.8,54748.5666666667,403.3,391.166666666667,415.166666666667,220.466666666667,214.566666666667,226,0,0,0,0,0,0,0,0,0,69.8925471261034,67.3942555858457,72.667101832174,38.6344403635785,36.7942031710649,40.404093809742,0,0,0
40,30,42349.5,41760.7666666667,42926.8333333333,51477.1666666667,51208.5666666667,51746.2333333333,675.766666666667,654.533333333333,695.3,304.6,296.066666666667,312.933333333333,0,0,0,0,0,0,0,0,0,67.5182931316563,66.1334791873418,69.1097584669447,38.1395867244568,36.5827622204288,39.8577016589574,0,0,0
50,30,29371.1333333333,28345.0333333333,30329.4,47305.8,46847.8,47745,1115.5,1082.5,1146.93333333333,418.266666666667,403.566666666667,432.833333333333,0,0,0,0,0,0,0,0,0,65.2386049832414,63.8181061661906,66.7270920654047,37.2174224004052,35.8297782126299,38.5524122396342,0,0,0
60,30,13266.8666666667,12285.3333333333,14199.2666666667,41672.8666666667,40923.2333333333,42362.1333333333,1641.03333333333,1608.56666666667,1671.66666666667,576.7,556.466666666667,596.133333333333,0,0,0,0,0,0,0,0,0,47.4625397381221,45.725696768489,49.3257345750101,37.8906439352793,36.9655377522843,38.8379891229274,0,0,0
70,30,3456.4,3076.2,3896.96666666667,33972.8666666667,33058.1666666667,34872.2666666667,1829.5,1815.43333333333,1843.23333333333,787.7,758.266666666667,814.3,0,0,0,0,0,0,0,0,0,11.812224280545,9.38078164019597,14.1568815607823,36.6161763908155,35.609853032427,37.592951626722,0,0,0
80,30,1578.73333333333,1462.6,1683.1,24469.2666666667,23379.5,25581.8333333333,1767.86666666667,1754.43333333333,1780.76666666667,1067.13333333333,1032.4,1104.33333333333,0,0,0,0,0,0,0,0,0,-3.30364649640889,-4.56908604816738,-2.0156271197289,35.5576073884872,34.8955068691185,36.2368014241938,0,0,0
90,30,1839.4,1716.26666666667,1961.63333333333,14406.9333333333,13404.3333333333,15452.8,1747.03333333333,1730.36666666667,1762.6,1394.13333333333,1360.93333333333,1428.13333333333,0,0,0,0,0,0,0,0,0,-1.09661465969486,-2.6048246497806,0.358921890655363,30.9249905107057,29.575855689243,32.3111861914766,0,0,0
