"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,30,62500,62500,62500,62500,62500,62500,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,57536.4333333333,57499.0333333333,57577.1666666667,57487.6666666667,57450.2,57525.4333333333,142.366666666667,138.133333333333,146.966666666667,289.3,281.066666666667,297.333333333333,0,0,0,0,0,0,0,0,0,42.3666666666667,38.1666666666667,46.7333333333333,189.3,180.833333333333,197.233333333333,0,0,0
20,30,55373.4666666667,55112.7333333333,55584.2333333333,48045.7666666667,47625.0333333333,48453.3666666667,238.833333333333,230.6,246.633333333333,937.2,909.433333333333,962.366666666667,0,0,0,0,0,0,0,0,0,67.8317871293397,64.6491380423779,70.6662858924224,224.396063897945,219.46490578699,229.318335034759,0,0,0
30,30,50548.5666666667,50124.9333333333,50923.1333333333,18914.2333333333,17943.6333333333,19841.8666666667,394.933333333333,382.8,407.933333333333,2545.63333333333,2503.9,2587.83333333333,0,0,0,0,0,0,0,0,0,65.4999212490594,63.4193820837284,67.4492509995084,172.670686702071,166.496731477427,178.801975553965,0,0,0
40,30,42764.8,42075.1333333333,43452.3,242.6,184.233333333333,309.766666666667,663.033333333333,643.966666666667,683.633333333333,969.433333333333,918.633333333333,1020.9,0,0,0,0,0,0,0,0,0,68.027702114613,66.4982878755131,69.5465136907505,-61.593328800453,-64.0822248289968,-59.0476997359697,0,0,0
50,30,29887,28955.4,30785.9666666667,17249.2666666667,15514.5333333333,19136.1333333333,1096.73333333333,1065.83333333333,1127.16666666667,2866.66666666667,2790.9,2937.4,0,0,0,0,0,0,0,0,0,65.5272174340627,64.4067342996426,66.5216289432644,199.249724858174,189.853865363785,208.545504573016,0,0,0
60,30,13757.8333333333,12838.6,14642.6333333333,102.666666666667,55.3333333333333,167.666666666667,1618.66666666667,1592.9,1644.86666666667,706.3,648.3,769.966666666667,0,0,0,0,0,0,0,0,0,48.0326092218877,45.8923838103813,50.0826022026427,-74.7305610561472,-77.6400598987982,-71.0835562501488,0,0,0
70,30,3734.76666666667,3406.73333333333,4060.13333333333,28212.3333333333,25490.9,30754.8666666667,1840.63333333333,1828.16666666667,1854.86666666667,2284.83333333333,2155.46666666667,2409.4,0,0,0,0,0,0,0,0,0,13.9294155879641,11.9024026460736,16.0520258562719,230.060229686114,218.676786411073,239.146054316005,0,0,0
80,30,1530.83333333333,1438.43333333333,1619.53333333333,812.033333333333,465.466666666667,1201.73333333333,1759.2,1743.73333333333,1774.83333333333,1258.83333333333,1104.7,1411,0,0,0,0,0,0,0,0,0,-4.34304040869662,-5.85721518350069,-2.81634498891248,-40.1903785854606,-51.4623045255761,-28.1585586205584,0,0,0
90,30,1985.66666666667,1859.73333333333,2112.23333333333,11682.2333333333,8725.56666666667,14648.8,1746.86666666667,1732.26666666667,1760.2,2617.83333333333,2429.93333333333,2788.03333333333,0,0,0,0,0,0,0,0,0,-0.604586985254835,-2.13192514984871,0.867112076757186,138.844287636384,106.619204492804,171.564141197737,0,0,0
100,30,2026.13333333333,1906.13333333333,2148.43333333333,1015.93333333333,273.266666666667,2024.63333333333,1745.73333333333,1730.43333333333,1758.86666666667,1037.13333333333,800.6,1316.06666666667,0,0,0,0,0,0,0,0,0,0.0240488497639027,-1.53186519512974,1.4985327680174,-48.1985260288846,-68.638366560345,-25.6492155193173,0,0,0
110,30,2038.43333333333,1898.7,2172.56666666667,22378.8333333333,18004.4666666667,26829.2333333333,1733.26666666667,1718.5,1747.83333333333,2162.3,1927.33333333333,2372.66666666667,0,0,0,0,0,0,0,0,0,-0.622901849056858,-2.22618464694625,0.826462729846692,179.637190462503,138.895481436858,213.362845801635,0,0,0
120,30,2068,1923.5,2197.73333333333,3864.63333333333,1089.46666666667,7049.96666666667,1733.76666666667,1718.7,1748.1,1373.5,1153.53333333333,1606.7,0,0,0,0,0,0,0,0,0,0.114460350406862,-1.48191468133705,1.54440909548585,-10.3837130023312,-38.3031243807676,24.2220184412221,0,0,0
130,30,2029.6,1935.3,2125.03333333333,11517.3333333333,7868.7,15380.8333333333,1738.23333333333,1721.86666666667,1754.5,2336.53333333333,2087.6,2545.96666666667,0,0,0,0,0,0,0,0,0,0.361552055626549,-1.14208062749355,1.93007778373492,113.740281467769,75.0933943715434,148.451884149271,0,0,0
140,30,2053.13333333333,1895.33333333333,2203.16666666667,2843,613.766666666667,5663.46666666667,1736.96666666667,1721.5,1753.46666666667,1255.43333333333,1017.4,1520.3,0,0,0,0,0,0,0,0,0,0.0293911879881709,-1.50954566132619,1.85718476909654,-22.4667019067044,-52.2559369876096,12.5254282218449,0,0,0
150,30,1994.1,1879.73333333333,2098.4,16028.9666666667,11432.9666666667,20428.6,1729.4,1714.2,1743.96666666667,2240.96666666667,1981.16666666667,2468.76666666667,0,0,0,0,0,0,0,0,0,-0.337296779513269,-1.91079789216117,1.11893262780365,139.659818948726,97.8689762240693,176.157528379595,0,0,0
160,30,2106.76666666667,1986.2,2226.13333333333,3581.33333333333,1055.06666666667,7106.76666666667,1725.83333333333,1708.93333333333,1741.6,1345.76666666667,1084.8,1602.56666666667,0,0,0,0,0,0,0,0,0,-0.0996086213494365,-1.70889290423783,1.58351339142069,-12.5814228283816,-43.9207393760157,21.2485498404155,0,0,0
170,30,2132.63333333333,1981.66666666667,2285.66666666667,14885.1333333333,10588.2333333333,19550.8,1741.66666666667,1727.23333333333,1758,2110.16666666667,1858.8,2349.8,0,0,0,0,0,0,0,0,0,1.02940460324507,-0.770115827367037,2.75204528500436,119.702642507541,74.296795650892,160.477894029233,0,0,0
180,30,2081.7,1960.46666666667,2199.3,4256.66666666667,1439.3,7612.43333333333,1732.26666666667,1719.2,1744,1471.4,1234.76666666667,1729.93333333333,0,0,0,0,0,0,0,0,0,-0.445264421851165,-1.89608330107264,1.05841956633534,-0.887514133853189,-32.1437338748142,33.1620729343351,0,0,0
190,30,2045.9,1935.36666666667,2150.76666666667,11231.8,6870.03333333333,15780.3333333333,1717.73333333333,1703.73333333333,1731.23333333333,2161.6,1910.8,2380.66666666667,0,0,0,0,0,0,0,0,0,-0.770992043285337,-2.17640114076202,0.565687621440368,97.6292067076878,57.669784896091,139.461590263657,0,0,0
200,30,2205.1,2081.56666666667,2331.86666666667,4020.46666666667,1243.23333333333,7303.9,1739.56666666667,1727.03333333333,1753.13333333333,1408.73333333333,1177.1,1655.03333333333,0,0,0,0,0,0,0,0,0,1.34769985612616,-0.0579718780535614,2.78817691121162,-7.50853727337562,-36.5894234721378,29.0381382794113,0,0,0
210,30,2695.1,2549.33333333333,2839.8,13282,8933.06666666667,17538.1666666667,1598.43333333333,1582,1613.2,2076.7,1837.06666666667,2299.63333333333,20.4666666666667,18.9333333333333,21.8333333333333,17.2,14.1333333333333,20.5666666666667,113.6,103.133333333333,124.7,-8.04486174511011,-9.35456743085017,-6.77207968543784,89.0233353860552,54.6114262526999,121.763721632649,0,0,0
220,30,4226.9,4000.96666666667,4456.13333333333,4692.5,1908.96666666667,7933.43333333333,1615.36666666667,1596.7,1635.7,1437.5,1217.76666666667,1643.6,19.3333333333333,17.3333333333333,21.6333333333333,24.9333333333333,21.9666666666667,27.8333333333333,169.933333333333,157.833333333333,182.333333333333,1.13880743042951,-0.497346217555563,2.78600940381389,-7.95417029807122,-32.143861028969,20.5609660335499,52.7270340756049,45.5392565728622,59.8648297880267
230,30,4670.8,4294.43333333333,5026.66666666667,13264.5333333333,8483.96666666667,17943,1558.5,1536.9,1578.83333333333,1911.43333333333,1742.46666666667,2100.33333333333,29.9,27.2,32.6,24.2,20.4333333333333,27.8333333333333,228.133333333333,210.433333333333,246.3,-3.46726888997362,-4.78463076160358,-2.2411530486879,68.4562649006194,39.2495118112929,99.3054287963846,35.3103143644279,28.9832483678825,41.7890751963242
240,30,5955.83333333333,5429.26666666667,6449.53333333333,5314.56666666667,3186.23333333333,7966.36666666667,1494.86666666667,1465.9,1523.63333333333,1631.5,1444,1822.06666666667,34.1333333333333,31.5666666666667,36.4666666666667,39.8333333333333,35.5666666666667,44.7666666666667,319.366666666667,298.433333333333,341.166666666667,-4.03139674739726,-5.74010425743081,-2.44302406092889,0.464759751921397,-19.410499069942,21.8746379624497,42.2523823585432,35.5007155934623,48.9437883642213
250,30,8462.33333333333,7654.43333333333,9307.63333333333,10354.0333333333,6660.96666666667,14403.8333333333,1351.56666666667,1317.13333333333,1386.16666666667,1692.3,1535.2,1851.96666666667,42.8666666666667,39.3333333333333,45.8666666666667,47.5666666666667,41.7333333333333,53.5,402.833333333333,380.666666666667,424.333333333333,-9.54371138897983,-11.3375096378626,-7.7301038995766,25.09994935511,2.20149088149216,47.1745256260491,28.4896182631415,22.050645638958,35.3935253743832
260,30,12816.2666666667,11742.2,13990.7333333333,8670.23333333333,6332.13333333333,11150.4,1196.83333333333,1158.36666666667,1233.03333333333,1668,1516.36666666667,1790.7,46.8666666666667,44.1666666666667,49.6333333333333,56.2666666666667,50.5,61.9666666666667,477,455.466666666667,496.2,-11.4167689214178,-13.5555205320407,-9.26202052586245,9.50197961896746,-7.33410475915039,24.8217028163226,19.8970916367179,14.4005936883439,25.8566973934527
270,30,18500.0333333333,17093.8666666667,19857.1,9449.4,6965.73333333333,12335.3333333333,1000.86666666667,952.5,1047.16666666667,1652.06666666667,1574.03333333333,1726.33333333333,45.7333333333333,43.0333333333333,48.3333333333333,62.3333333333333,57.3666666666667,67.1,509.466666666667,495.9,523.433333333333,-16.4138961818552,-19.0804042338145,-14.0639148690654,6.46775347023658,-5.26029402237638,19.2076694326026,8.39102736344601,2.91230630211983,14.0901278441513
280,30,25607.5333333333,23965.6,27063.6333333333,8879.23333333333,7252.13333333333,10509.5,829.066666666667,789.166666666667,868.9,1725.36666666667,1675.6,1776.6,39.1666666666667,36.6666666666667,41.5333333333333,65.0333333333333,60.4666666666667,69,487.666666666667,472.866666666667,502.9,-16.9567404035286,-18.8137324136396,-14.9944591938226,7.29479233316748,-0.457552727688521,15.8573877638545,-3.99303792641937,-6.97750999401238,-0.961715392987436
290,30,31325.5,29746.4666666667,32699.7666666667,7065.53333333333,6165.76666666667,7890.5,705.4,670.266666666667,740.9,1701.93333333333,1652.3,1752.93333333333,29.1,26.9666666666667,31.3,68.6666666666667,65.8,71.5333333333333,447.5,428.1,466.7,-14.8862120172976,-17.1237268874525,-12.8867299995512,-0.0784039076770326,-5.68553808705429,5.23081330950554,-8.01848855600943,-11.6475219493297,-4.2838635904783
300,30,35412.0333333333,33928.5,36635.1333333333,6766.86666666667,5849.13333333333,7725.13333333333,621.3,586.666666666667,655.833333333333,1775.8,1717.26666666667,1830.93333333333,26.2,23.2,29.3666666666667,65.7,61.9666666666667,68.8333333333333,388.466666666667,370.566666666667,406,-11.7386979671824,-14.3826140186646,-8.96343587681002,5.68021015319267,-0.323785199696828,11.6287379246472,-12.8189608443352,-16.1079724381537,-9.62626254089769
310,30,37841.6,36516.8333333333,39124.5,5375.7,4575.96666666667,6200.13333333333,603.633333333333,568.966666666667,638.4,1748.46666666667,1674.23333333333,1821.5,21.5666666666667,19.0333333333333,24.3,62.3,59,66,348.1,330.766666666667,365.933333333333,-2.41473733606033,-5.85697308565968,1.14294267708128,0.213732792575469,-6.92006023531618,7.84814577421445,-10.2274607752553,-13.0604842490874,-7.50687261226932
320,30,38001.3,36586.5333333333,39411,5478.3,4576.13333333333,6553.06666666667,622.8,583.266666666667,661.9,1828.5,1720.06666666667,1918.33333333333,19.3666666666667,17.6666666666667,21.0333333333333,55,51.8,58.1,308.133333333333,293.033333333333,322.4,3.17130063056768,0.223702150549132,6.04192361658971,7.96311748670503,-1.95657612201,18.3890204796284,-10.5722497387064,-14.8626628927023,-5.91552823599288
330,30,36745,35180.6666666667,38097,4775.13333333333,3485.53333333333,6224.76666666667,672.733333333333,630.4,715.766666666667,1745.63333333333,1629.4,1870.4,18.9,16.9333333333333,20.8666666666667,56.4333333333333,53.0333333333333,59.6333333333333,298.833333333333,282.266666666667,314.666666666667,8.43339284634114,5.70226004570013,11.4787653050231,0.90708242881806,-10.8179279854317,13.3858085102814,-2.23057336155092,-7.14231823251145,2.68451376268762
340,30,34586.5666666667,32932.7,36164.6333333333,5823.7,4260.43333333333,7576.3,737.4,692.8,779.366666666667,1821.2,1692.93333333333,1952.26666666667,19.8,17.1666666666667,22.6666666666667,51.1,47.2333333333333,54.4333333333333,282.9,267.166666666667,297.933333333333,9.97367141845211,7.05706407635174,12.8715113241634,11.6585154399914,-2.543415422808,26.9315505706622,-4.0168701514009,-9.79840882985031,1.55737110903753
350,30,31576.9333333333,29900.3666666667,33152.1666666667,5283.06666666667,3650.46666666667,7012.76666666667,838.8,799.1,880.966666666667,1731.73333333333,1579.96666666667,1874.6,19.6,17.2333333333333,21.8333333333333,52.4666666666667,48.5666666666667,56.4333333333333,287.333333333333,271.466666666667,304.666666666667,14.5764532145604,11.1591704702653,18.3558576213138,3.97961345715872,-13.2491639475973,20.7562365513918,2.28923606755029,-2.27034385520073,6.77012562436808
360,30,27874.4666666667,26146.9333333333,29559.5,6622.6,4830.3,8709.5,931.033333333333,881.966666666667,982.966666666667,1822.36666666667,1669.66666666667,1972.1,24,22,26.2666666666667,49.8333333333333,45.7666666666667,53.7333333333333,295.133333333333,276.833333333333,314.333333333333,11.1865674519443,8.07076252933391,14.0868845329678,17.2570597867998,-1.8436924803126,35.8772072530371,3.22387523016012,-1.80030990321982,8.63820432226182
370,30,24372.2,22530.4333333333,26188.4333333333,6240.2,4245.7,8455.6,1010.63333333333,958.933333333333,1062.8,1687.9,1509.2,1863.43333333333,27.2333333333333,24.8333333333333,29.5,51.1666666666667,46.7666666666667,55.6666666666667,321.233333333333,302.8,339.466666666667,9.02935259516056,5.81463837590175,12.0991389583551,5.87771488579068,-14.3202809560286,25.0669218311211,11.0816353132586,3.896730060846,19.308411626241
380,30,22087,20381.4666666667,23869.1,8729.33333333333,5900.86666666667,11534.7666666667,1052.63333333333,1002.73333333333,1106.8,1717.4,1580.66666666667,1850.43333333333,30.4333333333333,27.9333333333333,33.1,51.2,45.9333333333333,56.2,347.633333333333,327.8,365.933333333333,4.68772240487426,1.45947199326346,8.22494498832709,18.4497220896613,-3.04228159111982,38.8263870297738,9.52428081705639,3.53665559530782,15.3946525235236
390,30,21119.5666666667,19329.4666666667,22805.8666666667,7743.23333333333,5476.26666666667,10180.7666666667,1048.76666666667,996.166666666667,1099.43333333333,1727.66666666667,1598.23333333333,1852.26666666667,34.1666666666667,31.6,36.5333333333333,56.4,51.7333333333333,61.2666666666667,373.933333333333,357.066666666667,389.066666666667,0.0112606772201154,-3.11893710738236,3.03302231047088,11.0263376141115,-3.85944945448419,27.2097942163457,9.15492894686637,3.91537642623704,14.6243403314277
