"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,30,62500,62500,62500,62500,62500,62500,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,57479.2333333333,57451.9,57506.7,57508.7333333333,57477,57542.5666666667,144.566666666667,141.033333333333,147.766666666667,188.666666666667,183.9,192.6,0,0,0,0,0,0,0,0,0,44.5666666666667,41.0666666666667,47.9333333333333,88.6666666666667,84.3333333333333,92.5,0,0,0
20,30,55294.6,55141.6333333333,55458.8333333333,53050.1666666667,52847.0666666667,53278.8333333333,242.333333333333,236.6,248,420.366666666667,410.433333333333,430.166666666667,0,0,0,0,0,0,0,0,0,67.8305188934318,64.8603214209224,70.872210899705,122.933984939739,119.472058660965,126.086175991356,0,0,0
30,30,50380.4,50078.2,50676.3,41510.5333333333,41006.5333333333,42072.2333333333,405.6,396.833333333333,414.6,930.633333333333,909.1,953.733333333333,0,0,0,0,0,0,0,0,0,67.5339652225518,65.4060278602988,69.7242344577453,121.514376478171,119.120999444517,123.864636218926,0,0,0
40,30,42222.6333333333,41770.4666666667,42689.8,19148.3666666667,18400.4333333333,19944.3666666667,683.366666666667,668.166666666667,698.433333333333,1822.43333333333,1789.5,1856.3,0,0,0,0,0,0,0,0,0,68.5297134540708,66.4918366719486,70.5563813852978,96.1479973682036,93.0727780210962,99.1619517405054,0,0,0
50,30,29034.6,28307.8,29799.5333333333,2178.6,1906.03333333333,2474.46666666667,1123.3,1099.6,1147.3,1771.23333333333,1730.13333333333,1808.33333333333,0,0,0,0,0,0,0,0,0,64.4836871933023,62.9221876644294,66.0316376204739,-2.25016685498983,-6.12617537292916,1.59953843049046,0,0,0
60,30,12898.5,12213.9,13581.5666666667,1774.16666666667,1519.96666666667,2047.53333333333,1647.43333333333,1619.96666666667,1673.76666666667,1832.4,1790.2,1871.23333333333,0,0,0,0,0,0,0,0,0,46.900983932068,44.8478596643336,48.8891256262062,4.22783945361865,-0.198244007889609,8.91510389278259,0,0,0
70,30,3310.26666666667,2994.86666666667,3631.16666666667,1567.5,1349.36666666667,1796.53333333333,1849.5,1834.5,1864.66666666667,1744.43333333333,1696.36666666667,1790.73333333333,0,0,0,0,0,0,0,0,0,12.5344427559739,10.1526766520617,14.6634457722373,-3.97761909924026,-8.66457685568009,0.622923786487744,0,0,0
80,30,1445.5,1343.23333333333,1546.66666666667,1999.16666666667,1646.86666666667,2352.1,1754.46666666667,1740.3,1768.46666666667,1859.43333333333,1807.33333333333,1908.86666666667,0,0,0,0,0,0,0,0,0,-5.05708426806934,-6.41701928692501,-3.65678106686366,7.80537752354012,2.08089060130961,13.4880061059186,0,0,0
90,30,1910.33333333333,1797.93333333333,2011.43333333333,1489.83333333333,1232.53333333333,1778.16666666667,1744.76666666667,1730.26666666667,1758.2,1713.46666666667,1648.33333333333,1778.1,0,0,0,0,0,0,0,0,0,-0.478500852822221,-1.81393007676318,0.916470962096193,-6.5003061089174,-12.636649429674,-0.229296245311907,0,0,0
100,30,1984.53333333333,1838.4,2129.66666666667,2372.36666666667,1892.23333333333,2862.83333333333,1745.66666666667,1731.36666666667,1762.53333333333,1866.2,1798.2,1928.83333333333,0,0,0,0,0,0,0,0,0,0.154717353747855,-1.35781127101445,1.87174529587348,11.2852785699962,2.86243706344701,19.9369866406756,0,0,0
110,30,1974.83333333333,1849.06666666667,2111.73333333333,1758.9,1390.63333333333,2163.7,1747.33333333333,1736.9,1758.06666666667,1688.13333333333,1615.53333333333,1764.3,0,0,0,0,0,0,0,0,0,0.185483247956106,-1.16273683221489,1.45158090711585,-7.27740145592763,-14.8703388037215,1.05175501192516,0,0,0
120,30,1995.93333333333,1879.8,2112.43333333333,2651.03333333333,2068.26666666667,3286.56666666667,1721,1708.66666666667,1733.66666666667,1897.13333333333,1814.76666666667,1968.16666666667,0,0,0,0,0,0,0,0,0,-1.47067093214908,-2.50788639734174,-0.367422417792835,15.4757296175964,6.36966402337294,23.92001723128,0,0,0
130,30,2146.9,2037.2,2259.2,1558.16666666667,1109.9,2057.9,1752.23333333333,1739.7,1765.33333333333,1651.2,1574.6,1727.8,0,0,0,0,0,0,0,0,0,1.8900803851838,0.470475508472581,3.30208243857336,-10.3274954642074,-18.2922176308537,-1.77811885045653,0,0,0
140,30,1959.2,1846.86666666667,2083.06666666667,2999.2,2327.5,3697.66666666667,1718.2,1705.1,1731.6,1920.83333333333,1845.76666666667,1990.16666666667,0,0,0,0,0,0,0,0,0,-1.88219523832678,-3.16061378788269,-0.606596439245765,19.8685373852051,10.2628475415647,29.9530639715924,0,0,0
150,30,2139.43333333333,2018.9,2262.53333333333,1405.76666666667,1034.8,1832.06666666667,1742.66666666667,1730.53333333333,1754.43333333333,1651.4,1571.63333333333,1734.8,0,0,0,0,0,0,0,0,0,1.48337160192576,0.242372710579635,2.70999564349354,-11.3907340489835,-19.7401057948833,-2.51690178164242,0,0,0
160,30,2065.26666666667,1927.96666666667,2190.5,3047.66666666667,2456.06666666667,3636.46666666667,1725.23333333333,1713.13333333333,1736.93333333333,1918.36666666667,1840.8,1997.43333333333,0,0,0,0,0,0,0,0,0,-0.941715690612474,-2.19150351793209,0.341268321623711,19.8066638246005,9.60839824597796,29.2634607716764,0,0,0
170,30,2245.3,2119.13333333333,2360.63333333333,1570.06666666667,1059.56666666667,2184.5,1721.23333333333,1704.16666666667,1736.26666666667,1635.1,1558.66666666667,1709.73333333333,0,0,0,0,0,0,0,0,0,-0.161358805360687,-1.71471381527952,1.25560435805686,-11.7434627127941,-20.2736862485515,-2.08014175033044,0,0,0
