"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,62500,62500,100,100,0,0,0,0,0,0
1,10,57463,57581,147,226,0,0,0,47,126,0
1,20,55211,51360,248,582,0,0,0,68.7074829931973,157.522123893805,0
1,30,50244,33835,383,1555,0,0,0,54.4354838709677,167.182130584192,0
1,40,43472,5280,682,2182,0,0,0,78.0678851174935,40.3215434083601,0
1,50,28736,425,1153,1310,0,0,0,69.0615835777126,-39.9633363886343,0
1,60,12247,8159,1623,2517,0,0,0,40.7632263660017,92.1374045801527,0
1,70,3662,248,1858,980,0,0,0,14.479359211337,-61.0647596344855,0
1,80,1484,16357,1789,2399,0,0,0,-3.71367061356297,144.795918367347,0
1,90,2018,172,1724,1091,0,0,0,-3.63331470095025,-54.522717799083,0
1,100,2135,12461,1728,2603,0,0,0,0.232018561484919,138.58845096242,0
1,110,2331,56,1789,938,0,0,0,3.53009259259259,-63.9646561659624,0
1,120,1982,18769,1699,2280,0,0,0,-5.03074343208496,143.070362473348,0
1,130,2093,611,1711,1298,0,0,0,0.706297822248381,-43.0701754385965,0
1,140,2201,7014,1751,2511,0,0,0,2.33781414377557,93.4514637904468,0
1,150,1953,32,1716,1061,0,0,0,-1.9988577955454,-57.7459179609717,0
1,160,1605,13630,1764,2551,0,0,0,2.7972027972028,140.433553251649,0
1,170,2608,40,1714,898,0,0,0,-2.83446712018141,-64.7981183849471,0
1,180,2242,19649,1734,2358,0,0,0,1.16686114352392,162.583518930958,0
1,190,2144,381,1746,1095,0,0,0,0.692041522491349,-53.5623409669211,0
1,200,1788,12919,1719,2573,0,0,0,-1.54639175257732,134.977168949772,0
1,210,2881,487,1624,956,17,23,157,-5.52646887725422,-62.8449280994948,0
1,220,4085,20866,1550,1988,25,20,210,-4.55665024630542,107.949790794979,33.7579617834395
1,230,5939,2042,1468,1480,41,43,296,-5.29032258064516,-25.5533199195171,40.9523809523809
1,240,7868,8040,1446,2080,44,30,350,-1.49863760217984,40.5405405405405,18.2432432432432
1,250,9191,1851,1354,1349,44,64,486,-6.36237897648686,-35.1442307692308,38.8571428571429
1,260,13922,14473,1076,1671,43,47,520,-20.5317577548006,23.8695329873981,6.99588477366255
1,270,23616,7368,823,1619,46,65,515,-23.5130111524164,-3.11190903650509,-0.961538461538462
1,280,31717,8615,647,1595,37,73,437,-21.3851761846902,-1.48239654107474,-15.1456310679612
1,290,38136,8947,574,1607,14,59,376,-11.2828438948995,0.752351097178683,-13.9588100686499
1,300,39078,6944,569,1684,23,60,270,-0.871080139372822,4.79153702551338,-28.1914893617021
1,310,38835,4890,644,1895,15,42,249,13.1810193321617,12.5296912114014,-7.77777777777778
1,320,35429,2343,749,1544,23,50,259,16.304347826087,-18.5224274406332,4.01606425702811
1,330,31262,7080,852,1918,17,54,249,13.7516688918558,24.2227979274611,-3.86100386100386
1,340,27151,1799,951,1594,19,54,323,11.6197183098592,-16.8925964546403,29.718875502008
1,350,23616,6203,1003,1926,34,48,315,5.46792849631966,20.8281053952321,-2.47678018575851
1,360,21221,2839,1074,1505,36,50,359,7.07876370887338,-21.858774662513,13.968253968254
1,370,21249,8534,998,1798,32,35,375,-7.07635009310987,19.468438538206,4.45682451253482
1,380,23101,4758,983,1600,30,64,399,-1.50300601202405,-11.0122358175751,6.4
1,390,24108,7010,1004,1737,33,58,399,2.13631739572737,8.5625,0
1,400,23741,5434,986,1674,35,56,389,-1.79282868525896,-3.62694300518135,-2.5062656641604
1,410,24991,6276,923,1617,23,60,393,-6.3894523326572,-3.40501792114695,1.02827763496144
1,420,26369,7902,862,1714,37,44,377,-6.60888407367281,5.99876314162028,-4.07124681933842
1,430,27120,5638,919,1632,27,64,385,6.61252900232019,-4.78413068844807,2.12201591511936
1,440,26390,6364,923,1763,24,66,379,0.43525571273123,8.02696078431373,-1.55844155844156
1,450,25342,4703,901,1687,28,69,404,-2.38353196099675,-4.31083380601248,6.59630606860158
1,460,27529,5852,863,1662,30,68,342,-4.21753607103219,-1.4819205690575,-15.3465346534653
1,470,28204,6983,875,1528,24,60,363,1.39049826187717,-8.06257521058965,6.14035087719298
1,480,27879,8109,876,1845,37,59,347,0.114285714285714,20.7460732984293,-4.40771349862259
1,490,27017,3271,874,1547,28,52,349,-0.228310502283105,-16.1517615176152,0.576368876080692
1,500,28447,7489,899,1958,19,55,350,2.8604118993135,26.5675500969619,0.286532951289398
1,510,26265,2852,933,1436,27,76,402,3.78197997775306,-26.6598569969356,14.8571428571429
1,520,26436,10995,880,1779,26,60,340,-5.68060021436227,23.8857938718663,-15.4228855721393
1,530,26022,5217,909,1614,28,54,368,3.29545454545455,-9.27487352445194,8.23529411764706
