"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,30,62500,62500,62500,62500,62500,62500,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,57498.7666666667,57471,57526.0333333333,57521.6666666667,57488.3,57557.7666666667,98.0333333333333,96.7666666666667,99.3333333333333,97.6,96.4,98.7666666666667,0,0,0,0,0,0,0,0,0,-1.96666666666667,-3.26666666666667,-0.666666666666667,-2.4,-3.53333333333333,-1.23333333333333,0,0,0
20,30,57593.3666666667,57523.6666666667,57662.9666666667,57645.9,57577,57710.1666666667,142.7,139.7,145.666666666667,117.333333333333,115.233333333333,119.266666666667,0,0,0,0,0,0,0,0,0,45.6867406844485,42.5105984176932,48.9892346417906,20.224889529017,18.7380219379185,21.8851410092504,0,0,0
30,30,55360.4,55194.2,55512.2666666667,56624.4666666667,56517.6333333333,56731.3,201.066666666667,196.5,205.533333333333,149.566666666667,147.033333333333,152,0,0,0,0,0,0,0,0,0,40.9884721054452,38.7976460006006,43.1406690424169,27.5540780698445,25.9279787793174,29.1454732831984,0,0,0
40,30,52470.2333333333,52245.8666666667,52725.9,55028.7,54880.4333333333,55163.6,280.966666666667,273.366666666667,287.833333333333,189.4,185.866666666667,193.2,0,0,0,0,0,0,0,0,0,39.8228400874867,37.5782704591872,42.2105914353609,26.6964287018588,24.9524362628286,28.3631292881363,0,0,0
50,30,48442.4,48094.3,48803.9333333333,53021.7,52812.1,53189.5333333333,398.6,388.433333333333,409.033333333333,239.966666666667,235.966666666667,244.566666666667,0,0,0,0,0,0,0,0,0,42.0486789127619,39.7869111479145,44.3350433215887,26.7814251761252,25.1925779780974,28.3159582720214,0,0,0
60,30,42608.5666666667,42124.1,43104.7666666667,50500.6333333333,50291.6333333333,50708.9,561.166666666667,548.5,573.833333333333,304,297.5,310.466666666667,0,0,0,0,0,0,0,0,0,40.9354008399168,39.2621232159531,42.6381471096341,26.7105274966303,25.1150690885021,28.3623489748219,0,0,0
70,30,34621.4666666667,34040.0666666667,35195.2333333333,47265.4,46931.9666666667,47566.8666666667,786.666666666667,768.533333333333,804.166666666667,387.533333333333,379.966666666667,395.9,0,0,0,0,0,0,0,0,0,40.258105306828,38.7280834199061,41.8016129871979,27.555500878114,26.2003712766175,29.0203294487078,0,0,0
80,30,24411.2,23712.9,25176.4333333333,43141.9,42727.6333333333,43557.4333333333,1072.73333333333,1050.66666666667,1093.53333333333,492.6,482.4,502.6,0,0,0,0,0,0,0,0,0,36.4821128323073,35.2242293083891,37.7221251970593,27.1411776430896,25.8289073530995,28.2878539878495,0,0,0
90,30,14143.4666666667,13482.8333333333,14843.1666666667,37941.8666666667,37369.1,38480.1666666667,1382.03333333333,1359.43333333333,1403.23333333333,626.3,612.7,638.866666666667,0,0,0,0,0,0,0,0,0,28.9220610298981,28.0404279265462,29.7924747505296,27.1748522928542,26.179116931293,28.2219228897862,0,0,0
100,30,6764.03333333333,6327.26666666667,7220.6,31511.3,30814.7333333333,32148.4333333333,1585.83333333333,1571,1599.73333333333,791.6,774.066666666667,808.166666666667,0,0,0,0,0,0,0,0,0,14.8998918972206,13.4988264147925,16.3222994425852,26.4164921701691,25.5503223730479,27.2669462511958,0,0,0
110,30,3625.7,3431.13333333333,3834.86666666667,24325.3,23641.1666666667,24996.8333333333,1659.53333333333,1650.5,1669.43333333333,991.1,971.833333333333,1010.53333333333,0,0,0,0,0,0,0,0,0,4.71148209965628,3.65778655467997,5.7705106137194,25.2487073897773,24.3847486263501,26.1648195885951,0,0,0
120,30,2914.43333333333,2770.43333333333,3066.2,16809.1,16160.3666666667,17449.1666666667,1654.76666666667,1646.56666666667,1663.86666666667,1210.8,1190.13333333333,1231.46666666667,0,0,0,0,0,0,0,0,0,-0.259184884399984,-1.10794276892976,0.501913293326302,22.2614856486688,21.4354180499864,23.1190742138055,0,0,0
130,30,2790.33333333333,2641.4,2948.26666666667,10340.4333333333,9832.06666666667,10837.3666666667,1652.9,1641.9,1664.2,1424.4,1409.7,1440.13333333333,0,0,0,0,0,0,0,0,0,-0.0894914543383095,-1.03945483046784,0.783613147182971,17.7350459657365,16.89317360719,18.6105373661034,0,0,0
140,30,2852.56666666667,2699.3,3003.76666666667,6073.46666666667,5797.46666666667,6355.83333333333,1645.73333333333,1635.06666666667,1655.83333333333,1576,1566.16666666667,1586.2,0,0,0,0,0,0,0,0,0,-0.39477194390401,-1.40088593508926,0.523638348367253,10.6924265640154,9.92698161491199,11.4929586576805,0,0,0
150,30,2940.63333333333,2815.4,3067.53333333333,3911.96666666667,3755.16666666667,4061.83333333333,1652.03333333333,1642.83333333333,1662.4,1653.26666666667,1643.6,1661.73333333333,0,0,0,0,0,0,0,0,0,0.4249152910061,-0.66566274941602,1.40227346538467,4.93032355402752,4.15657387572853,5.71457676603484,0,0,0
160,30,2841.83333333333,2715.6,2967.23333333333,2962.13333333333,2831.83333333333,3084.06666666667,1652.03333333333,1643.6,1659.83333333333,1683.2,1674.53333333333,1691.96666666667,0,0,0,0,0,0,0,0,0,0.0310939270533835,-0.74772937071524,0.82893660419281,1.82525808662546,1.23718282616552,2.40098841803012,0,0,0
170,30,2800,2707.63333333333,2907.36666666667,2716.9,2582.96666666667,2844.63333333333,1649.16666666667,1638.56666666667,1660,1680.93333333333,1674.8,1687.5,0,0,0,0,0,0,0,0,0,-0.154286539805204,-1.01340205169107,0.609137311178375,-0.110932028664621,-0.782589946990723,0.567340082952075,0,0,0
180,30,2925.46666666667,2792.43333333333,3067.03333333333,2708.76666666667,2608.6,2803.3,1648.43333333333,1640.6,1656.6,1658.03333333333,1650.5,1665.13333333333,0,0,0,0,0,0,0,0,0,-0.0133580126898904,-0.793218740970525,0.768173572364761,-1.3534470335617,-1.8304550828374,-0.820434293967652,0,0,0
190,30,2941.2,2815.13333333333,3060.9,2943.1,2835,3045,1647.7,1639.9,1656.2,1647.56666666667,1639.86666666667,1654.5,0,0,0,0,0,0,0,0,0,-0.021973162772202,-0.79746321501804,0.750057293097043,-0.622989669436909,-1.13446697891075,-0.188256171658944,0,0,0
200,30,2896.66666666667,2746.83333333333,3057.76666666667,3083.33333333333,2923.53333333333,3230.86666666667,1648.93333333333,1640.2,1657.4,1643.56666666667,1635.8,1651.56666666667,0,0,0,0,0,0,0,0,0,0.090520364261917,-0.58199258489158,0.783095275194512,-0.233834023931951,-0.718686309756364,0.27019560872093,0,0,0
210,30,3719.93333333333,3603.93333333333,3833.2,4005.66666666667,3830.96666666667,4162.13333333333,1497.03333333333,1489.6,1504.03333333333,1471.03333333333,1461.13333333333,1479.96666666667,19.5333333333333,18.2333333333333,20.8666666666667,18.7666666666667,17.4333333333333,20.0333333333333,99.6,97.6666666666667,101.6,-9.18871226974573,-9.91417343071481,-8.54671387310692,-10.4905652531701,-11.0012090532297,-9.96246672296895,0,0,0
220,30,5544.96666666667,5407.6,5667.06666666667,6295.9,6116.83333333333,6479.5,1472.86666666667,1464.56666666667,1480.83333333333,1391.9,1383.4,1400,16.2666666666667,14.7333333333333,17.8333333333333,17.9666666666667,16.5333333333333,19.4,116.133333333333,112.1,120.233333333333,-1.59404903920412,-2.44515504465952,-0.935478763535965,-5.35415339663801,-6.12213639093647,-4.56532899271509,16.6670987819671,12.9507934493416,20.4251755235987
230,30,6322.73333333333,6133.03333333333,6483.86666666667,7717.06666666667,7528.46666666667,7891.2,1435.46666666667,1423.23333333333,1446,1332.56666666667,1321.06666666667,1344.2,19.8666666666667,18.6333333333333,21.2,19.2333333333333,17.7333333333333,20.6666666666667,135.066666666667,130.066666666667,139.733333333333,-2.51470175543382,-3.48390720042268,-1.61702560567976,-4.25448254226715,-4.99392321603827,-3.51549007106265,16.6706163574998,13.4506644212017,19.7651001043878
240,30,7223.6,6971.76666666667,7475.8,9283.66666666667,8991.7,9585.16666666667,1386.53333333333,1373.93333333333,1397.66666666667,1280.63333333333,1267.76666666667,1293.53333333333,22.9,21.4333333333333,24.3333333333333,21.6666666666667,20.2,23.2,151.433333333333,147.7,155.4,-3.38667974505869,-4.17545592608687,-2.60734067029202,-3.88789211612874,-4.7020815444,-3.18063499762491,12.5828755209116,10.3704884987315,15.107506474295
250,30,8206.23333333333,7957.8,8453.2,10796.8333333333,10344.6,11273.4666666667,1344.03333333333,1332.36666666667,1357.06666666667,1215.96666666667,1200.53333333333,1232.36666666667,24.9333333333333,23.2666666666667,26.4,21.4,19.9333333333333,22.7666666666667,166.333333333333,162.666666666667,170.4,-3.0341637083627,-3.91093038284204,-2.05325586999698,-5.05373102687522,-5.69735795846876,-4.44575256543248,10.1533777803344,7.47899904397689,12.7991626396605
260,30,9441.23333333333,9097.3,9796.43333333333,12796.8,12349.4,13247.5,1310.73333333333,1297.2,1324.03333333333,1146.93333333333,1132.33333333333,1160.4,24.9333333333333,23.3333333333333,26.5666666666667,22.7,21.3333333333333,24.2,169.4,165.533333333333,173.833333333333,-2.44636288168419,-3.45960117942402,-1.47027096869095,-5.63974986361987,-6.44563681892726,-4.83932652452587,2.0878710401308,-0.453990412958717,4.37503040647869
270,30,10251.7333333333,9866.2,10674.0333333333,14662.9333333333,14149.6333333333,15157.8,1285.16666666667,1270.53333333333,1298.5,1101.56666666667,1085.4,1117.4,26.0333333333333,24.4666666666667,27.7,21.9666666666667,20.6333333333333,23.3333333333333,171.566666666667,166.9,176.4,-1.93094448657144,-2.83191698852611,-1.13916956700379,-3.94883421419252,-4.7744840597303,-3.17963576739644,1.40049967754983,-0.904829461617554,3.45122463637284
280,30,10854.8,10482.9333333333,11254.4333333333,16216.2333333333,15722.1333333333,16760.4666666667,1275.46666666667,1263.13333333333,1288.1,1051.63333333333,1034.63333333333,1068.66666666667,24.7333333333333,22.9,26.5333333333333,21.7,19.9333333333333,23.2,165.3,160.066666666667,170.3,-0.698226019230417,-1.67540232796845,0.373929816809326,-4.51895640289044,-5.36324033586044,-3.591190610993,-3.51270011819639,-6.05764304905773,-0.888138858253131
290,30,10988.9333333333,10595.3333333333,11385.8666666667,17647.1,17062.5,18207.7,1264,1248.3,1280.76666666667,1024.83333333333,1007.03333333333,1042.3,23.8,22.2666666666667,25.2,20.2333333333333,18.5333333333333,21.8,152.6,147.533333333333,157.333333333333,-0.898254893160922,-1.77878539891878,-0.0314894757527205,-2.52514999207194,-3.62270046965399,-1.49366226898784,-7.34575306551919,-10.1198306822086,-4.65997654608978
300,30,11218.3,10767.9666666667,11708.2,18410.4666666667,17778.1,18988.3,1281.5,1267,1295.63333333333,1015.16666666667,994.566666666667,1037.43333333333,22.5666666666667,20.7666666666667,24.3,19.2666666666667,17.9,20.6666666666667,144.7,140.266666666667,149.266666666667,1.43771434834806,0.523789856398672,2.34889008132656,-0.952372076560799,-1.86972926364465,-0.00683388844521662,-4.8407892607505,-7.64410043361777,-1.89746344545895
310,30,10669.7333333333,10274.7666666667,11034.3,18776.4333333333,18028.6,19551.3,1302.83333333333,1287.9,1319.2,1016.7,995.333333333333,1035.5,21.5333333333333,19.8666666666667,23.3333333333333,17.1666666666667,15.6,18.7666666666667,137.133333333333,132.533333333333,141.866666666667,1.70182016326577,0.66773005640375,2.80629029846646,0.19125598224807,-0.855600634040545,1.242829965412,-5.09368966071596,-7.69596678508981,-2.81600198878666
320,30,9989.93333333333,9631.63333333333,10357.3,18292.2666666667,17562.5,19042.2333333333,1326.26666666667,1311.23333333333,1339.86666666667,1032.56666666667,1013.76666666667,1051.96666666667,20.9333333333333,19.3333333333333,22.4333333333333,17.8333333333333,16.0333333333333,19.5333333333333,132.466666666667,127.133333333333,137.766666666667,1.87118039713556,0.687525045219913,3.16283354935904,1.62089609159409,0.727583170559194,2.49561396950222,-3.22485547138137,-6.27058102793851,-0.439867148364384
330,30,9418.36666666667,9017.06666666667,9812.16666666667,17778.4,17135.0333333333,18469.0333333333,1348.5,1333.06666666667,1363.46666666667,1049.36666666667,1028.66666666667,1068.76666666667,20.3333333333333,18.6,21.9,17.4333333333333,15.9666666666667,18.9333333333333,129.533333333333,124.6,135.166666666667,1.71990157337914,0.592826783405134,2.83346901936169,1.65594520913884,0.637843659534162,2.62882423435708,-1.90098826795702,-4.90437776612595,0.856556481937473
340,30,8829.2,8420.7,9191.26666666667,17114.5333333333,16415.7,17806.1,1360.56666666667,1346.83333333333,1374.6,1075.23333333333,1055.56666666667,1094.4,21.8333333333333,20.5333333333333,23.0666666666667,15.9333333333333,14.2,17.7333333333333,130.033333333333,125,134.5,0.93065134138289,0.0987497350837902,1.75094124773098,2.49186170309853,1.65106756907912,3.25685964103743,0.923599239723945,-2.14094087295897,4.05005690426977
350,30,8707.73333333333,8339.4,9070.36666666667,16259.8333333333,15563.9,16970.4,1366.43333333333,1350.2,1384.43333333333,1095.73333333333,1075.83333333333,1116.56666666667,20.9666666666667,19.4,22.5333333333333,17.7666666666667,16.5,19.0333333333333,128.1,124.133333333333,132.066666666667,0.447744369230953,-0.356454254040189,1.16747861165119,1.94061413554277,0.98853049011468,2.79513414221872,-1.07224142617791,-3.74315087117803,1.68078083871724
360,30,8332.33333333333,7946.53333333333,8743.4,15584.6333333333,14928.3,16183.4666666667,1384.8,1367.23333333333,1401.13333333333,1116.96666666667,1095.86666666667,1138.43333333333,21.7333333333333,20.2,23.3,16.6333333333333,15.3333333333333,17.9666666666667,131.233333333333,126.566666666667,135.766666666667,1.38338999273049,0.39036693821649,2.39489469113452,1.9549624693211,1.11059289916557,2.80724046792887,2.69639506901092,-0.396475610095673,5.87306355716041
370,30,8112.36666666667,7719.3,8528.53333333333,15129.5333333333,14460.5,15796,1373.33333333333,1360.76666666667,1388.23333333333,1122.9,1101.1,1142.86666666667,22.0333333333333,20.7,23.3666666666667,18.0333333333333,16.5333333333333,19.3,133.5,128.266666666667,138.033333333333,-0.777961648208804,-1.66733304238951,0.152895629998495,0.582764280191408,-0.375049694259162,1.51528235458047,1.91887268735404,-0.806731507639836,4.2736715326002
380,30,8145.13333333333,7781.6,8477.2,14834.6,14205.6333333333,15453.2,1377.4,1364.46666666667,1390.93333333333,1141.83333333333,1120.63333333333,1163.43333333333,21.5,19.8333333333333,23.1333333333333,17.7333333333333,16.1666666666667,19.5333333333333,135.666666666667,130.333333333333,140.6,0.33557435661121,-0.668498958545197,1.36849958584873,1.72029737719659,0.571620876573189,2.75516548882561,1.9340267994081,-0.903894956492046,5.11149731786444
390,30,8389.16666666667,8056.13333333333,8705.4,14376.6333333333,13723.6,15053.8666666667,1358.66666666667,1343.93333333333,1371.83333333333,1139.83333333333,1119.16666666667,1162.3,21.7666666666667,20.2666666666667,23.4,18.3666666666667,17.0666666666667,19.6333333333333,140.666666666667,134.866666666667,145.933333333333,-1.3287852785413,-2.40223898885701,-0.278074863969631,-0.11762392379311,-1.1634934283376,0.924567101919432,3.9525065465132,1.17299206091559,6.61940200909668
400,30,8824.43333333333,8439.26666666667,9201.66666666667,14380.7,13704.0333333333,15087.3666666667,1357.83333333333,1340.83333333333,1374.36666666667,1139.96666666667,1118.6,1159.46666666667,22.0666666666667,20.1,23.9666666666667,18.7,17.1,20.2666666666667,142.433333333333,137.366666666667,147.433333333333,-0.0338776832117591,-0.978887082968475,0.880768556962196,0.0454337610031408,-0.782827210212559,0.893284634978746,1.55530031311309,-0.740788533552945,4.00777203490891
410,30,8778.96666666667,8287.7,9251.06666666667,14545.4333333333,13882.0666666667,15237.0333333333,1355.96666666667,1336.16666666667,1374.2,1134.8,1112.43333333333,1155.83333333333,21.8666666666667,20.2,23.4333333333333,19.7666666666667,18.3666666666667,21.1666666666667,143.633333333333,137.9,149.433333333333,-0.110800441581244,-1.11955223526832,0.988351408041583,-0.424385032248254,-1.54964788901934,0.692448406777762,0.908065737353672,-1.60660205014931,3.25798438683074
420,30,8873.43333333333,8398.9,9379.4,14771.1666666667,14068.1,15399.7333333333,1339.5,1318.4,1359.3,1126,1102.5,1148.53333333333,22.3333333333333,20.5333333333333,23.9,18.3666666666667,17.2,19.4666666666667,145.633333333333,140.766666666667,150.333333333333,-1.19701352197836,-1.91691441705994,-0.440983971288381,-0.755451722985152,-1.72748039312088,0.253981862706577,1.92620131155895,-0.981833664346294,4.67416339343505
430,30,9308.06666666667,8819,9808.36666666667,15113.4666666667,14328.7,15889.4,1331.8,1312.53333333333,1351.46666666667,1110.56666666667,1082.36666666667,1135.3,21.8,20.4666666666667,23.2,18.3,16.9,19.6,147.566666666667,142.533333333333,152.566666666667,-0.541667462092876,-1.60785958441176,0.447591277295026,-1.38289143903805,-2.28357027559707,-0.501204523781451,1.6472044014046,-0.792705593362344,4.17164262259302
440,30,9414.93333333333,8858.56666666667,9930.13333333333,15433.9333333333,14570.8666666667,16270.9,1336.46666666667,1318.86666666667,1351.96666666667,1102.43333333333,1078.63333333333,1126.23333333333,23.8666666666667,22,25.6333333333333,18.8333333333333,17.4666666666667,20.1333333333333,148.733333333333,143.433333333333,153.7,0.423425654109057,-0.576235921172592,1.61289317421838,-0.655576157977163,-1.78987622904045,0.505023392307654,1.13893076400121,-1.99489300238934,4.13870202731448
450,30,9493.26666666667,9052.53333333333,9929.16666666667,15760.0333333333,14999.5333333333,16569.8666666667,1324.73333333333,1308.93333333333,1341,1095.2,1071.9,1116.4,23.4666666666667,21.5333333333333,25.2,19.5666666666667,18.1,21.1,145.9,139.533333333333,151.833333333333,-0.835585534436492,-1.9168723623757,0.114370062031456,-0.571199075632425,-1.65619279071019,0.621777443311934,-1.86343071579389,-4.44890781279566,0.746672682136082
