"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,30,62500,62500,62500,62500,62500,62500,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,57484.9333333333,57446.7666666667,57521.7666666667,57512.2333333333,57473.6666666667,57548.2333333333,99.3,98.1666666666667,100.433333333333,106.366666666667,103.766666666667,109.1,0,0,0,0,0,0,0,0,0,-0.7,-1.86666666666667,0.466666666666667,6.36666666666667,3.66666666666667,9.23333333333333,0,0,0
20,30,57503.3666666667,57439,57576.4333333333,57179.2666666667,57040.1,57311.9666666667,143,139.233333333333,146.8,232.633333333333,226,239.066666666667,0,0,0,0,0,0,0,0,0,43.9654193795118,41.0038266151254,47.2795675325481,119.490750539239,112.020342459697,127.195694991287,0,0,0
30,30,55348.2333333333,55126.1,55526.6333333333,50874.9333333333,50535.7666666667,51225.3,202.2,197.833333333333,206.933333333333,392.433333333333,381.6,403.366666666667,0,0,0,0,0,0,0,0,0,41.6973007304066,38.9480906315492,44.6217376625428,69.0061365657589,65.5989067878134,72.1796082371757,0,0,0
40,30,52397.7,52152.1333333333,52625.3,42907.0666666667,42316.9333333333,43467,282.566666666667,277.333333333333,288.1,716.066666666667,694.733333333333,736.966666666667,0,0,0,0,0,0,0,0,0,39.9197528186869,38.2167976333889,41.7129006471012,82.6306875855779,79.5689791602886,85.6768098168799,0,0,0
50,30,48378.5666666667,48115.9,48638.9333333333,27506.0333333333,26593.1333333333,28423.4,404.5,396.066666666667,414,1230.4,1202.06666666667,1257,0,0,0,0,0,0,0,0,0,43.2024596234077,41.4326445843059,44.9237516188833,72.1974714645616,69.6058343829589,74.8096236796876,0,0,0
60,30,42265.6666666667,41801.7333333333,42652.0666666667,10107.7666666667,9435.63333333333,10850.1,565.666666666667,554.133333333333,577.333333333333,1699.36666666667,1676.43333333333,1722.26666666667,0,0,0,0,0,0,0,0,0,39.9092039219423,38.4442210445352,41.346536309951,38.5021118939635,35.7340196750702,41.3110450615877,0,0,0
70,30,34485.3666666667,33933.1333333333,35048.2333333333,2507.1,2287.96666666667,2751.1,790.966666666667,773.733333333333,807.233333333333,1686.73333333333,1667.4,1706.03333333333,0,0,0,0,0,0,0,0,0,39.8539452945089,38.781347208572,40.9857336030689,-0.534422264512031,-2.90639949929164,1.58306595377813,0,0,0
80,30,24403.0333333333,23728.3666666667,25074.3666666667,2360.7,2184.83333333333,2531.1,1078.4,1059.36666666667,1098.5,1729.9,1703.43333333333,1754.86666666667,0,0,0,0,0,0,0,0,0,36.4370919193744,35.2622256758095,37.6457655932068,2.77046262895531,0.230351122427081,5.11816324183126,0,0,0
90,30,13925.2666666667,13265.2333333333,14524.6666666667,2135.03333333333,1972.76666666667,2301.33333333333,1382.63333333333,1361.53333333333,1403.76666666667,1731.23333333333,1705.7,1754.66666666667,0,0,0,0,0,0,0,0,0,28.3331582758768,26.9156027885058,29.5848717580255,0.340507899173335,-2.14949182423482,2.93982794505285,0,0,0
100,30,6682.9,6313.93333333333,7054.16666666667,2124.36666666667,1933.76666666667,2335.5,1584.1,1573.53333333333,1594.7,1741,1723.2,1759.6,0,0,0,0,0,0,0,0,0,14.7166658221354,13.3870072269659,16.082192372649,0.793311426535922,-1.50411530001264,3.11565992065026,0,0,0
110,30,3725.86666666667,3591.56666666667,3851.8,2016.63333333333,1855.06666666667,2186.83333333333,1660.66666666667,1653.36666666667,1668.43333333333,1739.13333333333,1723.1,1755.76666666667,0,0,0,0,0,0,0,0,0,4.87685951320901,3.86744693643022,5.78957192387916,0.00571806403692663,-1.75266469991425,1.49884469831061,0,0,0
120,30,2809.16666666667,2693.46666666667,2920.36666666667,2000.33333333333,1864.03333333333,2135.13333333333,1660.46666666667,1649.2,1671.6,1746.03333333333,1730.73333333333,1760.46666666667,0,0,0,0,0,0,0,0,0,0.00664058339666797,-0.866520136918963,0.971700037741366,0.491693141950462,-0.998401341918077,1.98274739070475,0,0,0
130,30,2814.96666666667,2692.43333333333,2940.76666666667,2021.7,1883.66666666667,2160.2,1649.13333333333,1640.56666666667,1656.3,1735.53333333333,1716.66666666667,1752.23333333333,0,0,0,0,0,0,0,0,0,-0.634145049491071,-1.64363699539915,0.354020396922646,-0.507038396409588,-2.1784532372264,1.03654663888142,0,0,0
140,30,2846.63333333333,2728.3,2962.43333333333,2140.13333333333,1989,2274.43333333333,1645.53333333333,1634.8,1657.1,1731.96666666667,1710.86666666667,1753.06666666667,0,0,0,0,0,0,0,0,0,-0.206239952543654,-0.903720728749129,0.498490854085126,-0.0734322630359861,-2.09460636721661,1.70422167746993,0,0,0
150,30,2969.73333333333,2791.66666666667,3146.13333333333,2074,1955.7,2183.13333333333,1650.06666666667,1640.5,1659.7,1745.9,1723.6,1766.93333333333,0,0,0,0,0,0,0,0,0,0.314047624361397,-0.644701015655902,1.30913654621917,0.974351245908769,-1.31857252361235,3.17764156378211,0,0,0
160,30,2898.9,2774.96666666667,3034.8,1982.9,1824.1,2149,1641.26666666667,1633.46666666667,1648.43333333333,1735,1716.66666666667,1755.13333333333,0,0,0,0,0,0,0,0,0,-0.498989546498494,-1.32753960361663,0.293465199681502,-0.441073844068035,-2.57946342152512,1.72251794763887,0,0,0
170,30,2976.73333333333,2840.96666666667,3119,2058.83333333333,1888.83333333333,2237.83333333333,1657.13333333333,1645.73333333333,1668.23333333333,1741.26666666667,1724.63333333333,1757.33333333333,0,0,0,0,0,0,0,0,0,0.983332296010808,0.245707004825359,1.81699889965775,0.502958694588004,-1.23974182344372,2.22340593814483,0,0,0
180,30,2772,2639.2,2901.3,2077.7,1928.43333333333,2230.1,1651.9,1644.9,1658.43333333333,1732.7,1719.3,1745.5,0,0,0,0,0,0,0,0,0,-0.284437347210345,-1.02753662817128,0.441442887704191,-0.398362190954293,-1.72944383490875,0.970122046929262,0,0,0
190,30,2845.96666666667,2737.53333333333,2942.96666666667,1998.46666666667,1879.96666666667,2119.23333333333,1647.23333333333,1634.36666666667,1659.96666666667,1742.03333333333,1725.6,1757.7,0,0,0,0,0,0,0,0,0,-0.257122249701235,-1.25437190774414,0.805311066322733,0.604927614263729,-0.809525940180342,1.92991156821967,0,0,0
200,30,3015.06666666667,2857.7,3184.2,2098.16666666667,1948.43333333333,2232.76666666667,1644.86666666667,1634.2,1655.63333333333,1739.5,1724.53333333333,1755.16666666667,0,0,0,0,0,0,0,0,0,-0.101144981262112,-1.09846618385536,0.81459325425686,-0.0345592761682788,-1.60903658582037,1.54772826328865,0,0,0
210,30,3802.43333333333,3620.5,3973.03333333333,2740.2,2587.26666666667,2891.73333333333,1499.46666666667,1489.76666666667,1510.73333333333,1614.4,1599.36666666667,1629.26666666667,19.3333333333333,17.7333333333333,21,18.6333333333333,17.2333333333333,19.9666666666667,104.233333333333,101.9,106.766666666667,-8.81137818796672,-9.63474436838439,-7.99035227923145,-7.11438970868836,-8.51251439712901,-5.78417128862918,0,0,0
220,30,5705.53333333333,5485.53333333333,5905.7,3935.23333333333,3714.6,4166.06666666667,1449.13333333333,1436.13333333333,1460.33333333333,1662.4,1643.7,1681.6,18.7666666666667,17.2,20.2,18.7333333333333,17.3666666666667,20.3,128.366666666667,124.933333333333,131.866666666667,-3.33616357518493,-4.18316678361411,-2.53517719022176,3.09507994176915,1.19056629238935,4.88004327670534,23.224636630571,20.9811216206783,25.4614007378871
230,30,6713.9,6475.1,6979.43333333333,3611.1,3367.63333333333,3858.26666666667,1418.66666666667,1409.2,1427.43333333333,1598.8,1580.83333333333,1616.9,21.3333333333333,20.1333333333333,22.5,23.4333333333333,21.7,25.1,153.633333333333,149.6,157.666666666667,-2.05311680502586,-3.05267897760744,-1.11433914300524,-3.69081507825167,-5.59467796915644,-1.88822053447266,20.0005029387472,16.9935430468579,22.8002618904987
