"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,30,62500,62500,62500,62500,62500,62500,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,57515.2,57485.1333333333,57542.1666666667,57519.0333333333,57483.0333333333,57554.7666666667,98.8666666666667,97.7333333333333,100,95.1666666666667,94.2666666666667,96.0333333333333,0,0,0,0,0,0,0,0,0,-1.13333333333333,-2.3,0,-4.83333333333333,-5.8,-3.96666666666667,0,0,0
20,30,57544.5,57478.2666666667,57611.7333333333,57719.3333333333,57663.0333333333,57773.8,142.066666666667,138.866666666667,145.2,99.1333333333333,97.9,100.333333333333,0,0,0,0,0,0,0,0,0,43.7565939839168,40.8736841720612,46.9563530872343,4.15707975071577,3.42283226031405,4.8653203188088,0,0,0
30,30,55396.7666666667,55242.3,55537.3,57555.6333333333,57484.0333333333,57626.2,201.033333333333,197.166666666667,204.866666666667,105.5,103.866666666667,107.133333333333,0,0,0,0,0,0,0,0,0,41.7244501699755,39.2163433113608,44.3887385368855,6.41045420571403,5.72037805641896,7.13031587879916,0,0,0
40,30,52467.1666666667,52269.2,52669.6666666667,57245.7666666667,57158.9333333333,57322.3666666667,281.566666666667,276.266666666667,287.2,113.3,111.7,114.833333333333,0,0,0,0,0,0,0,0,0,40.1867792572719,37.8661217626785,42.3450812327884,7.45118704416165,6.41375372531512,8.50120983210913,0,0,0
50,30,48389.0666666667,48095.5,48724.8,56846.8666666667,56766.2333333333,56922.3,394.866666666667,385.8,403.7,122.4,120.666666666667,124.166666666667,0,0,0,0,0,0,0,0,0,40.2612576255914,38.5756725199672,41.9556829888276,8.05072548692325,7.21132329894761,8.91524159138088,0,0,0
60,30,42833.7666666667,42358.6666666667,43281.4,56374,56264.1333333333,56475.5,549.966666666667,536.066666666667,561.866666666667,132.266666666667,129.9,134.6,0,0,0,0,0,0,0,0,0,39.3506493015059,37.6759506842924,41.0258448263308,8.04949022785599,7.14637981068904,8.91197744026507,0,0,0
70,30,35243.9333333333,34583.5333333333,35876.6666666667,55894.0666666667,55768.7,56012.6666666667,775.166666666667,754.966666666667,794.9,142.666666666667,140.233333333333,145.033333333333,0,0,0,0,0,0,0,0,0,40.9304120874022,39.4456757100884,42.2926454883167,7.89361942605614,7.21960675345161,8.51459580770424,0,0,0
80,30,25049.8,24186.3,25900.2333333333,55368.4,55229.5666666667,55510.3666666667,1054.5,1030.13333333333,1080.06666666667,153.866666666667,151.2,156.233333333333,0,0,0,0,0,0,0,0,0,36.1440163513891,34.979881917353,37.2840396145434,7.86593690437748,7.11117607811398,8.63347757238995,0,0,0
90,30,14679.5333333333,13919.5,15515.2666666667,54860.6666666667,54720.7666666667,55003.6,1372.1,1347.86666666667,1395,166.833333333333,163.733333333333,169.833333333333,0,0,0,0,0,0,0,0,0,30.2865246709971,28.9871555620193,31.555677656523,8.42988404942171,7.55148528405836,9.26316113485877,0,0,0
100,30,6960.26666666667,6528.4,7380.86666666667,54162.3,53985.3666666667,54345.2,1579.8,1567.16666666667,1594.03333333333,179.266666666667,175.6,182.7,0,0,0,0,0,0,0,0,0,15.3180415038159,13.7906524818163,16.8056112503789,7.44023046347729,6.71224292154028,8.21203610017443,0,0,0
110,30,3707.26666666667,3532.4,3899.43333333333,53535.0666666667,53358.5333333333,53724.8666666667,1656.83333333333,1644.2,1669.23333333333,194.266666666667,189.833333333333,198.4,0,0,0,0,0,0,0,0,0,4.9523206887703,3.57265228357094,6.34475657613818,8.3610902127478,7.41388772153624,9.27099030945451,0,0,0
120,30,2845.1,2654,3022.36666666667,52795.4666666667,52587.3333333333,53034.2666666667,1651.6,1642.66666666667,1661.6,209.8,205.366666666667,213.6,0,0,0,0,0,0,0,0,0,-0.273936999200518,-1.21080971533099,0.624367080944178,8.05942786627832,7.10266184134042,9.0103232137861,0,0,0
130,30,2737.3,2596.53333333333,2881.03333333333,51974.6333333333,51765.9666666667,52217.4333333333,1654.4,1645.46666666667,1663.63333333333,226.466666666667,220.933333333333,231.233333333333,0,0,0,0,0,0,0,0,0,0.193825065310885,-0.577215576622255,0.932331050172145,7.95041162588122,7.17562428053658,8.69511751949459,0,0,0
140,30,2830.03333333333,2666.86666666667,2986.1,51155.7666666667,50895.0666666667,51397.9333333333,1645.93333333333,1636.36666666667,1655.46666666667,246.2,240.4,251.6,0,0,0,0,0,0,0,0,0,-0.484027715084699,-1.33879531822322,0.291835038378699,8.69642617045986,8.02019491332178,9.32480096298243,0,0,0
150,30,2875.13333333333,2752.03333333333,2992.86666666667,50224.1666666667,49952.0666666667,50503.3,1651.86666666667,1643.33333333333,1660.83333333333,265.433333333333,259.166666666667,271.2,0,0,0,0,0,0,0,0,0,0.386658946214996,-0.356665632331657,1.15481103855756,7.84588571243032,7.26196708801019,8.3764527677009,0,0,0
160,30,2898.1,2791.73333333333,3007.5,49298.1,49025.9,49586.5333333333,1647.63333333333,1640.56666666667,1654.46666666667,286.933333333333,280,293.133333333333,0,0,0,0,0,0,0,0,0,-0.232295678695502,-0.984350322973716,0.533721973253267,8.10139508788523,7.44959631602446,8.77990022703304,0,0,0
170,30,2851.33333333333,2740.46666666667,2971.13333333333,48186.7,47847.2333333333,48503.3,1655.9,1645.7,1666.83333333333,309.866666666667,302.8,317.3,0,0,0,0,0,0,0,0,0,0.519199430540516,-0.269936043665707,1.25046531037176,7.98460199816583,7.43325519857934,8.54775721662273,0,0,0
180,30,2832.03333333333,2713.5,2954.16666666667,47010.7333333333,46621.2,47384.1,1655,1647.8,1661.46666666667,332.9,324.233333333333,341.4,0,0,0,0,0,0,0,0,0,-0.0194616503840153,-0.809125096180406,0.826807854127139,7.42548807799913,6.896790665913,7.94072965475415,0,0,0
190,30,2786.16666666667,2636.36666666667,2938,45871.9666666667,45460.4333333333,46257.3,1652.5,1644.2,1660.43333333333,359.4,349.366666666667,368.366666666667,0,0,0,0,0,0,0,0,0,-0.139740746121986,-0.776263111872266,0.463364879976695,7.95259150676232,7.42040518792535,8.56400661108486,0,0,0
200,30,2788.06666666667,2657.4,2927,44557.8333333333,44124.2,45002.3333333333,1648.83333333333,1639.83333333333,1657.5,389.633333333333,379.233333333333,399.833333333333,0,0,0,0,0,0,0,0,0,-0.198615170406573,-1.02845218118535,0.575664374277857,8.42292259829545,7.75089517862041,9.0797113449559,0,0,0
210,30,3795.23333333333,3626.96666666667,3948.03333333333,44317.6,43822.3,44797.7,1486.4,1475.5,1496.13333333333,360.966666666667,350.8,370.133333333333,21.1333333333333,19.7333333333333,22.6666666666667,4.56666666666667,3.7,5.46666666666667,57.8333333333333,55.5,60.1333333333333,-9.8338324523504,-10.5994142026056,-9.04604382164329,-7.34157005995494,-7.90705629517795,-6.77185926596746,0,0,0
220,30,5337.33333333333,5113.56666666667,5570.4,45083.9333333333,44621.4333333333,45514.4333333333,1511.13333333333,1499.96666666667,1522.86666666667,359.733333333333,350.566666666667,369.033333333333,10.9333333333333,9.8,12.2,2.96666666666667,2.36666666666667,3.6,42.4333333333333,40.1333333333333,44.8,1.69954599314499,0.755442838997825,2.70614125703387,-0.320298069492893,-1.03573900727838,0.388956918023597,-26.4102961495193,-29.7271602191547,-23.351446689482
230,30,4841.66666666667,4639.56666666667,5054.26666666667,45009,44594.2666666667,45472.2666666667,1561,1551.5,1570.4,363.933333333333,355.666666666667,372.933333333333,8.96666666666667,8.03333333333333,9.96666666666667,2.13333333333333,1.7,2.56666666666667,32.5,30.5333333333333,34.7,3.33238008853303,2.53295604336227,4.09437248656356,1.23130531173342,0.39617400482175,1.90750669798249,-22.6705372940574,-26.8661365761816,-18.3389714683597
240,30,4123.8,3914.33333333333,4316.83333333333,44697.5333333333,44268.2666666667,45104.5,1585,1572.43333333333,1597.9,375.566666666667,365.733333333333,384.666666666667,6.83333333333333,5.86666666666667,7.6,1.7,1.3,2.16666666666667,26.4333333333333,24.5666666666667,28.6333333333333,1.54534909069067,0.841578347122972,2.27994457813932,3.1968162227115,2.44534186698519,3.93028505907227,-18.5323805296407,-22.5262643386102,-14.766270047511
250,30,3687.73333333333,3500.36666666667,3907.23333333333,44055.9666666667,43592.2,44498.2,1605.1,1594.33333333333,1615.3,391.1,381.433333333333,400.7,5.3,4.56666666666667,6.13333333333333,0.9,0.566666666666667,1.23333333333333,22.2333333333333,20.3333333333333,24.3333333333333,1.31018286380875,0.427648488169487,2.24414120402903,4.15323751594764,3.40068941778626,4.892685736314,-15.3922939820409,-21.0771743966988,-9.74095229026972
260,30,3444.73333333333,3280.66666666667,3610.6,43286.4,42769.9,43804.8333333333,1609.53333333333,1598.66666666667,1620.96666666667,410,399.966666666667,420.066666666667,4.73333333333333,4.06666666666667,5.46666666666667,1.46666666666667,1.13333333333333,1.8,19.7,17.5666666666667,21.7,0.317184511588113,-0.746662589636715,1.34336874308897,4.85242173818901,4.1277469803239,5.60346219033786,-11.4692101766501,-17.2201787483149,-5.54121760999088
270,30,3558.6,3391.43333333333,3723.66666666667,42287.6,41803.5,42820.1333333333,1613.06666666667,1605.4,1621.43333333333,430.1,419.433333333333,442,4.1,3.2,5.03333333333333,1.26666666666667,0.9,1.7,17.6333333333333,15.9,19.4333333333333,0.249596094881512,-0.54243135837368,0.960697937460422,4.89853699481855,4.2689969552423,5.51818477298303,-8.18038076061572,-14.6153124162547,-1.53176571770003
280,30,3321.46666666667,3206.93333333333,3429,41336.1,40723.2,41891.8666666667,1615.26666666667,1607.3,1622.9,454.433333333333,440.466666666667,468.3,3.33333333333333,2.76666666666667,4,1.2,0.866666666666667,1.53333333333333,15.7333333333333,13.7,17.9,0.160306485943653,-0.643470280505207,0.954028413444649,5.58387543962134,4.80938989793212,6.29052680425499,-12.1506406971364,-20.1278037503528,-4.10092287027271
290,30,3377.2,3271.33333333333,3470.16666666667,40004.3666666667,39280.9666666667,40739.7666666667,1618.13333333333,1608.5,1626.83333333333,482.2,466.133333333333,497.866666666667,2.8,1.96666666666667,3.66666666666667,1,0.7,1.26666666666667,14.8333333333333,12.9,16.6666666666667,0.199698835903323,-0.626941090577894,0.952919071463915,6.06355556767836,5.48480324430328,6.61048039175175,-3.31974417138975,-9.30013927421048,3.2739898989899
300,30,3272.66666666667,3115,3432.7,38619.9666666667,37840.0666666667,39372.2333333333,1623.93333333333,1614.33333333333,1633.4,508.7,489.5,525.7,3.36666666666667,2.66666666666667,4.06666666666667,1.06666666666667,0.7,1.43333333333333,13.8333333333333,11.5666666666667,16.3666666666667,0.387099807401574,-0.540006437578965,1.26653011486017,5.45108999457142,4.77066929464455,6.14363560847791,-8.89698200263216,-17.3627581855136,-0.867964809528273
310,30,3242.16666666667,3094.1,3389.76666666667,37417.2666666667,36652.8,38177.5333333333,1618.16666666667,1607.06666666667,1629.6,539.633333333333,520.466666666667,557.5,2.9,2.23333333333333,3.53333333333333,0.7,0.433333333333333,1,13.7666666666667,11.6666666666667,15.9,-0.320330184384815,-1.3269019741574,0.725990880152596,6.11480520131101,5.49875088373395,6.75663212060507,5.13593456999254,-4.10839764100634,16.708000641334
320,30,3308.23333333333,3143.2,3480.06666666667,35919.1,35031.9666666667,36799.3666666667,1623.86666666667,1612.36666666667,1633.16666666667,573.733333333333,553.4,593.566666666667,2.53333333333333,1.96666666666667,3.16666666666667,1.3,0.966666666666667,1.7,13.1333333333333,10.8333333333333,15.4666666666667,0.391929167246857,-0.535317551159812,1.36915119127516,6.28865484471616,5.56972440815311,6.93072415788721,-6.12479820374557,-14.3810431770958,2.18228652439178
330,30,3260.5,3126.6,3372.5,34287.1666666667,33378.6,35226.5666666667,1629.56666666667,1620.76666666667,1638.5,608.733333333333,585.966666666667,629.4,3.16666666666667,2.5,3.9,0.9,0.533333333333333,1.3,12.2,10.0333333333333,14.4666666666667,0.378626285278279,-0.369108792881121,1.11611179221532,6.0797055131038,5.59947422135645,6.57187449125327,-7.25575403493024,-18.2345105874518,3.17759847427366
340,30,3206.73333333333,3060.93333333333,3360.16666666667,32673.2,31639.2,33692.3666666667,1625.66666666667,1618.26666666667,1632.86666666667,645.733333333333,621.933333333333,670.1,2.73333333333333,2.1,3.36666666666667,1.06666666666667,0.7,1.43333333333333,12.4333333333333,10.4,14.5333333333333,-0.218935839120774,-0.93434348076498,0.460668954699538,6.02495575856223,5.48589388711451,6.60105887422367,5.16041421947332,-3.22432340496683,13.3130850630851
350,30,3158.66666666667,3021.23333333333,3282.5,31016.4,29854.2666666667,32157.5666666667,1627.36666666667,1617.03333333333,1636.6,686.266666666667,657.766666666667,712.133333333333,2.7,2.03333333333333,3.36666666666667,1.1,0.733333333333333,1.53333333333333,12.8333333333333,10.4,15.2666666666667,0.121904459470728,-0.599762780996125,0.871045281248388,6.2164841222036,5.76084703491601,6.67503246093868,3.53292715146935,-4.40237833824791,12.7953247779974
360,30,3239.7,3100.23333333333,3369.2,29147.8666666667,27928.4,30383.9333333333,1626.36666666667,1616.33333333333,1636.1,729.4,698.766666666667,757.633333333333,2.56666666666667,1.9,3.3,1.56666666666667,1.13333333333333,2.06666666666667,13.1666666666667,10.7666666666667,15.5,-0.0306124342812349,-0.885741544551831,0.890629940896076,6.26964691218849,5.65212263647444,6.8209315921767,7.22851920741946,-2.73048974327747,17.7971629819456
370,30,3186.8,3068.2,3307.9,27241.8666666667,25889.4666666667,28485.6666666667,1619.83333333333,1608.13333333333,1629.8,773.866666666667,738.933333333333,804.4,3,2.33333333333333,3.63333333333333,1.5,0.966666666666667,2.06666666666667,13.8666666666667,11.3666666666667,16.5,-0.379812125874158,-1.2370920210609,0.384428838344692,6.06986160120709,5.53877998168926,6.56866803138662,3.61038749119244,-5.51837051837052,12.536462047298
380,30,3208.56666666667,3030.93333333333,3390.56666666667,25365.4333333333,24030.4,26795.5333333333,1627.43333333333,1618.13333333333,1635.83333333333,821.1,785.733333333333,852.866666666667,3,2.3,3.66666666666667,1.56666666666667,1.03333333333333,2.1,13.8666666666667,10.7333333333333,17,0.506765658302943,-0.405553239083529,1.39263596283261,6.09199686750685,5.5172816801757,6.61016667714052,2.32534748205318,-6.71644986366573,11.2090868264198
390,30,3275.8,3115.4,3428.73333333333,23583.8333333333,22043.6,25033.4,1621.5,1610.26666666667,1631.23333333333,866.233333333333,826.666666666667,901.766666666667,3.16666666666667,2.43333333333333,3.96666666666667,1.4,0.933333333333333,1.86666666666667,15.5666666666667,12.4,18.4666666666667,-0.348711858155362,-1.0644505983215,0.354790449888833,5.43805261586289,4.63850583719182,6.13389836130013,17.1428975061592,6.541812332834,29.4063300803503
400,30,3302.76666666667,3136.6,3468.3,21745.7666666667,20174.7333333333,23363.4,1620.66666666667,1609.26666666667,1632.33333333333,916.166666666667,873.133333333333,955.866666666667,3.86666666666667,2.83333333333333,4.9,2,1.53333333333333,2.5,17,13.5,20.6666666666667,-0.0190132561903996,-0.952851884256745,0.914968103222583,5.7299680234989,5.19143564018133,6.2952335220215,3.9346988972948,-6.5832902770243,13.3555230527737
410,30,3322.93333333333,3115.16666666667,3555.03333333333,20031,18420.3333333333,21696.9333333333,1624.9,1612.26666666667,1637.3,959.1,916.466666666667,1001.5,4.13333333333333,2.96666666666667,5.46666666666667,2.03333333333333,1.46666666666667,2.66666666666667,19.6333333333333,15.7333333333333,23.6333333333333,0.287616773312414,-0.583458139110405,1.16849346288706,4.65485922697056,4.0609948453571,5.17863400137746,18.3047113636487,11.0218068539565,26.8623617488661
420,30,3275.83333333333,3098.66666666667,3454.53333333333,18471.7,16817.1,20092.5333333333,1612.93333333333,1602.23333333333,1623.53333333333,1000.73333333333,951.833333333333,1045.23333333333,5.03333333333333,3.9,6.2,2.06666666666667,1.43333333333333,2.7,21.3666666666667,16.9333333333333,26,-0.70634428201172,-1.45736591731642,0.0774576360396122,4.25945749630964,3.5510247863477,4.93948794621355,8.31323887414526,2.98607603457964,13.8020377499599
