prey2avgOffs,prey2convRate,prey2catchProb,prey2maxCons,prey2resAva,replicatesNb,densityDevMean,densDevICinf,densDevICsup,amplitudeDevMean,ampldevICinf,ampldevICsup
0.1,100,0.1,10,100,28,-0.392306023,-0.405349507,-0.379218416,0.575370329,0.339496128,0.808298732
0.5,100,0.1,10,100,30,-0.141944673,-0.146149295,-0.137701882,0.204241948,0.088570306,0.315593087
1,100,0.1,10,100,30,-1.79E-17,-0.003790789,0.003631082,8.11E-17,-0.079732914,0.080125687
2,100,0.1,10,100,30,0.097255746,0.094519627,0.10011742,0.108994501,0.049096622,0.174194815
3,100,0.1,10,100,30,0.17437129,0.172242864,0.176655407,0.311665357,0.223291438,0.394344069
4,100,0.1,10,100,30,0.228352373,0.226837664,0.229775676,0.698743126,0.565789474,0.833071485
5,100,0.1,10,100,30,0.269107879,0.267267729,0.270779281,1.071091909,0.888452474,1.279457973
6,100,0.1,10,100,30,0.297560897,0.295763938,0.299317678,1.817556952,1.626865672,2.022977219
7,100,0.1,10,100,30,0.323407371,0.321690768,0.325243503,2.637470542,2.403770621,2.890023566
8,100,0.1,10,100,30,0.341955521,0.338641845,0.345033152,3.434210526,3.052827965,3.810094266
9,100,0.1,10,100,30,0.351942754,0.34882595,0.354848625,5.17674784,4.837195601,5.491358995
10,100,0.1,10,100,30,0.36188077,0.356989105,0.366976338,6.183032207,5.660840534,6.684603299
