"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,62500,62500,100,100,0,0,0,0,0,0
1,10,57506,57435,105,96,0,0,0,5,-4,0
1,20,57128,57562,142,98,0,0,0,35.2380952380952,2.08333333333333,0
1,30,55242,57597,194,108,0,0,0,36.6197183098592,10.2040816326531,0
1,40,52738,57236,295,113,0,0,0,52.0618556701031,4.62962962962963,0
1,50,47644,56733,395,124,0,0,0,33.8983050847458,9.73451327433628,0
1,60,42946,56185,553,134,0,0,0,40,8.06451612903226,0
1,70,34772,55962,765,141,0,0,0,38.3363471971067,5.22388059701493,0
1,80,25702,55470,1076,155,0,0,0,40.6535947712418,9.9290780141844,0
1,90,14030,54752,1401,162,0,0,0,30.2044609665428,4.51612903225806,0
1,100,5887,54466,1626,178,0,0,0,16.0599571734475,9.87654320987654,0
1,110,3422,53406,1649,193,0,0,0,1.41451414514145,8.42696629213483,0
1,120,3023,52810,1595,204,0,0,0,-3.27471194663432,5.69948186528497,0
1,130,2889,52380,1645,225,0,0,0,3.13479623824451,10.2941176470588,0
1,140,2786,51439,1651,246,0,0,0,0.364741641337386,9.33333333333333,0
1,150,2659,50157,1663,264,0,0,0,0.726832222895215,7.31707317073171,0
1,160,2825,49405,1653,289,0,0,0,-0.601322910402886,9.46969696969697,0
1,170,3503,48087,1594,314,0,0,0,-3.56926799758016,8.65051903114187,0
1,180,3325,46666,1653,341,0,0,0,3.70138017565872,8.59872611464968,0
1,190,2368,45631,1660,370,0,0,0,0.423472474289171,8.50439882697947,0
1,200,2582,43988,1694,397,0,0,0,2.04819277108434,7.2972972972973,0
1,210,3206,43640,1470,371,25,5,65,-13.2231404958678,-6.54911838790932,0
1,220,6412,44723,1455,360,17,3,50,-1.02040816326531,-2.96495956873315,-23.0769230769231
1,230,5477,45015,1543,345,12,3,38,6.04810996563574,-4.16666666666667,-24
1,240,4345,45561,1557,358,9,1,29,0.907323395981854,3.76811594202899,-23.6842105263158
1,250,4099,44938,1623,379,8,2,22,4.23892100192678,5.8659217877095,-24.1379310344828
1,260,3197,43506,1566,407,5,1,25,-3.51201478743068,7.38786279683377,13.6363636363636
1,270,4290,42257,1598,425,3,1,13,2.04342273307791,4.42260442260442,-48
1,280,3409,41709,1634,453,2,0,15,2.25281602002503,6.58823529411765,15.3846153846154
1,290,3311,39947,1642,492,5,1,17,0.489596083231334,8.60927152317881,13.3333333333333
1,300,3450,38137,1558,511,2,1,15,-5.11571254567601,3.86178861788618,-11.7647058823529
1,310,3489,37642,1601,542,3,0,13,2.7599486521181,6.0665362035225,-13.3333333333333
1,320,3997,35568,1642,580,2,2,11,2.56089943785134,7.01107011070111,-15.3846153846154
1,330,3603,33980,1594,614,3,2,12,-2.92326431181486,5.86206896551724,9.09090909090909
