timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,62500,62500,100,100,0,0,0
10,57409,57467,100,104,0,0,0
20,57452,57202,151,145,0,0,0
30,54774,55450,216,192,0,0,0
40,51577,52688,298,271,0,0,0
50,47481,49085,421,396,0,0,0
60,41752,42530,588,537,0,0,0
70,33427,35986,857,759,0,0,0
80,21458,25293,1114,1056,0,0,0
90,12670,14589,1490,1356,0,0,0
100,5391,7116,1563,1556,0,0,0
110,4462,4253,1605,1667,0,0,0
120,3070,3069,1627,1659,0,0,0
130,2929,2909,1679,1682,0,0,0
140,2592,2459,1674,1633,0,0,0
150,2686,3053,1627,1610,0,0,0
160,2870,3380,1670,1671,0,0,0
170,2544,2945,1657,1629,0,0,0
180,2988,3327,1635,1652,0,0,0
190,3054,2680,1643,1648,0,0,0
200,2859,3106,1667,1624,0,0,0
210,3289,4081,1533,1518,20,17,89
220,4647,5381,1480,1430,15,18,89
230,6127,7098,1463,1523,16,16,97
240,6207,5259,1489,1503,16,14,109
250,5851,5541,1474,1470,17,16,117
260,5687,5910,1470,1414,23,21,139
270,6445,7290,1420,1410,19,18,148
280,7480,7681,1378,1382,31,25,157
290,8377,9118,1343,1396,19,23,177
300,9719,9276,1320,1278,28,23,173
310,10388,11439,1286,1267,22,21,185
320,11203,11082,1308,1231,31,27,182
330,10496,12045,1242,1216,27,26,174
340,12386,12465,1213,1266,29,25,168
350,12311,10942,1231,1243,20,24,174
360,12497,12021,1241,1237,23,20,167
370,12654,12383,1231,1293,21,25,171
380,12547,10108,1260,1263,14,28,170
390,11101,11985,1253,1216,27,25,180
400,12302,12886,1278,1251,28,19,164
410,11291,12041,1252,1271,28,21,161
420,10589,11507,1304,1243,30,19,160
430,10391,11820,1303,1275,21,22,154
440,10053,11186,1289,1282,29,20,161
450,10662,10809,1321,1316,28,22,150
460,10104,9264,1323,1335,20,16,144
470,9806,9900,1263,1326,24,23,159
480,10707,10120,1309,1272,27,28,166
490,9654,11117,1284,1264,22,21,175
500,10635,11532,1280,1279,23,26,169
510,10569,10634,1255,1253,31,30,173
520,12415,12437,1278,1237,21,24,190
530,10984,12099,1235,1221,27,20,177
540,12737,12474,1258,1256,27,17,175
550,11338,12309,1269,1246,29,24,183
560,11130,12243,1238,1229,24,14,163
570,11632,12999,1265,1225,24,25,158
580,10428,12689,1299,1204,28,15,166
590,9872,12305,1300,1234,30,18,171
600,10302,12332,1281,1263,27,23,169
610,10972,11265,1257,1289,24,25,163
620,11286,10708,1270,1323,26,25,166
630,11175,9572,1204,1280,25,16,165
640,13145,10108,1258,1316,29,26,165
650,11798,10287,1245,1310,20,29,175
660,12331,9700,1207,1265,24,21,180
670,13884,11804,1192,1224,23,23,166
680,12814,12089,1294,1268,23,26,151
690,9810,11059,1340,1306,22,26,154
700,9545,9853,1310,1293,27,26,156
710,10052,10566,1308,1357,26,22,151
720,10504,9514,1302,1304,24,18,157
730,10120,10377,1300,1259,25,26,157
740,10411,11094,1313,1301,27,28,153
750,9592,10055,1330,1322,21,23,160
760,9499,10519,1330,1278,23,16,161
770,9929,10849,1315,1292,24,20,155
780,9549,10365,1299,1321,26,22,153
790,10924,9803,1293,1306,13,25,173
800,10764,11266,1291,1200,30,22,175
810,10974,13142,1291,1224,18,20,164
820,10584,12813,1258,1218,20,28,159
830,11158,12779,1340,1236,22,29,166
840,9481,11906,1290,1259,22,20,172
850,10696,10900,1343,1254,23,30,163
860,8988,11885,1287,1258,22,20,171
870,10806,11780,1240,1191,25,30,180
880,12388,13597,1253,1211,21,30,180
890,11185,13391,1294,1183,21,21,161
900,10041,14180,1333,1215,26,24,163
910,9759,12536,1322,1278,20,26,165
920,9937,10782,1294,1307,27,25,154
930,10522,10609,1294,1278,37,23,155
940,10215,10526,1303,1326,24,17,150
950,10274,9266,1309,1307,24,19,159
960,10323,10029,1281,1320,21,24,159
970,10927,10100,1302,1317,21,11,159
980,10230,10313,1349,1313,18,23,146
990,9442,10229,1308,1304,14,26,150
1000,9302,10686,1349,1345,25,15,138
