"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,30,62500,62500,62500,62500,62500,62500,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,57493.1333333333,57457.3333333333,57528.7333333333,57513.4666666667,57480.6333333333,57546.0666666667,98.5,96.9666666666667,99.9666666666667,136.333333333333,130,142.7,0,0,0,0,0,0,0,0,0,-1.5,-3.03333333333333,0,36.3333333333333,30.3,42.1333333333333,0,0,0
20,30,57580,57496.4,57656.2333333333,55743.7,55435.8333333333,56041.3666666667,142,138.533333333333,145.233333333333,541.733333333333,522.066666666667,559.333333333333,0,0,0,0,0,0,0,0,0,44.1330791473512,41.8088959180252,46.8398799364287,301.505198999897,283.116850931089,319.472782996474,0,0,0
30,30,55394.4,55222.5,55570,35639.7333333333,34761.9666666667,36546.6666666667,197.966666666667,194.066666666667,202.1,1286.8,1244.2,1326.26666666667,0,0,0,0,0,0,0,0,0,39.6561568781557,37.0434310571828,41.8969390862835,138.837480076186,131.19479806738,147.163546084225,0,0,0
40,30,52619.2333333333,52399.7666666667,52842.1333333333,9090.1,8102.23333333333,10001.6666666667,280.3,274.366666666667,286.166666666667,2380.16666666667,2317.2,2441.1,0,0,0,0,0,0,0,0,0,41.7120784713491,39.4073497842738,44.0933567790547,87.0853741597209,77.8755322026891,96.2627082126828,0,0,0
50,30,48512.1666666667,48175.4,48804.9666666667,267.333333333333,196.666666666667,339.866666666667,395.166666666667,385.966666666667,403.933333333333,1215.53333333333,1152.03333333333,1283.76666666667,0,0,0,0,0,0,0,0,0,41.0548949813299,39.1267082849553,42.6933888042939,-48.1141106296142,-52.220162496171,-43.6863372157029,0,0,0
60,30,42836.5,42373.8666666667,43276.3666666667,10445.5,9050.8,11732.4333333333,553.533333333333,541.366666666667,564.9,2606.63333333333,2524.26666666667,2675.46666666667,0,0,0,0,0,0,0,0,0,40.1696190959227,38.7530104524867,41.6008147102327,120.559069521434,105.890005086484,134.988555415459,0,0,0
70,30,34998.8333333333,34455.2666666667,35563.1,161.133333333333,120.7,205.933333333333,771.1,755.2,787.1,1083.23333333333,1016.23333333333,1150.9,0,0,0,0,0,0,0,0,0,39.3716923477861,38.0353597040591,40.7038480344074,-57.5524774314775,-61.6608176314591,-53.3553357960222,0,0,0
80,30,25132.1,24436.2333333333,25829.6333333333,14236.7666666667,12159.3333333333,16265.7333333333,1054.66666666667,1035.93333333333,1071.96666666667,2678.8,2624.93333333333,2732.7,0,0,0,0,0,0,0,0,0,36.8486478735998,35.7920636597798,37.9864644045731,155.657245005137,138.012906861778,172.300847132443,0,0,0
90,30,14579.6,13992.3666666667,15214.6,163.533333333333,126.233333333333,200.6,1371.1,1352.63333333333,1390.4,1004.73333333333,956.6,1054.13333333333,0,0,0,0,0,0,0,0,0,30.1408296777403,28.7192661691462,31.5356196476361,-62.1337068835375,-64.7800247039805,-59.571374171108,0,0,0
100,30,6952.7,6564.26666666667,7342.46666666667,16267.9,14842.1,17698.9333333333,1583.66666666667,1570.36666666667,1595.06666666667,2676.06666666667,2618.93333333333,2728.5,0,0,0,0,0,0,0,0,0,15.635555603168,14.1157241523176,17.1149067908019,170.330990604045,158.160123522062,182.215403815508,0,0,0
110,30,3640.96666666667,3450.5,3825.7,151.433333333333,100.266666666667,221.333333333333,1655.53333333333,1644.96666666667,1666.66666666667,983.033333333333,934.233333333333,1035.43333333333,0,0,0,0,0,0,0,0,0,4.59048880803787,3.56654567290058,5.68342150847075,-62.8453961374932,-65.4779660645064,-59.5618270676112,0,0,0
120,30,2817,2712.5,2921.5,16773.2666666667,15114.6,18307.8,1656.56666666667,1646.86666666667,1666.06666666667,2691.66666666667,2631.23333333333,2752.3,0,0,0,0,0,0,0,0,0,0.106641637610984,-0.900568800892792,1.1647148394566,178.500870077389,164.704904600328,189.643172742962,0,0,0
130,30,2836.33333333333,2706.93333333333,2979.63333333333,147.733333333333,105.733333333333,194.366666666667,1647.76666666667,1636.2,1657.96666666667,997.2,948.1,1052.43333333333,0,0,0,0,0,0,0,0,0,-0.488460121495991,-1.50280065836661,0.48079358163374,-62.5133414740454,-65.3175884339472,-59.5018423818054,0,0,0
140,30,3022.43333333333,2907.1,3148,16327.8,14612.9,18077.0333333333,1644.4,1635.6,1653.8,2635.73333333333,2571.43333333333,2694.46666666667,0,0,0,0,0,0,0,0,0,-0.168399168185626,-1.1496067730168,0.704096897300789,169.783051832516,156.45205319502,181.989273278632,0,0,0
150,30,2916.16666666667,2767.76666666667,3057.3,202.666666666667,138.466666666667,278.433333333333,1647.76666666667,1638.03333333333,1656.6,1033.13333333333,977.533333333333,1091.66666666667,0,0,0,0,0,0,0,0,0,0.240290209191541,-0.746461869161602,1.15765440272534,-60.2354509322177,-63.6114607938767,-56.8009966884212,0,0,0
160,30,3000.16666666667,2845.66666666667,3140.4,15269.3,13400.4666666667,17022.1666666667,1642.66666666667,1635.8,1649.1,2686.96666666667,2625.63333333333,2746.36666666667,0,0,0,0,0,0,0,0,0,-0.276979157213249,-1.01165926943678,0.520866193286405,165.256020565644,151.147881063529,178.226035757456,0,0,0
170,30,2943.6,2850.3,3040.43333333333,178.333333333333,126.833333333333,236.166666666667,1650.93333333333,1642.86666666667,1660.23333333333,988.333333333333,941.866666666667,1033.23333333333,0,0,0,0,0,0,0,0,0,0.519383580681087,-0.178680292350616,1.27718172572318,-62.8138831776495,-65.2064978805231,-60.5172061435023,0,0,0
180,30,2788.46666666667,2664.8,2904.83333333333,16605.7666666667,14980.0666666667,18284.5333333333,1651.26666666667,1642,1659.93333333333,2640.13333333333,2582.8,2701.6,0,0,0,0,0,0,0,0,0,0.0446104616684355,-0.783628813893474,0.823267382864616,170.258784166733,160.103917700761,179.630961969216,0,0,0
190,30,2888.5,2749.2,3029.8,187.2,133.833333333333,248.4,1648.2,1637.43333333333,1658.56666666667,1017.66666666667,966.6,1069.83333333333,0,0,0,0,0,0,0,0,0,-0.161398865846988,-1.04717896121016,0.588815943862029,-60.9801142506199,-63.7344196025595,-57.9659924629114,0,0,0
200,30,2925.66666666667,2745.1,3098.43333333333,15605.1333333333,13930.5333333333,17257.5,1648.6,1640.16666666667,1656.76666666667,2678.93333333333,2608.5,2741.8,0,0,0,0,0,0,0,0,0,0.0572844313358603,-0.787689292715008,0.902611628121938,167.590208035569,154.744559633858,178.509474773035,0,0,0
210,30,3678.16666666667,3522.73333333333,3842.03333333333,325.9,209.466666666667,477.133333333333,1510.76666666667,1501.03333333333,1520.83333333333,959.333333333333,901.933333333333,1024.66666666667,18,16.5666666666667,19.4333333333333,29.2333333333333,27.5333333333333,31,129.6,125.566666666667,133.666666666667,-8.33661309287142,-9.17041235282995,-7.52412695674957,-63.5577602818763,-66.9657558523926,-60.3189990752604,0,0,0
220,30,5868.4,5700.93333333333,6038.6,20472.6666666667,18354.5666666667,22774.4666666667,1417,1405.86666666667,1428.9,2261.23333333333,2174.4,2340.33333333333,22.4333333333333,20.9333333333333,23.8333333333333,15.1,13.5333333333333,16.6333333333333,132.033333333333,128.433333333333,135.766666666667,-6.17742742430435,-7.17047586164347,-5.24187080170106,139.723385281173,129.433995144199,148.525601495516,2.55130405208791,-0.898024050835881,6.48958456284487
230,30,7178.9,6953.4,7381.63333333333,901.066666666667,678.933333333333,1195,1403.46666666667,1394.36666666667,1413.7,1242,1158.9,1322.13333333333,20.1,19.1,21.1333333333333,32.3,30.5666666666667,34,180.866666666667,174.033333333333,186.5,-0.915003078820217,-1.81477926261195,-0.0752077813530663,-43.4956239705848,-49.2386299500403,-37.6613656534976,37.223117911854,33.0596570066743,41.4290304823408
240,30,8325.36666666667,8058.06666666667,8584.9,12792.3666666667,10708.9,14802.1666666667,1327.4,1314.16666666667,1340.2,2203.43333333333,2137.83333333333,2264.33333333333,27.8333333333333,25.5666666666667,30.0666666666667,25.2333333333333,22.7666666666667,27.5666666666667,193.9,187.266666666667,200.566666666667,-5.3982319684097,-6.42769839602351,-4.42265404287508,83.315960317363,70.0319018786411,95.327296313726,7.6980602415553,3.97278171434609,11.1714862517644
250,30,9944.73333333333,9555.73333333333,10366.7333333333,1161.13333333333,915.866666666667,1481.03333333333,1283.33333333333,1266.53333333333,1299.5,1301,1225.43333333333,1391.8,26.3333333333333,24.6666666666667,27.9,42.8333333333333,39.9666666666667,45.4,251.933333333333,243,261.7,-3.29693678141314,-4.31036035755033,-2.30471290605035,-39.7038176201166,-45.338603431945,-33.8162097677959,29.994488006212,27.4123888164892,32.5412517666599
260,30,12362.4,11790.6,12914.5333333333,12712.3,10668.8333333333,14774.0333333333,1150.2,1129.66666666667,1170.83333333333,2045.93333333333,1988.86666666667,2106.33333333333,33.7,31.3333333333333,35.6333333333333,33.8666666666667,31.0666666666667,36.7333333333333,254.333333333333,247.233333333333,261.9,-10.3888295928039,-11.5068753978136,-9.22308726408599,62.8759124992582,50.7368798425841,74.3916066553708,1.59392063539658,-1.64942627344659,4.9509703742561
270,30,15973,15218.6,16773.6666666667,2242.8,1821.6,2704.33333333333,1085.93333333333,1063.33333333333,1108.96666666667,1412.36666666667,1332.33333333333,1499.63333333333,27.7333333333333,26.0333333333333,29.5,51.0666666666667,48.3,54.1666666666667,296.166666666667,289.733333333333,302.9,-5.56542939213561,-6.67491023405799,-4.58378694572882,-29.6729678619056,-35.5074109934863,-23.6409431719852,16.9601500811634,13.6423820798352,20.2968615652471
280,30,19042.0666666667,18220.8333333333,19832,10675.0666666667,8990.76666666667,12441.4,973.033333333333,954.1,994.233333333333,1939.76666666667,1869.7,2006.83333333333,29.6333333333333,28.0333333333333,31.5,40.6666666666667,37.6333333333333,43.3666666666667,281.2,272.3,290.866666666667,-10.3493930737148,-11.3730288220246,-9.26928776737293,41.1590042747074,31.16966067015,50.8516451652441,-4.75000662501271,-8.01440464556131,-1.40981047759865
290,30,22433.9,21627.6666666667,23159.4333333333,2977.46666666667,2486.3,3598.1,910.966666666667,889.6,932.3,1525.46666666667,1436.96666666667,1619.43333333333,27.6666666666667,26.0333333333333,29.1666666666667,54.0333333333333,51.7,56,295.6,287.766666666667,303.133333333333,-6.32532357514786,-7.86702591306454,-4.99633859336595,-19.3342986706076,-26.8507103050981,-11.4565272097115,5.45269677812636,2.64892281003736,8.05845813375349
300,30,25137.3,24230,25948.7333333333,8773.83333333333,7395.53333333333,10220.7666666667,836.4,808.066666666667,861.066666666667,1867.3,1779.56666666667,1942.33333333333,28.1666666666667,26.5333333333333,29.9333333333333,41.4666666666667,38.8333333333333,44.3,273.633333333333,263.833333333333,283.233333333333,-8.24221735593564,-9.57638239401503,-6.72854014130828,27.3159889589655,15.2427443199904,37.1834148630711,-7.1033293367445,-10.0380842151379,-3.80239008198305
310,30,27454.4666666667,26479.4333333333,28470.9333333333,3874.8,2942.26666666667,4919.83333333333,791.866666666667,763.366666666667,819.5,1546.86666666667,1460.26666666667,1626.73333333333,23.5,21.6333333333333,25.2666666666667,51.7333333333333,48.9666666666667,54.5,274.2,267.633333333333,281.033333333333,-5.32237684431062,-7.00294476576354,-3.75457113138623,-14.2554243141343,-22.4946834672464,-5.17736885957346,0.929871877404643,-2.56260911812167,4.60961525993252
320,30,29232.7666666667,28100.2,30291.6333333333,7928.86666666667,6368.2,9576.56666666667,755.9,733.733333333333,781.333333333333,1893.06666666667,1824.43333333333,1965.83333333333,21.6,19.9,23.4,41.7,39,44.2333333333333,242.266666666667,236.1,249.033333333333,-4.41276237890062,-5.71084285053399,-3.13222079967926,26.7090370200599,16.8402102865225,37.0593974033879,-11.2392450563713,-14.3407874918994,-8.29404285221849
330,30,29996.8333333333,28937.0333333333,30969.9,3340.2,2682.16666666667,4106.2,758.166666666667,730.833333333333,783.866666666667,1589.9,1496.6,1673.83333333333,20.6666666666667,19.2666666666667,22.1333333333333,49.3,46.5666666666667,51.6333333333333,239.2,233.8,244.666666666667,0.298865643866024,-0.929975191879879,1.51745623652492,-13.4045405934044,-21.1469634703953,-4.37297062337258,-0.844282286195355,-3.84830247805136,2.04397519015197
340,30,30029.2,29021.1,31006.7,6965.83333333333,5569.53333333333,8420.1,758.8,736.733333333333,781.533333333333,1864.4,1799,1930.5,20.1666666666667,18.8,21.6333333333333,40.4,37.3666666666667,43.3333333333333,216.3,209.6,222.433333333333,0.30048613952239,-1.32883049191463,2.05361811554703,21.8907230139445,10.9112740834133,32.1713443167209,-9.38419418832171,-12.0771112756041,-6.64834231859251
350,30,29585.0666666667,28705.3333333333,30513,3301.2,2551.1,4069.9,785.233333333333,759.533333333333,809.9,1659.53333333333,1574.8,1746.33333333333,16.8333333333333,15.3,18.2666666666667,44.0666666666667,41.4666666666667,46.5666666666667,218.1,208.966666666667,227.466666666667,3.50927731365227,2.18573632604085,4.91686263905925,-8.61173585720622,-17.0120715815717,0.30106344169935,1.02221056350453,-2.62892031640754,4.36203241733087
360,30,28662.1666666667,27782.3,29659.4666666667,5726.16666666667,4519.36666666667,7059,799.466666666667,777.533333333333,821.4,1862.2,1762.3,1957.66666666667,18.4333333333333,16.9666666666667,20.0333333333333,37.4333333333333,34.4333333333333,40.1333333333333,208.866666666667,199.766666666667,218.066666666667,2.06028375021975,0.40019633793763,3.92561108207448,17.168645712376,4.57091071763005,29.7703451265843,-3.93803205014672,-7.21005771234984,-0.723603950995954
370,30,27912.2,27050.9666666667,28806.5,3578.4,2657.46666666667,4550.56666666667,834.666666666667,806.966666666667,864.766666666667,1669.7,1550.46666666667,1794.36666666667,17.4,16.0333333333333,18.8333333333333,42.2,39.2333333333333,45.4,211.2,201.066666666667,221.3,4.3809646012177,2.38245922153426,6.32853236388851,-5.43723777957544,-17.8297167120963,7.08743904667192,1.71279954537435,-2.67103321340546,5.68983336616183
380,30,26678.1666666667,25460.4666666667,27754.1333333333,6281.46666666667,4528.3,8172.6,857.5,832.666666666667,884.333333333333,1850.1,1731.8,1961.73333333333,20.6666666666667,18.9333333333333,22.3666666666667,34.4333333333333,32.3,36.7333333333333,203.6,194.7,211.533333333333,2.98450611646344,0.598747689217862,5.36912946536562,19.8671839276953,3.93456183432362,34.772468721164,-2.55907769470941,-7.54870177810194,1.84111451845801
390,30,25493.4333333333,24410.6333333333,26548.2333333333,4143.73333333333,2844.86666666667,5548.86666666667,891.333333333333,858.7,923.966666666667,1673.2,1539,1816.56666666667,17.5666666666667,15.9,19.3333333333333,40.8,37.2,44.0666666666667,209.1,198.4,219.6,3.89836499300356,2.10076749383263,5.66369609894714,-1.89406031193752,-17.3364137466546,13.8771949383243,2.9925625799093,-1.02430243709352,6.94332275338881
400,30,24281.0666666667,23009.2333333333,25531.5333333333,6341.16666666667,4596.96666666667,8235.63333333333,915.166666666667,877.966666666667,948.4,1845.7,1693.53333333333,1991.63333333333,19.9333333333333,18.2666666666667,21.7,37.1,34.0666666666667,40.2666666666667,208.133333333333,198.066666666667,217.733333333333,2.72428941210628,0.675872849526146,4.64570797367923,20.8994979534054,4.02849978918442,37.9598503037774,0.745184699801514,-4.8481061835216,6.15867995960528
410,30,23394.9333333333,22052.7666666667,24717.9333333333,4727.66666666667,2901.1,6770.5,943.766666666667,909.666666666667,981.166666666667,1664.7,1519.53333333333,1809.83333333333,19.7333333333333,18.1,21.5666666666667,42.2333333333333,38.9666666666667,45.5666666666667,218.733333333333,209.166666666667,228.733333333333,3.33214190602695,1.17239203649306,5.21283868512149,0.397087697390108,-17.0028390490783,18.2588636023666,5.86743704682376,1.48256133908129,10.3515971041517
420,30,22578.8666666667,21220.6333333333,23995.9333333333,6654.83333333333,4831.2,8629.7,946.3,906.4,982.966666666667,1831.23333333333,1700.86666666667,1959.03333333333,21.3333333333333,19.6333333333333,23.0333333333333,36.8333333333333,33.6333333333333,40.2333333333333,222.533333333333,212.2,232.366666666667,0.358500555907141,-1.97422116931093,2.43989676901498,22.1209428037536,3.5140283657058,40.4528643360602,2.66703194942194,-2.01509104009275,7.04095400759879
