"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,62500,62500,100,100,0,0,0,0,0,0
1,10,57438,57719,99,109,0,0,0,-1,9,0
1,20,57471,57202,151,382,0,0,0,52.5252525252525,250.45871559633,0
1,30,54883,43488,218,874,0,0,0,44.3708609271523,128.795811518325,0
1,40,51606,21781,288,1846,0,0,0,32.1100917431193,111.212814645309,0
1,50,47883,1933,422,1754,0,0,0,46.5277777777778,-4.98374864572048,0
1,60,41446,1721,608,1789,0,0,0,44.0758293838863,1.99543899657925,0
1,70,32680,2173,829,1898,0,0,0,36.3486842105263,6.09278926774734,0
1,80,22811,1011,1128,1838,0,0,0,36.0675512665862,-3.16122233930453,0
1,90,11909,1660,1470,1926,0,0,0,30.3191489361702,4.78781284004353,0
1,100,4967,1192,1595,1719,0,0,0,8.50340136054422,-10.7476635514019,0
1,110,3734,1906,1667,2008,0,0,0,4.5141065830721,16.8121000581734,0
1,120,2803,1003,1616,1666,0,0,0,-3.05938812237553,-17.0318725099602,0
1,130,3457,3815,1660,2143,0,0,0,2.72277227722772,28.6314525810324,0
1,140,3194,421,1653,1438,0,0,0,-0.421686746987952,-32.8978068128791,0
1,150,2854,6584,1632,2057,0,0,0,-1.27041742286751,43.0458970792768,0
1,160,3778,761,1634,1719,0,0,0,0.122549019607843,-16.4316966456004,0
1,170,3175,2527,1631,1957,0,0,0,-0.18359853121175,13.8452588714369,0
1,180,3192,965,1618,1726,0,0,0,-0.797057020232986,-11.803781297905,0
1,190,3410,2398,1660,1974,0,0,0,2.59579728059333,14.3684820393975,0
1,200,2875,652,1625,1689,0,0,0,-2.10843373493976,-14.4376899696049,0
1,210,3596,3370,1503,1954,18,20,87,-7.50769230769231,15.6897572528123,0
1,220,4964,1324,1501,1575,15,17,113,-0.133067198935462,-19.396110542477,29.8850574712644
1,230,6161,4447,1403,2124,17,18,131,-6.52898067954697,34.8571428571429,15.929203539823
1,240,7888,771,1403,1511,22,34,193,0,-28.8606403013183,47.3282442748092
1,250,8571,6451,1311,1796,29,30,220,-6.55737704918033,18.8616810059563,13.9896373056995
1,260,10581,4021,1262,1790,33,35,252,-3.73760488176964,-0.334075723830735,14.5454545454545
1,270,13288,3190,1134,1648,25,44,301,-10.1426307448494,-7.93296089385475,19.4444444444444
1,280,17509,5952,1005,1737,36,43,311,-11.3756613756614,5.4004854368932,3.32225913621262
1,290,21029,5123,906,1658,26,55,312,-9.85074626865672,-4.54807138744963,0.321543408360129
1,300,24933,6877,866,1527,26,47,287,-4.41501103752759,-7.90108564535585,-8.01282051282051
1,310,26713,7715,790,1871,27,41,259,-8.77598152424942,22.5278323510151,-9.75609756097561
1,320,28426,2361,774,1365,23,64,266,-2.0253164556962,-27.0443613041154,2.7027027027027
1,330,30039,10711,739,1934,29,32,216,-4.52196382428941,41.6849816849817,-18.796992481203
1,340,30094,2372,797,1568,10,55,230,7.84844384303112,-18.9245087900724,6.48148148148148
1,350,28327,5271,788,1902,15,42,208,-1.12923462986198,21.3010204081633,-9.56521739130435
1,360,28819,3037,803,1480,22,44,227,1.90355329949239,-22.1871713985279,9.13461538461539
1,370,27709,6968,815,2081,24,29,197,1.49439601494396,40.6081081081081,-13.215859030837
1,380,26812,1566,830,1255,22,41,224,1.84049079754601,-39.6924555502162,13.7055837563452
1,390,27071,12275,898,2073,31,23,192,8.19277108433735,65.1792828685259,-14.2857142857143
1,400,23393,1333,912,1385,16,48,206,1.55902004454343,-33.1886155330439,7.29166666666667
1,410,23684,8680,932,1852,21,38,189,2.19298245614035,33.7184115523466,-8.25242718446602
1,420,21468,2633,1019,1672,20,39,218,9.33476394849785,-9.71922246220302,15.3439153439153
1,430,19385,4334,1012,1809,26,34,222,-0.686947988223749,8.19377990430622,1.8348623853211
1,440,19655,4306,1021,1790,23,33,235,0.889328063241107,-1.05030403537866,5.85585585585586
1,450,19852,3136,1010,1628,25,38,263,-1.07737512242899,-9.05027932960894,11.9148936170213
1,460,21448,5855,954,1906,32,48,278,-5.54455445544554,17.0761670761671,5.70342205323194
1,470,23245,2600,872,1346,29,53,301,-8.59538784067086,-29.3809024134313,8.27338129496403
1,480,26869,12367,759,1747,32,51,256,-12.9587155963303,29.7919762258544,-14.9501661129568
1,490,30186,4139,748,1764,19,44,232,-1.44927536231884,0.973096737263881,-9.375
1,500,30005,3113,743,1564,21,40,229,-0.668449197860963,-11.3378684807256,-1.29310344827586
