"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,30,62500,62500,62500,62500,62500,62500,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,57506.2333333333,57470.5,57536.5,57502.0666666667,57473.3333333333,57530.2333333333,99,98.1333333333333,99.9,99.5666666666667,98.1333333333333,101.166666666667,0,0,0,0,0,0,0,0,0,-1,-1.93333333333333,-0.166666666666667,-0.433333333333333,-1.86666666666667,1.06666666666667,0,0,0
20,30,57534,57483.7,57586.5333333333,57514.5666666667,57420.4333333333,57591.9,139.8,136.766666666667,142.3,141.766666666667,138.666666666667,145.033333333333,0,0,0,0,0,0,0,0,0,41.2807424533716,38.245631670805,44.1071410266839,42.4572255253423,39.6210336600957,45.2898434857827,0,0,0
30,30,55488.2333333333,55346.2666666667,55619.5666666667,55424.4666666667,55241.6333333333,55587.7666666667,199.066666666667,195.1,202.833333333333,199.233333333333,194.766666666667,203.4,0,0,0,0,0,0,0,0,0,42.4987051913585,40.3432807517012,44.5882147799794,40.675246237069,38.4350187721212,42.9383108627611,0,0,0
40,30,52539.7666666667,52354.6666666667,52728.0333333333,52522,52274.5,52754.8333333333,273.733333333333,269.566666666667,277.866666666667,278.733333333333,271.833333333333,286.033333333333,0,0,0,0,0,0,0,0,0,37.6766831475788,36.033438573238,39.4671692347127,39.9344920735618,37.7923378218554,41.8470374583901,0,0,0
50,30,48804.3,48585.0666666667,49039.5,48574.3,48196.9,48913.8666666667,388.6,381.166666666667,395.8,393.933333333333,383.933333333333,403.733333333333,0,0,0,0,0,0,0,0,0,41.954027890246,40.2433755212134,43.5149208187632,41.3926777182989,39.8907306601485,42.9687989258554,0,0,0
60,30,43185.4333333333,42827.7333333333,43590.1666666667,42816.0666666667,42280.7,43306.3,550.2,538.833333333333,560.833333333333,551.5,537.433333333333,564.933333333333,0,0,0,0,0,0,0,0,0,41.647214868264,40.3650377553667,43.1148522018169,40.1033167947612,38.4874137268909,41.6139083765087,0,0,0
70,30,35160.3,34588.1,35742.9,35115.6,34436.1,35802.1333333333,769.333333333333,754.633333333333,784.033333333333,770.666666666667,750.2,790.666666666667,0,0,0,0,0,0,0,0,0,39.8878380654762,38.3929103103096,41.2591159360915,39.7248770722538,38.4818594746952,40.9651939376468,0,0,0
80,30,25289.3,24597.9666666667,25967.5333333333,25133.7333333333,24287.7333333333,25990.1666666667,1056.93333333333,1038.43333333333,1076.16666666667,1060.16666666667,1035.3,1086,0,0,0,0,0,0,0,0,0,37.4471518345379,36.1051206080858,38.6838662533013,37.7106185385013,36.3178809643684,39.0118278292854,0,0,0
90,30,14556.8666666667,13892.9666666667,15290.9666666667,14584.4,13780.7333333333,15335,1372.93333333333,1353.43333333333,1394.1,1368.56666666667,1341.8,1395.66666666667,0,0,0,0,0,0,0,0,0,29.9957478685626,28.8394686309596,31.2294165600748,29.2143944968905,27.9194802338795,30.549422955658,0,0,0
