"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,30,62500,62500,62500,62500,62500,62500,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,57477.4333333333,57443.5333333333,57513.8,57506.8333333333,57476.4666666667,57537.1,99.9666666666667,98.9,101.266666666667,99.4666666666667,98.0333333333333,100.8,0,0,0,0,0,0,0,0,0,-0.0333333333333333,-1.13333333333333,1.23333333333333,-0.533333333333333,-1.9,0.833333333333333,0,0,0
20,30,57492.3666666667,57427.3333333333,57559.5,57506.5,57415.3666666667,57589.9,143.766666666667,140.5,147,143.333333333333,140.233333333333,146.4,0,0,0,0,0,0,0,0,0,43.8987487088292,40.7121595871688,47.3040714249576,44.1849073145982,41.121396747606,46.9498222732129,0,0,0
30,30,55320.5333333333,55144.3333333333,55486.9333333333,55316.7333333333,55154.0333333333,55480.6,202.9,199.033333333333,207.2,205.066666666667,200.3,209.666666666667,0,0,0,0,0,0,0,0,0,41.3739448534643,38.8881541747918,43.9018870695929,43.2418095554635,40.7670525646039,45.8030274812349,0,0,0
40,30,52365.5333333333,52137.4,52549.9333333333,52255.4333333333,51999.8666666667,52490.7333333333,282.233333333333,276,288.366666666667,286.4,278.933333333333,293.933333333333,0,0,0,0,0,0,0,0,0,39.2352317213752,36.7254582459542,41.7542165428012,39.6662716186664,37.9210360417572,41.5160748445846,0,0,0
50,30,48352.6666666667,48021.1,48664.9,48151.3666666667,47767.8333333333,48506.5666666667,400.333333333333,392.3,408.966666666667,398.4,388.233333333333,409.266666666667,0,0,0,0,0,0,0,0,0,42.0279444358664,39.9293554149493,44.2619251072277,39.1699815845083,37.5031682323122,40.7754420248738,0,0,0
60,30,42547.1333333333,42134.8,42958.1666666667,42602.6666666667,42108.5666666667,43077.1666666667,562.1,550.5,571.766666666667,561.633333333333,548.2,574.733333333333,0,0,0,0,0,0,0,0,0,40.5426695593415,38.7106612629574,42.4267544357318,41.0318282854825,39.7261853252088,42.2914249913633,0,0,0
70,30,34590.2333333333,34118.8666666667,35105,34721.8,34014.6333333333,35398.9666666667,787.633333333333,772.433333333333,801.633333333333,787.633333333333,772.8,803.866666666667,0,0,0,0,0,0,0,0,0,40.1622714636114,38.7405820593376,41.5522368223366,40.4043715781125,38.9807300639785,42.0222950365766,0,0,0
80,30,24397.3,23774.7666666667,25075.0333333333,24404.5666666667,23719.6333333333,25024.3333333333,1076.63333333333,1059.36666666667,1093.23333333333,1074,1053.76666666667,1095.03333333333,0,0,0,0,0,0,0,0,0,36.807849653411,35.6419102874197,37.9073242502169,36.3997606496908,35.3855403112728,37.4872717024352,0,0,0
90,30,14094.3,13614.7333333333,14589,14108.9333333333,13427.6,14718.7,1376.16666666667,1358.5,1393.46666666667,1381.86666666667,1362.66666666667,1403.2,0,0,0,0,0,0,0,0,0,27.8774983027174,27.0581420776889,28.7091377654282,28.8096935859169,27.6553705458785,29.9360359445455,0,0,0
100,30,6954.23333333333,6614.9,7293.16666666667,6848.66666666667,6460.63333333333,7198.3,1582.66666666667,1568.36666666667,1596.33333333333,1586.76666666667,1573.83333333333,1599.1,0,0,0,0,0,0,0,0,0,15.1135227504069,13.7570534916992,16.4049937132603,14.9550712452478,13.6288045780114,16.1760456051166,0,0,0
110,30,3682.46666666667,3527.23333333333,3877.8,3750.86666666667,3567.06666666667,3933.96666666667,1656.93333333333,1648.06666666667,1665.76666666667,1657.86666666667,1648.23333333333,1666.43333333333,0,0,0,0,0,0,0,0,0,4.76997305783639,3.4936720312144,5.95847110104041,4.53980929917116,3.42353201782718,5.67284233943141,0,0,0
120,30,2869.96666666667,2705.2,3024,2826.13333333333,2686.43333333333,2954.9,1651.76666666667,1641.26666666667,1663.03333333333,1654.86666666667,1643.66666666667,1664.93333333333,0,0,0,0,0,0,0,0,0,-0.284672083563262,-1.21456624022815,0.611935915087635,-0.155543724886931,-0.996068732878392,0.659026840001793,0,0,0
