"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,30,62500,62500,62500,62500,62500,62500,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,57506.2333333333,57470.9,57536.9333333333,57502.0666666667,57468.9666666667,57530.7333333333,99,98.1333333333333,99.9,99.5666666666667,98.2,101.1,0,0,0,0,0,0,0,0,0,-1,-1.9,-0.166666666666667,-0.433333333333333,-1.93333333333333,1,0,0,0
20,30,57534,57479.6666666667,57588.6333333333,57514.5666666667,57419.6666666667,57593.6666666667,139.8,137.2,142.433333333333,141.766666666667,138.633333333333,144.933333333333,0,0,0,0,0,0,0,0,0,41.2807424533716,38.1359620871765,44.1629526700388,42.4572255253423,39.3876344611756,45.2637507704116,0,0,0
30,30,55488.2333333333,55356.4333333333,55632.6666666667,55424.4666666667,55246.0333333333,55573.9333333333,199.066666666667,194.766666666667,203.2,199.233333333333,194.8,203.533333333333,0,0,0,0,0,0,0,0,0,42.4987051913585,40.363307284367,44.578657653411,40.675246237069,38.3867511796667,43.0705001561221,0,0,0
40,30,52539.7666666667,52328.2,52737.5666666667,52522,52274.6666666667,52762.8333333333,273.733333333333,269.633333333333,278,278.733333333333,271.333333333333,285.866666666667,0,0,0,0,0,0,0,0,0,37.6766831475788,36.0809690382371,39.4395621600694,39.9344920735618,37.790288341497,41.8821564561015,0,0,0
50,30,48804.3,48575.1666666667,49023.4333333333,48574.3,48233.4,48905.6666666667,388.6,381.133333333333,395.2,393.933333333333,384.166666666667,404.566666666667,0,0,0,0,0,0,0,0,0,41.954027890246,40.2204390546216,43.5044967605615,41.3926777182989,39.6087217228224,42.8323607677307,0,0,0
60,30,43185.4333333333,42796.3666666667,43590.6333333333,42816.0666666667,42265.6666666667,43321.4333333333,550.2,539.4,560.3,551.5,538.566666666667,565.566666666667,0,0,0,0,0,0,0,0,0,41.647214868264,40.3142120315425,43.1013866364163,40.1033167947612,38.4732699825677,41.6968978618025,0,0,0
70,30,35160.3,34659.1,35696.3333333333,35115.6,34496.1,35745.0666666667,769.333333333333,754.4,783.3,770.666666666667,750.666666666667,791.366666666667,0,0,0,0,0,0,0,0,0,39.8878380654762,38.3681565415783,41.2724651688249,39.7248770722538,38.4168322705624,40.9177390329466,0,0,0
80,30,25289.3,24595.2666666667,25913.0333333333,25133.7333333333,24212.8666666667,26027.8666666667,1056.93333333333,1036.56666666667,1074.06666666667,1060.16666666667,1034.46666666667,1083.2,0,0,0,0,0,0,0,0,0,37.4471518345379,36.0224755444658,38.6719917660884,37.7106185385013,36.4144573255796,38.931174822017,0,0,0
90,30,14556.8666666667,13850.7333333333,15307.8666666667,14584.4,13847.5,15362.7333333333,1372.93333333333,1352.13333333333,1391.83333333333,1368.56666666667,1339.3,1395.36666666667,0,0,0,0,0,0,0,0,0,29.9957478685626,28.7627254294741,31.2137456917167,29.2143944968905,27.880382334147,30.4594171776195,0,0,0
100,30,6870.33333333333,6466.86666666667,7329.46666666667,7056.33333333333,6455.7,7623.7,1571.56666666667,1558.33333333333,1584.16666666667,1578.1,1561.36666666667,1592.43333333333,0,0,0,0,0,0,0,0,0,14.5920167875947,13.2437632102734,15.8672140334015,15.5214113566393,13.9698846231185,17.089428438333,0,0,0
110,30,3816.96666666667,3637.9,3986.46666666667,3771.76666666667,3553.63333333333,3974.16666666667,1662.23333333333,1651.03333333333,1672.63333333333,1654.43333333333,1645.8,1662.8,0,0,0,0,0,0,0,0,0,5.82343291246918,4.78116365995652,6.92844938252812,4.91016005651998,3.83729461957832,6.07820172154832,0,0,0
120,30,2812.93333333333,2683.86666666667,2936.5,2824.2,2688.13333333333,2954.53333333333,1662.43333333333,1654.13333333333,1670.8,1652.03333333333,1642.63333333333,1660.63333333333,0,0,0,0,0,0,0,0,0,0.0455647539018449,-0.77112873378361,0.883776404321629,-0.120723435455899,-0.953824697084653,0.664974710875686,0,0,0
130,30,2762.7,2649.36666666667,2872.03333333333,2851.1,2733.93333333333,2976.5,1651.73333333333,1639.86666666667,1663.36666666667,1654.16666666667,1644.06666666667,1662.76666666667,0,0,0,0,0,0,0,0,0,-0.626955054279633,-1.43209715439673,0.211982776299451,0.155477997831012,-0.687039998890041,1.06728745973697,0,0,0
140,30,2824.66666666667,2675.76666666667,2964.46666666667,2833.33333333333,2704.46666666667,2965.76666666667,1644.4,1634.6,1654.16666666667,1647.7,1639.9,1655.8,0,0,0,0,0,0,0,0,0,-0.394495322078986,-1.39603724117492,0.598616793112644,-0.360683086957892,-1.16105247343319,0.414566638945275,0,0,0
150,30,2955.73333333333,2830.56666666667,3072.06666666667,2949.16666666667,2802.86666666667,3085.4,1649.5,1640.8,1658.03333333333,1642.83333333333,1633.03333333333,1653,0,0,0,0,0,0,0,0,0,0.336498544934635,-0.50582491193623,1.1806677133604,-0.276615754357266,-1.07921117869716,0.54995510663814,0,0,0
160,30,2849.4,2713.1,2978.83333333333,2869.06666666667,2719.36666666667,3001.23333333333,1650.33333333333,1641.66666666667,1658.3,1651.76666666667,1640.33333333333,1662.53333333333,0,0,0,0,0,0,0,0,0,0.0754338345012989,-0.779711429464193,0.827799066441144,0.580636080148531,-0.404435699257798,1.55141570750073,0,0,0
170,30,2860.8,2731.13333333333,2991.8,2934.7,2773.66666666667,3083.2,1656.8,1647.83333333333,1666.8,1647.6,1637.76666666667,1657.3,0,0,0,0,0,0,0,0,0,0.42531824278348,-0.566854141518891,1.39658472580233,-0.222784867652484,-1.05621620910093,0.606405733198297,0,0,0
