timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,62500,62500,100,100,0,0,0
10,57424,57461,100,99,0,0,0
20,57613,57503,141,150,0,0,0
30,55496,54991,204,203,0,0,0
40,52292,52294,279,292,0,0,0
50,48300,47996,378,394,0,0,0
60,43704,42965,569,567,0,0,0
70,33975,34252,795,777,0,0,0
80,24617,24640,1077,1075,0,0,0
90,14128,14020,1370,1391,0,0,0
100,6807,7202,1589,1565,0,0,0
110,3315,3532,1684,1643,0,0,0
120,2456,3005,1635,1671,0,0,0
130,2569,3014,1689,1646,0,0,0
140,2633,2488,1679,1649,0,0,0
150,2572,2857,1649,1665,0,0,0
160,2524,2744,1659,1660,0,0,0
170,3070,2825,1627,1664,0,0,0
180,3292,2889,1668,1652,0,0,0
190,2783,2847,1646,1663,0,0,0
200,2626,2864,1689,1612,0,0,0
210,3297,4549,1513,1461,10,13,178
220,6751,6513,1399,1398,9,18,298
230,9688,9609,1252,1282,26,31,493
240,16825,15160,878,925,44,43,776
250,34539,33465,414,449,39,27,889
260,50792,49327,142,155,17,14,611
270,57819,57247,64,83,6,7,200
280,59763,59154,66,72,0,0,46
290,59404,58766,89,108,1,1,3
300,58032,56961,126,152,0,0,0
310,56204,55007,178,223,0,0,0
320,53578,51121,260,309,0,0,0
330,49333,47143,337,430,0,0,0
340,45656,40920,467,614,0,0,0
350,39172,31643,677,899,0,0,0
360,29419,20651,951,1175,0,0,0
370,18411,11252,1236,1410,0,0,0
380,9951,6331,1484,1615,0,0,0
390,5079,3695,1664,1640,0,0,0
400,2828,2490,1659,1697,0,0,0
410,2369,2228,1682,1663,0,0,0
420,2449,2641,1680,1624,0,0,0
430,2952,3020,1619,1647,0,0,0
440,2977,3119,1649,1651,0,0,0
450,2394,3230,1675,1596,0,0,0
460,2715,3286,1650,1664,0,0,0
470,2861,2399,1691,1666,0,0,0
480,2640,2022,1651,1682,0,0,0
490,2796,2431,1628,1682,0,0,0
500,3260,2255,1626,1625,0,0,0
510,2874,2488,1679,1666,0,0,0
520,2590,2784,1657,1672,0,0,0
530,2338,2783,1676,1604,0,0,0
540,3067,3017,1621,1677,0,0,0
550,2615,2380,1654,1661,0,0,0
560,2706,2798,1679,1648,0,0,0
570,2816,2989,1656,1636,0,0,0
580,2577,3425,1608,1699,0,0,0
590,2918,3037,1661,1572,0,0,0
600,2579,3591,1614,1689,0,0,0
610,3043,2722,1688,1670,0,0,0
620,2097,2872,1628,1632,0,0,0
630,3076,2608,1709,1664,0,0,0
640,2138,3158,1683,1622,0,0,0
650,2366,2583,1622,1653,0,0,0
660,2795,3099,1639,1654,0,0,0
670,2970,2829,1640,1624,0,0,0
680,2539,3442,1630,1612,0,0,0
690,2895,3074,1694,1653,0,0,0
700,2446,3530,1626,1666,0,0,0
710,3536,2524,1655,1640,0,0,0
720,3181,2611,1676,1653,0,0,0
730,2977,2821,1652,1624,0,0,0
740,2806,3711,1653,1661,0,0,0
750,2970,3425,1599,1654,0,0,0
760,3464,2806,1623,1642,0,0,0
770,2814,2934,1714,1638,0,0,0
780,2423,3375,1659,1643,0,0,0
790,2522,3146,1624,1642,0,0,0
800,3090,2535,1637,1701,0,0,0
810,3198,2275,1663,1652,0,0,0
820,3311,2603,1634,1654,0,0,0
830,3311,2445,1607,1659,0,0,0
840,3389,2840,1626,1645,0,0,0
850,3399,3537,1646,1603,0,0,0
860,2957,2823,1652,1661,0,0,0
870,2609,2862,1677,1657,0,0,0
880,2493,2611,1647,1637,0,0,0
890,3055,3042,1644,1653,0,0,0
900,3372,2499,1640,1657,0,0,0
910,2851,2699,1666,1681,0,0,0
920,3123,2765,1621,1655,0,0,0
930,3468,2890,1651,1636,0,0,0
940,2950,3001,1657,1652,0,0,0
950,2323,3190,1641,1651,0,0,0
960,2609,2659,1697,1623,0,0,0
970,2161,3150,1679,1611,0,0,0
980,2232,3346,1629,1676,0,0,0
990,2947,3555,1653,1649,0,0,0
1000,2897,3163,1661,1627,0,0,0
