"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,62500,62500,100,100,0,0,0,0,0,0
1,10,57451,57263,102,98,0,0,0,2,-2,0
1,20,57417,57558,148,139,0,0,0,45.0980392156863,41.8367346938776,0
1,30,54962,55481,214,200,0,0,0,44.5945945945946,43.8848920863309,0
1,40,51522,52610,311,268,0,0,0,45.3271028037383,34,0
1,50,47174,49302,408,377,0,0,0,31.1897106109325,40.6716417910448,0
1,60,42536,43814,553,535,0,0,0,35.5392156862745,41.9098143236074,0
1,70,35033,36018,789,762,0,0,0,42.6763110307414,42.4299065420561,0
1,80,24454,25848,1089,1038,0,0,0,38.0228136882129,36.2204724409449,0
1,90,13814,14902,1358,1311,0,0,0,24.7015610651974,26.3005780346821,0
1,100,7980,7496,1607,1625,0,0,0,18.3357879234168,23.951182303585,0
1,110,3547,3416,1590,1656,0,0,0,-1.05787181082763,1.90769230769231,0
1,120,4140,3504,1671,1624,0,0,0,5.09433962264151,-1.93236714975845,0
1,130,2989,3022,1659,1649,0,0,0,-0.718132854578097,1.53940886699507,0
1,140,3211,3297,1645,1614,0,0,0,-0.843881856540084,-2.12249848392965,0
1,150,2613,3864,1628,1634,0,0,0,-1.03343465045593,1.23915737298637,0
1,160,2772,3238,1656,1638,0,0,0,1.71990171990172,0.244798041615667,0
1,170,2894,2961,1643,1627,0,0,0,-0.785024154589372,-0.671550671550671,0
1,180,2670,3016,1656,1636,0,0,0,0.79123554473524,0.553165334972342,0
1,190,2417,3270,1651,1629,0,0,0,-0.301932367149758,-0.427872860635697,0
1,200,3004,2656,1664,1671,0,0,0,0.78740157480315,2.57826887661142,0
1,210,3632,3566,1549,1547,7,13,187,-6.91105769230769,-7.42070616397367,0
1,220,5357,5506,1454,1507,9,7,341,-6.13298902517753,-2.58564964447317,82.3529411764706
1,230,8237,7058,1338,1325,14,21,644,-7.97799174690509,-12.0769741207697,88.8563049853372
1,240,15094,15623,978,955,36,30,1109,-26.9058295964126,-27.9245283018868,72.2049689440994
1,250,33353,34092,412,351,30,34,1506,-57.8732106339468,-63.2460732984293,35.7980162308386
1,260,53308,54369,71,58,11,13,1122,-82.7669902912621,-83.4757834757835,-25.4980079681275
1,270,60883,61031,16,11,0,2,351,-77.4647887323944,-81.0344827586207,-68.716577540107
1,280,61921,62100,11,8,0,0,58,-31.25,-27.2727272727273,-83.4757834757835
1,290,62009,62090,14,8,0,0,3,27.2727272727273,0,-94.8275862068966
1,300,61791,62132,14,19,0,0,1,0,137.5,-66.6666666666667
1,310,61799,61582,25,23,0,0,0,78.5714285714286,21.0526315789474,-100
1,320,61269,61272,37,35,0,0,0,48,52.1739130434783,0
1,330,60745,60695,54,52,0,0,0,45.9459459459459,48.5714285714286,0
1,340,59857,60025,73,69,0,0,0,35.1851851851852,32.6923076923077,0
1,350,58695,58975,101,102,0,0,0,38.3561643835616,47.8260869565217,0
1,360,57446,57402,151,148,0,0,0,49.5049504950495,45.0980392156863,0
1,370,55086,55138,212,212,0,0,0,40.3973509933775,43.2432432432432,0
1,380,51491,51746,310,276,0,0,0,46.2264150943396,30.188679245283,0
1,390,47176,48593,430,414,0,0,0,38.7096774193548,50,0
1,400,40993,41884,609,589,0,0,0,41.6279069767442,42.2705314009662,0
1,410,32540,33368,837,792,0,0,0,37.4384236453202,34.46519524618,0
1,420,22745,23173,1126,1131,0,0,0,34.5280764635603,42.8030303030303,0
1,430,12242,12552,1455,1433,0,0,0,29.2184724689165,26.7020335985853,0
1,440,5129,6760,1636,1574,0,0,0,12.4398625429553,9.83949755757153,0
1,450,2822,3267,1651,1634,0,0,0,0.916870415647922,3.81194409148666,0
1,460,2742,2667,1645,1719,0,0,0,-0.363416111447607,5.20195838433292,0
1,470,3067,2295,1675,1639,0,0,0,1.82370820668693,-4.65386852821408,0
1,480,2629,2965,1651,1620,0,0,0,-1.43283582089552,-1.15924344112264,0
1,490,2976,3508,1622,1638,0,0,0,-1.7565112053301,1.11111111111111,0
1,500,3225,3111,1634,1642,0,0,0,0.739827373612824,0.244200244200244,0
1,510,2705,2639,1675,1668,0,0,0,2.50917992656059,1.58343483556638,0
1,520,2495,2727,1635,1636,0,0,0,-2.38805970149254,-1.91846522781775,0
1,530,2739,3047,1641,1671,0,0,0,0.36697247706422,2.13936430317848,0
1,540,3019,3017,1672,1612,0,0,0,1.88909201706277,-3.53081986834231,0
1,550,2560,2954,1659,1624,0,0,0,-0.777511961722488,0.744416873449132,0
1,560,2649,2826,1622,1685,0,0,0,-2.23025919228451,3.75615763546798,0
1,570,3690,2985,1667,1626,0,0,0,2.77435265104809,-3.50148367952522,0
1,580,3235,3147,1639,1653,0,0,0,-1.67966406718656,1.66051660516605,0
1,590,2949,2785,1659,1633,0,0,0,1.2202562538133,-1.20992135511192,0
1,600,2885,2973,1623,1639,0,0,0,-2.16998191681736,0.367421922841396,0
1,610,3516,2656,1627,1708,0,0,0,0.246457178065311,4.20988407565589,0
1,620,3640,2853,1617,1609,0,0,0,-0.614628149969269,-5.79625292740047,0
1,630,3035,3403,1627,1644,0,0,0,0.618429189857761,2.1752641392169,0
1,640,3102,3016,1665,1681,0,0,0,2.33558696988322,2.25060827250608,0
1,650,2334,2553,1664,1661,0,0,0,-0.0600600600600601,-1.18976799524093,0
1,660,2295,2546,1707,1644,0,0,0,2.58413461538462,-1.02347983142685,0
1,670,2482,3046,1650,1631,0,0,0,-3.33919156414763,-0.790754257907543,0
1,680,2524,3419,1638,1633,0,0,0,-0.727272727272727,0.122624156958921,0
1,690,2894,3538,1678,1606,0,0,0,2.44200244200244,-1.65339865278628,0
1,700,2786,3185,1627,1680,0,0,0,-3.03933253873659,4.60772104607721,0
1,710,3387,2456,1662,1646,0,0,0,2.15119852489244,-2.02380952380952,0
1,720,2531,2805,1647,1644,0,0,0,-0.902527075812274,-0.121506682867558,0
1,730,3303,2950,1638,1668,0,0,0,-0.546448087431694,1.45985401459854,0
1,740,3018,2814,1623,1633,0,0,0,-0.915750915750916,-2.09832134292566,0
1,750,3288,2945,1660,1648,0,0,0,2.27972889710413,0.91855480710349,0
1,760,2747,2893,1634,1655,0,0,0,-1.56626506024096,0.424757281553398,0
1,770,3243,2684,1681,1697,0,0,0,2.87637698898409,2.53776435045317,0
1,780,2960,2930,1596,1623,0,0,0,-5.05651397977394,-4.36063641720684,0
1,790,3468,2988,1602,1646,0,0,0,0.37593984962406,1.41712877387554,0
1,800,3705,2494,1657,1692,0,0,0,3.43320848938826,2.79465370595383,0
1,810,3004,2237,1648,1680,0,0,0,-0.543150271575136,-0.709219858156028,0
1,820,2950,2214,1639,1640,0,0,0,-0.546116504854369,-2.38095238095238,0
1,830,3519,2903,1583,1642,0,0,0,-3.41671751067724,0.121951219512195,0
1,840,3726,2572,1675,1651,0,0,0,5.81174984207202,0.548112058465286,0
1,850,2790,2579,1638,1653,0,0,0,-2.2089552238806,0.121138703815869,0
1,860,3100,2711,1651,1665,0,0,0,0.793650793650794,0.725952813067151,0
1,870,2974,2738,1666,1621,0,0,0,0.908540278619019,-2.64264264264264,0
1,880,2784,2979,1684,1655,0,0,0,1.08043217286915,2.09747069710056,0
1,890,2491,2901,1581,1646,0,0,0,-6.11638954869359,-0.54380664652568,0
1,900,2910,2637,1672,1660,0,0,0,5.75585072738773,0.850546780072904,0
1,910,2645,2835,1708,1650,0,0,0,2.15311004784689,-0.602409638554217,0
1,920,2483,2894,1648,1669,0,0,0,-3.51288056206089,1.15151515151515,0
1,930,2929,3006,1634,1619,0,0,0,-0.849514563106796,-2.99580587177951,0
1,940,2979,3085,1634,1618,0,0,0,0,-0.0617665225447807,0
1,950,2970,3250,1665,1636,0,0,0,1.89718482252142,1.11248454882571,0
1,960,3221,2892,1630,1705,0,0,0,-2.1021021021021,4.21760391198044,0
1,970,3244,2214,1642,1649,0,0,0,0.736196319018405,-3.28445747800587,0
1,980,2295,2845,1694,1624,0,0,0,3.16686967113277,-1.51607034566404,0
1,990,2221,3110,1641,1660,0,0,0,-3.12868949232586,2.21674876847291,0
1,1000,3199,2923,1651,1620,0,0,0,0.60938452163315,-2.40963855421687,0
2,0,62500,62500,100,100,0,0,0,0,0,0
2,10,57486,57584,107,94,0,0,0,7,-6,0
2,20,56934,57685,160,132,0,0,0,49.5327102803738,40.4255319148936,0
2,30,54580,56179,212,203,0,0,0,32.5,53.7878787878788,0
2,40,51944,52203,292,287,0,0,0,37.7358490566038,41.3793103448276,0
2,50,47617,48039,432,418,0,0,0,47.9452054794521,45.6445993031359,0
2,60,40941,41542,605,596,0,0,0,40.0462962962963,42.5837320574163,0
2,70,32687,32624,851,807,0,0,0,40.6611570247934,35.4026845637584,0
2,80,21672,23604,1148,1119,0,0,0,34.9001175088132,38.6617100371747,0
2,90,11388,12861,1458,1438,0,0,0,27.0034843205575,28.5075960679178,0
2,100,5077,5782,1636,1613,0,0,0,12.2085048010974,12.1696801112656,0
2,110,3697,2687,1661,1705,0,0,0,1.5281173594132,5.70365778053317,0
2,120,2737,2223,1644,1650,0,0,0,-1.02347983142685,-3.2258064516129,0
2,130,3039,2841,1636,1604,0,0,0,-0.48661800486618,-2.78787878787879,0
2,140,2966,3541,1647,1640,0,0,0,0.672371638141809,2.24438902743142,0
2,150,2449,3042,1655,1645,0,0,0,0.485731633272617,0.304878048780488,0
2,160,2878,2962,1704,1649,0,0,0,2.9607250755287,0.243161094224924,0
2,170,2543,3264,1628,1651,0,0,0,-4.46009389671362,0.121285627653123,0
2,180,3043,3177,1627,1576,0,0,0,-0.0614250614250614,-4.54270139309509,0
2,190,3220,3959,1629,1634,0,0,0,0.122925629993854,3.68020304568528,0
2,200,3062,3152,1667,1675,0,0,0,2.33271945979128,2.50917992656059,0
2,210,3497,3396,1591,1537,10,9,178,-4.55908818236353,-8.23880597014925,0
2,220,5315,4908,1500,1499,11,13,320,-5.71967316153363,-2.47234873129473,79.7752808988764
2,230,7984,7511,1333,1338,16,17,594,-11.1333333333333,-10.7404936624416,85.625
2,240,15358,14455,958,1005,34,20,1007,-28.1320330082521,-24.8878923766816,69.5286195286195
2,250,32901,30884,398,455,38,41,1446,-58.455114822547,-54.726368159204,43.5948361469712
2,260,53355,51564,73,79,12,11,1162,-81.6582914572864,-82.6373626373626,-19.640387275242
2,270,60614,60636,17,18,4,0,442,-76.7123287671233,-77.2151898734177,-61.9621342512909
2,280,61872,61897,12,8,1,0,87,-29.4117647058824,-55.5555555555556,-80.316742081448
2,290,61907,62121,22,13,0,0,8,83.3333333333333,62.5,-90.8045977011494
2,300,61443,61801,27,23,0,0,0,22.7272727272727,76.9230769230769,-100
2,310,61158,61370,34,27,0,0,0,25.9259259259259,17.3913043478261,0
2,320,60749,61135,65,45,0,0,0,91.1764705882353,66.6666666666667,0
2,330,59312,60181,78,63,0,0,0,20,40,0
2,340,58418,59409,113,90,0,0,0,44.8717948717949,42.8571428571429,0
2,350,56856,57967,158,122,0,0,0,39.8230088495575,35.5555555555556,0
2,360,54542,56627,223,176,0,0,0,41.1392405063291,44.2622950819672,0
2,370,51402,53533,311,241,0,0,0,39.4618834080717,36.9318181818182,0
2,380,46903,50552,435,336,0,0,0,39.871382636656,39.4190871369295,0
2,390,40645,45692,623,480,0,0,0,43.2183908045977,42.8571428571429,0
2,400,31322,38552,880,666,0,0,0,41.2520064205457,38.75,0
2,410,21086,29704,1190,918,0,0,0,35.2272727272727,37.8378378378378,0
2,420,11432,19334,1475,1246,0,0,0,23.9495798319328,35.7298474945534,0
2,430,5898,9822,1617,1515,0,0,0,9.6271186440678,21.5890850722311,0
2,440,3235,5237,1653,1592,0,0,0,2.22634508348794,5.08250825082508,0
2,450,2594,3019,1647,1664,0,0,0,-0.362976406533575,4.52261306532663,0
2,460,3291,2625,1662,1640,0,0,0,0.910746812386157,-1.44230769230769,0
2,470,2772,2982,1641,1647,0,0,0,-1.26353790613718,0.426829268292683,0
2,480,3125,2590,1615,1673,0,0,0,-1.58439975624619,1.578627808136,0
2,490,3260,2179,1713,1659,0,0,0,6.06811145510836,-0.836820083682008,0
2,500,2376,2444,1639,1697,0,0,0,-4.31990659661413,2.29053646775166,0
2,510,2902,2885,1653,1626,0,0,0,0.854179377669311,-4.1838538597525,0
2,520,3053,3139,1628,1636,0,0,0,-1.5124016938899,0.615006150061501,0
2,530,3103,3086,1631,1660,0,0,0,0.184275184275184,1.46699266503667,0
2,540,3205,3007,1654,1652,0,0,0,1.41017780502759,-0.481927710843373,0
2,550,2449,2532,1639,1643,0,0,0,-0.90689238210399,-0.544794188861985,0
2,560,2469,2490,1646,1660,0,0,0,0.427089688834655,1.03469263542301,0
2,570,2802,2811,1676,1645,0,0,0,1.82260024301337,-0.903614457831325,0
2,580,2658,2718,1638,1655,0,0,0,-2.2673031026253,0.60790273556231,0
2,590,3025,3439,1665,1668,0,0,0,1.64835164835165,0.785498489425982,0
2,600,2197,3041,1679,1634,0,0,0,0.840840840840841,-2.03836930455636,0
2,610,2867,3304,1635,1646,0,0,0,-2.62060750446694,0.734394124847001,0
2,620,3178,2610,1628,1640,0,0,0,-0.428134556574924,-0.364520048602673,0
2,630,3121,3110,1623,1619,0,0,0,-0.307125307125307,-1.28048780487805,0
2,640,3481,3861,1611,1637,0,0,0,-0.739371534195933,1.11179740580605,0
2,650,3416,3052,1656,1653,0,0,0,2.79329608938547,0.977397678680513,0
2,660,2510,2658,1696,1655,0,0,0,2.41545893719807,0.120992135511192,0
2,670,2702,2859,1615,1651,0,0,0,-4.77594339622642,-0.241691842900302,0
2,680,3326,2934,1632,1661,0,0,0,1.05263157894737,0.605693519079346,0
2,690,3291,2727,1662,1642,0,0,0,1.83823529411765,-1.14388922335942,0
2,700,2844,2517,1636,1668,0,0,0,-1.56438026474128,1.58343483556638,0
2,710,2796,2911,1666,1634,0,0,0,1.83374083129584,-2.03836930455636,0
2,720,2743,3268,1676,1592,0,0,0,0.600240096038415,-2.5703794369645,0
2,730,2391,2929,1619,1642,0,0,0,-3.40095465393795,3.14070351758794,0
2,740,3530,3369,1600,1676,0,0,0,-1.17356392835083,2.07064555420219,0
2,750,3217,3017,1674,1637,0,0,0,4.625,-2.32696897374702,0
2,760,2689,2202,1636,1664,0,0,0,-2.2700119474313,1.64935858277337,0
2,770,2866,2672,1666,1687,0,0,0,1.83374083129584,1.38221153846154,0
2,780,2680,2604,1647,1617,0,0,0,-1.14045618247299,-4.149377593361,0
2,790,2603,2984,1691,1632,0,0,0,2.67152398299939,0.927643784786642,0
2,800,2798,2870,1662,1671,0,0,0,-1.71496156120639,2.38970588235294,0
2,810,2871,2982,1657,1655,0,0,0,-0.300842358604091,-0.957510472770796,0
2,820,2357,2733,1650,1639,0,0,0,-0.422450211225106,-0.966767371601209,0
2,830,3263,2818,1631,1698,0,0,0,-1.15151515151515,3.59975594874924,0
2,840,2854,2444,1657,1641,0,0,0,1.59411404046597,-3.35689045936396,0
2,850,2689,2886,1651,1621,0,0,0,-0.362100181050091,-1.2187690432663,0
2,860,2165,3239,1676,1681,0,0,0,1.51423379769836,3.70141887723627,0
2,870,3113,2838,1663,1617,0,0,0,-0.775656324582339,-3.80725758477097,0
2,880,2778,2965,1645,1646,0,0,0,-1.0823812387252,1.79344465058751,0
