"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,17,62500,62500,62500,62500,62500,62500,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,17,57486.1764705882,57419.4705882353,57547.0588235294,57473.8823529412,57440,57508.7058823529,99.4705882352941,97.8235294117647,101.117647058824,98.2941176470588,96.1764705882353,100.352941176471,0,0,0,0,0,0,0,0,0,-0.529411764705882,-2.29411764705882,1.05882352941176,-1.70588235294118,-3.82352941176471,0.294117647058824,0,0,0
20,17,57516.2941176471,57421.5882352941,57607.1176470588,57547,57452.6470588235,57638.1176470588,141.176470588235,136.823529411765,145.529411764706,139.764705882353,136.117647058824,143.176470588235,0,0,0,0,0,0,0,0,0,42.1235730468407,37.0364436562638,47.1924560193757,42.5092552656449,37.4664944337999,47.9741061812602,0,0,0
30,17,55446.2352941177,55200.6470588235,55685.3529411765,55545.1764705882,55339.1176470588,55718.0588235294,201.352941176471,194.588235294118,208,200.705882352941,195.294117647059,205.588235294118,0,0,0,0,0,0,0,0,0,42.6868869273841,39.5139320730465,45.9074720452781,43.7434001706635,40.5794944027906,46.8124188491444,0,0,0
40,17,52361.2941176471,52012.4117647059,52695.1764705882,52449.1176470588,52178.7058823529,52717.2352941177,285.588235294118,275.882352941176,295.294117647059,277.117647058824,271,283.470588235294,0,0,0,0,0,0,0,0,0,41.9654670458419,39.6323702130422,44.7832012710615,38.2671559298937,35.4879098194609,40.9207430349458,0,0,0
50,17,48236.7058823529,47813.8823529412,48700.7058823529,48673.4117647059,48378.7647058823,48940.8235294118,401.823529411765,391,411.529411764706,394,381.411764705882,407.058823529412,0,0,0,0,0,0,0,0,0,40.9459705006509,38.7093848898595,43.2300606883072,42.1810588321402,39.3469685638631,45.1349995351629,0,0,0
60,17,42418.6470588235,41865.7647058823,42890.2352941177,42825.2352941177,42197.3529411765,43441,567.764705882353,552.294117647059,583.294117647059,552.235294117647,538,566.882352941176,0,0,0,0,0,0,0,0,0,41.303787207279,39.6810248958984,42.8506858308742,40.3302369966568,37.7653033429748,43.0383908855044,0,0,0
70,17,34382.8823529412,33628.1764705882,35119.1176470588,35042.3529411765,34303.5882352941,35745.7058823529,794,772.176470588235,815.058823529412,780.470588235294,761.647058823529,800.411764705882,0,0,0,0,0,0,0,0,0,39.906791931138,38.4349293207685,41.628053837171,41.4189306630345,39.7751902073056,43.1520835920386,0,0,0
80,17,24175.3529411765,23274.9411764706,25104.2941176471,24818.7647058824,23981.7647058824,25530.5882352941,1078.82352941176,1055.70588235294,1102.05882352941,1062.05882352941,1040.88235294118,1086.17647058824,0,0,0,0,0,0,0,0,0,35.9695449904584,34.5551773787738,37.2557242178768,36.1403749949583,34.8557488769952,37.2988949586869,0,0,0
90,17,13890.1176470588,13124.5294117647,14651.1176470588,14515.2941176471,13777.2352941176,15205,1382.52941176471,1354.88235294118,1408.35294117647,1367.35294117647,1348.52941176471,1388.23529411765,0,0,0,0,0,0,0,0,0,28.1957536867814,26.9469801285919,29.3738082892589,28.8679619797806,27.0900186617026,30.6105842572195,0,0,0
