"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,30,62500,62500,62500,62500,62500,62500,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,57531.1,57493.4,57564.3666666667,57512.4,57475.8333333333,57548.1333333333,99.4,97.8666666666667,100.966666666667,98.9,97.4,100.333333333333,0,0,0,0,0,0,0,0,0,-0.6,-2.13333333333333,0.933333333333333,-1.1,-2.6,0.466666666666667,0,0,0
20,30,57515.1,57426,57604.5,57523.9,57445,57598.5,139.566666666667,136.5,143.066666666667,142.4,139.5,145.266666666667,0,0,0,0,0,0,0,0,0,40.4229791838509,37.920704489389,42.7572550765905,44.1201509707763,41.0876733538818,46.9816248726705,0,0,0
30,30,55505.1,55349.8666666667,55659.4,55338.8,55172.1,55503.7666666667,198.566666666667,193.733333333333,203.333333333333,204,198.266666666667,209.1,0,0,0,0,0,0,0,0,0,42.3629377748755,40.2974155358426,44.2770840946881,43.2757487750948,40.6147950576541,46.0645004828148,0,0,0
40,30,52595.6333333333,52351.8666666667,52835.6333333333,52343.8666666667,52080.2333333333,52608.5333333333,276.133333333333,271.266666666667,281.1,282.3,274.566666666667,289.633333333333,0,0,0,0,0,0,0,0,0,39.2893343830098,37.3394482205562,41.2077110213342,38.4770739864715,36.2503890054364,40.5478154618274,0,0,0
50,30,48666.4333333333,48412.8333333333,48927.2666666667,48342.6,47971.6333333333,48726.4,387.133333333333,380.666666666667,394.166666666667,401.433333333333,390.466666666667,410.133333333333,0,0,0,0,0,0,0,0,0,40.327631115443,38.2867967998095,42.4495921367829,42.3929684585155,40.5485437172869,44.2237052980067,0,0,0
60,30,43126.9666666667,42731.1,43477.1666666667,42454.8,41989.1333333333,42909.3,546.266666666667,535.7,557.4,556.633333333333,543,571.233333333333,0,0,0,0,0,0,0,0,0,41.1354002746299,39.6251006429785,42.6112029827942,38.7158707165175,36.884771935604,40.5346824259625,0,0,0
70,30,35358.0666666667,34826.0666666667,35887.1666666667,34936.2666666667,34247.1333333333,35622.4666666667,767.666666666667,753.566666666667,781.833333333333,779.833333333333,759.566666666667,801.466666666667,0,0,0,0,0,0,0,0,0,40.6003083151662,39.2995112471647,41.9571873027383,40.1570194378221,38.4839891900998,41.8775578105099,0,0,0
80,30,25185.5666666667,24518.1,25776.3666666667,24762.5,23910.1333333333,25593.1,1058.03333333333,1039.56666666667,1076.6,1072.2,1050.9,1093.73333333333,0,0,0,0,0,0,0,0,0,37.9260570001254,36.4130719883627,39.6470971859274,37.6697310235349,36.2791391023513,39.2409351440387,0,0,0
90,30,14693.8666666667,14157.5666666667,15198.5333333333,14179.4333333333,13490.4333333333,14895,1357.9,1341.13333333333,1376.23333333333,1370.7,1348.23333333333,1391.16666666667,0,0,0,0,0,0,0,0,0,28.4496791074676,27.3338628131266,29.5529741376939,28.0074940375567,26.6252422372871,29.465905366423,0,0,0
100,30,7200.73333333333,6861.6,7532.6,6841.4,6423.9,7256.56666666667,1582.5,1572.23333333333,1593.06666666667,1585.93333333333,1571.03333333333,1600.26666666667,0,0,0,0,0,0,0,0,0,16.6353789915146,15.4139651764055,17.836713701854,15.8307667576976,14.5740202549346,17.1681392618714,0,0,0
110,30,3706.2,3515.46666666667,3873.3,3697.1,3471.7,3930.73333333333,1648.03333333333,1636.5,1659.1,1662.66666666667,1653.26666666667,1670.96666666667,0,0,0,0,0,0,0,0,0,4.16722756157375,3.34986624324516,5.01285638650802,4.90754289650946,3.81775367735465,6.08059989543276,0,0,0
120,30,3017.03333333333,2872.76666666667,3152.6,2798.3,2683.63333333333,2910.46666666667,1655.9,1646.5,1665.96666666667,1650.73333333333,1642.86666666667,1659.43333333333,0,0,0,0,0,0,0,0,0,0.523242461939407,-0.475677156195322,1.49040845540591,-0.687566005817024,-1.57593813338972,0.139161871325376,0,0,0
130,30,2765.9,2625,2904.76666666667,2861.5,2731.53333333333,2992.73333333333,1653,1643.8,1662.36666666667,1646.66666666667,1636.1,1655.93333333333,0,0,0,0,0,0,0,0,0,-0.153443372967689,-0.82378375951079,0.618597721499784,-0.217534644469998,-1.14144369969859,0.641438076579851,0,0,0
140,30,2879.73333333333,2784.1,2986.03333333333,2990.83333333333,2847.63333333333,3144.86666666667,1653.13333333333,1644.06666666667,1661.7,1654.46666666667,1645.76666666667,1662.53333333333,0,0,0,0,0,0,0,0,0,0.0397603907582266,-0.898821058394647,0.908818916239351,0.497731705499793,-0.250704136031423,1.19175666560583,0,0,0
150,30,2880.93333333333,2747.36666666667,3023.3,2937.96666666667,2811.03333333333,3069.7,1646.43333333333,1637.56666666667,1655.13333333333,1645.2,1637.2,1653.8,0,0,0,0,0,0,0,0,0,-0.384267281132316,-1.08486933912339,0.332364280210035,-0.531596202318315,-1.34701966775875,0.276570561736002,0,0,0
160,30,2875.43333333333,2761.23333333333,2975.33333333333,2945.9,2810.76666666667,3087.06666666667,1654.46666666667,1646.73333333333,1661.76666666667,1640.66666666667,1632.93333333333,1647.6,0,0,0,0,0,0,0,0,0,0.522143804298433,-0.32990979964357,1.4071426136747,-0.250470099530806,-0.996287511806141,0.537475343558376,0,0,0
170,30,2807.13333333333,2700.9,2920.36666666667,3037.96666666667,2952.9,3122.53333333333,1643.4,1633.93333333333,1654.1,1646.63333333333,1636.73333333333,1657.23333333333,0,0,0,0,0,0,0,0,0,-0.646746891122849,-1.55511206612216,0.159471983498318,0.380653650142556,-0.42608443324855,1.18034528955016,0,0,0
180,30,2875.8,2750.63333333333,3010.86666666667,2863.63333333333,2742.4,2984.03333333333,1645.26666666667,1635.93333333333,1654.53333333333,1651.86666666667,1644.06666666667,1658.43333333333,0,0,0,0,0,0,0,0,0,0.154200625298161,-0.910919461576784,1.15585107513886,0.356689339392954,-0.600828163607618,1.23369350012504,0,0,0
190,30,3030.43333333333,2903.06666666667,3134.56666666667,2888.36666666667,2774.9,3008.93333333333,1649.3,1639.33333333333,1658.23333333333,1656.16666666667,1645.9,1665.86666666667,0,0,0,0,0,0,0,0,0,0.275669323282097,-0.637488020812082,1.1366434972703,0.278459972688647,-0.500953659090618,1.03632772469243,0,0,0
200,30,2826.43333333333,2686.06666666667,2951.6,2858.16666666667,2723.83333333333,2993.5,1644.33333333333,1632.96666666667,1656.13333333333,1644.3,1636.46666666667,1651.33333333333,0,0,0,0,0,0,0,0,0,-0.26904759184447,-1.3580037486506,0.686574741406904,-0.68596512173216,-1.529449442902,0.10027003966307,0,0,0
210,30,3852.23333333333,3628.63333333333,4044.7,3811.26666666667,3679.13333333333,3959.4,1505.6,1494.96666666667,1516.6,1500.36666666667,1490.3,1511.46666666667,19.4666666666667,18.4666666666667,20.5333333333333,19.8333333333333,18.5333333333333,21.1,99.3333333333333,97.3,101.366666666667,-8.39107557656793,-9.51863107574535,-7.39235647682472,-8.73204294741609,-9.55388267281737,-7.82817140947834,0,0,0
220,30,5564.46666666667,5385.1,5754.4,5563.13333333333,5353.8,5746.9,1468.4,1457.43333333333,1479.16666666667,1458,1447.33333333333,1468.93333333333,18.1333333333333,16.8333333333333,19.3333333333333,16.8,15.6,18,119.933333333333,116.433333333333,123,-2.43881036671733,-3.43332758953437,-1.50415994611231,-2.78682128898615,-3.71815310826095,-1.86512189561864,20.8842324495427,17.9812987109929,23.7182627239177
230,30,6582,6302.83333333333,6850.8,6396.53333333333,6166.56666666667,6620.7,1411.8,1403.4,1419.6,1436.73333333333,1425.8,1448.7,20.9,19.3666666666667,22.4333333333333,19.5,18.1666666666667,20.7666666666667,143.133333333333,139.666666666667,146.266666666667,-3.8164127934625,-4.56773100729117,-3.02433354580063,-1.4376339638957,-2.19625779353199,-0.601819476247713,19.6585596713795,17.0518092514217,22.1995963447434
240,30,7727.23333333333,7490,7953.96666666667,7206.53333333333,6987.06666666667,7415.13333333333,1372.96666666667,1363.33333333333,1382.6,1392.86666666667,1383.03333333333,1402.5,22,20.6333333333333,23.5,23.1333333333333,21.8333333333333,24.4666666666667,163.733333333333,159.8,167.266666666667,-2.74538111344574,-3.30894814363842,-2.25928035673369,-3.01047386644369,-3.96724219812373,-2.09339092257339,14.5658910901663,12.3097622851284,16.7986267150746
250,30,8661.73333333333,8422.3,8883.8,8320.73333333333,8045.06666666667,8563.43333333333,1331.56666666667,1319.66666666667,1342.93333333333,1331.4,1316.83333333333,1345.26666666667,25.1666666666667,23.6666666666667,26.6,25.5666666666667,23.5333333333333,27.6333333333333,181.833333333333,177.333333333333,186.7,-2.98903045531077,-3.89341347500615,-1.98263007687571,-4.39272625072105,-5.37913055352203,-3.40139213748629,11.2160064614981,8.77054453594139,13.6862998780228
260,30,9791.83333333333,9462.46666666667,10104.0333333333,10073.2333333333,9694.9,10429.5666666667,1286.3,1270.4,1302.1,1277.73333333333,1263.23333333333,1293.43333333333,27.0666666666667,25.0333333333333,28.8666666666667,25.9,23.8,27.9666666666667,192.4,187.466666666667,197.2,-3.37373217938746,-4.49838167362944,-2.32754845660242,-4.00152353596989,-4.948849403742,-2.98333859657852,6.13999901713271,3.09033318792603,8.96567734416264
270,30,11194.8666666667,10722.9,11613.6333333333,11581.7,11127.8,12047.6333333333,1247.63333333333,1229.03333333333,1265.86666666667,1233.83333333333,1213.46666666667,1253.4,26.2666666666667,24.5,28.1,27.4,25.8333333333333,28.8333333333333,194.533333333333,189.666666666667,199.233333333333,-2.98565935604464,-4.04073165028531,-1.92768982594091,-3.41104067301819,-4.73083149275315,-2.06378407534774,1.173114000535,-0.178807537847294,2.59466574719372
280,30,12173.1666666667,11591.2333333333,12729.3,12698.9666666667,12042.4333333333,13340.6333333333,1219.2,1199.93333333333,1239.86666666667,1201.06666666667,1180.06666666667,1221.2,26.7666666666667,25.2,28.7,27.2333333333333,25.5333333333333,29.1333333333333,193.433333333333,188.233333333333,198.933333333333,-2.2678543293869,-3.2595914579309,-1.36023686984498,-2.63401128503526,-3.60638348006477,-1.64321796152926,-0.294833214242333,-3.15560321835109,2.69899688474404
290,30,12974.2333333333,12343.4,13561.9666666667,13546.6666666667,12850.3333333333,14231.3666666667,1200.5,1181.8,1219.13333333333,1186.26666666667,1167.36666666667,1204.1,25.8333333333333,24.2666666666667,27.2333333333333,26.2333333333333,24.7,27.8,186.8,180.433333333333,193,-1.48800739567296,-2.47821395544274,-0.652876581643604,-1.16688345773647,-2.21640126577765,-0.0985630514834094,-3.12685411431277,-6.53309884762884,0.0800531836137359
300,30,13329.4,12783.8666666667,13844.1666666667,13848.6,13252.7,14484.0666666667,1190.8,1174.9,1204.2,1186.9,1165.73333333333,1207.5,23.9666666666667,22.5,25.4333333333333,24.4,22.6333333333333,26.2,175.8,170.333333333333,181.4,-0.734270996041113,-1.80973342901199,0.366023241862443,0.114370958587865,-1.1207669007332,1.35376792683949,-5.62629347828343,-7.99484816822593,-3.11699595168667
310,30,13465.3333333333,12963.4333333333,13963.2333333333,13617.6666666667,12984.3,14289.4333333333,1199.6,1181.86666666667,1216.73333333333,1204.36666666667,1188.73333333333,1220.06666666667,23.3,21.7333333333333,24.6333333333333,23.1333333333333,21.4666666666667,24.7,169.333333333333,164.5,173.833333333333,0.771576060138101,-0.428756250793404,1.93759179672997,1.55596403412099,0.343521168728553,2.66374013440858,-3.37173509643376,-5.80827205508982,-1.09907199181513
320,30,13289.5333333333,12676.2333333333,13915.6333333333,13092.1,12646.3,13569.1666666667,1217.16666666667,1197.2,1237.46666666667,1214.6,1197.86666666667,1231.63333333333,22.9,21.1,24.5333333333333,23.4,21.3666666666667,25.4,162.733333333333,157.966666666667,167.233333333333,1.4970160248572,0.313243343971709,2.56439978259988,0.887429084052099,-0.162879892143084,1.89561205296884,-3.71396811049272,-6.14231215294722,-1.57274362952318
330,30,12586.3666666667,12030.8666666667,13199.7333333333,12704.7333333333,12155.8333333333,13218.7333333333,1236.86666666667,1223.63333333333,1249.4,1225.7,1208.76666666667,1242.83333333333,23.8333333333333,21.6333333333333,26,22.2333333333333,20.5333333333333,24,157.5,151.133333333333,163.733333333333,1.72550940225394,0.620161269361765,2.81194032627171,0.949100829972739,0.0200080325243156,1.94193544513751,-3.10720816361599,-6.02719011881791,0.051540829193854
340,30,12096.1,11693.2,12476.7333333333,12353.7333333333,11855.8666666667,12898.5333333333,1269.06666666667,1249.16666666667,1290.1,1249.26666666667,1233.26666666667,1265.7,22.4666666666667,20.7,24.2333333333333,23.7333333333333,21.7666666666667,25.9333333333333,162.5,156.666666666667,168.166666666667,2.63408031075358,1.22908941818375,3.99623377269033,1.99364788045523,0.734401985075309,3.26869501376584,3.46781075301381,1.01973495294505,6.09039359038581
350,30,11172.5333333333,10625.6333333333,11686.9,11877.5333333333,11346.9666666667,12442.9666666667,1268.13333333333,1250.16666666667,1286.3,1264.83333333333,1244.3,1285.2,21.6,19.9,23.1666666666667,24.3666666666667,22.8,25.8333333333333,165.8,161.1,170.2,-0.0221818527632203,-1.15281757227025,1.07352669642358,1.27429939156207,-0.00722893455762658,2.3825170307929,2.61241228349959,-0.189550095749706,5.4045753169258
360,30,11163.0666666667,10622.2666666667,11702.4333333333,11293.9333333333,10716.6,11923.3333333333,1280.76666666667,1263,1296.9,1264.26666666667,1244.06666666667,1281.76666666667,24.8666666666667,23.3333333333333,26.5666666666667,25.1,23.1,27.1666666666667,168.866666666667,164.366666666667,173.3,1.04758164982539,0.157208502362822,1.88873839554715,-0.0086819381263464,-0.874300608845014,0.865846490099137,2.11796472852306,-0.387938261247069,4.61300080924318
370,30,11062.4,10646.9333333333,11491.4,11378.8,10874.3,11899.3666666667,1266.8,1253.6,1279.63333333333,1266.43333333333,1251.16666666667,1279.93333333333,25.4666666666667,23.8333333333333,27.1333333333333,23.6,21.8333333333333,25.2333333333333,170.9,166.166666666667,175.8,-1.03296812568115,-1.93203377664899,-0.190031648320851,0.262982576578061,-0.929438492282581,1.39497470464606,1.40834096194822,-0.998765931960327,3.73733196460996
380,30,11360.8,10929.2666666667,11760.8,11334.2,10906.8,11799.3,1258.76666666667,1242.76666666667,1272.6,1256.2,1238.63333333333,1272.5,22.8,21.3666666666667,24.1666666666667,24.9,23.1,26.6333333333333,176,170.4,181.566666666667,-0.598197384487415,-1.73187375861258,0.392554635710919,-0.775558256371804,-1.97585977098595,0.411598321474638,3.14880731191339,0.444187881812742,5.94248030184819
390,30,11736.5333333333,11321.7333333333,12171.5333333333,11753.0666666667,11285.1666666667,12201.8666666667,1237.3,1221.8,1252.86666666667,1241.6,1229.33333333333,1253.76666666667,24.7,22.9,26.7,25.1333333333333,23.3666666666667,26.7333333333333,179.733333333333,174.6,184.7,-1.6562303555237,-2.77561365762212,-0.578250927639793,-1.08227449932009,-2.16565859448786,0.084938108972533,2.46013770896616,-0.255356867437782,5.08528002708143
400,30,12279.8,11716.1,12779.0333333333,12175.9333333333,11778.7333333333,12590.5666666667,1230.13333333333,1210.13333333333,1247.33333333333,1235.83333333333,1218.16666666667,1253.3,24.7,23.0666666666667,26.2666666666667,26.1333333333333,24.6333333333333,27.7,177,170.133333333333,182.8,-0.553316453968393,-1.69952373757927,0.598421932170186,-0.454240847636378,-1.55755607828073,0.60459043654207,-1.4247706951977,-3.91508730681974,1.12901801987293
410,30,12401.7666666667,11868,13016.7333333333,12427.0666666667,11951.0333333333,12906.2666666667,1233.56666666667,1213.56666666667,1253.86666666667,1228.56666666667,1210.33333333333,1245.56666666667,23.9666666666667,22.1666666666667,25.6333333333333,23.2666666666667,21.7333333333333,24.8,174.033333333333,169.966666666667,178.233333333333,0.308133785777682,-0.828851813767673,1.38613569141594,-0.560892113647307,-1.44469249309814,0.390030966585967,-1.10574370396033,-3.68582406731563,1.82755052336452
420,30,12206,11531.9,12831.4333333333,12389.1666666667,11837.9,12981.7,1234,1212.83333333333,1254.26666666667,1231.66666666667,1213.83333333333,1249.1,25.4,23.5666666666667,27.2,23.8333333333333,22.5666666666667,25.0333333333333,171.833333333333,167.533333333333,175.533333333333,0.083067962990373,-1.04865023721109,1.14143895510754,0.286663946579508,-0.795182108788994,1.32061650275223,-1.02678573327699,-3.55900275675105,1.53148771405888
430,30,12385.9333333333,11895.5666666667,12963.0666666667,12319.7666666667,11798.6,12821.9333333333,1232.63333333333,1218.06666666667,1247.9,1229.16666666667,1211.06666666667,1246.83333333333,25,23.2,26.8333333333333,24.5666666666667,22.5333333333333,26.8333333333333,169.533333333333,164,175.166666666667,-0.0245080160809563,-1.02741191414147,0.984472642073692,-0.149456192672136,-1.12504534669531,0.806750962195789,-1.20926405740893,-4.27529736847777,1.78284319221949
440,30,12133.6,11679,12614.7333333333,12357.3333333333,11800.1,12871.3666666667,1245.5,1228,1260.13333333333,1253.63333333333,1237.1,1269.56666666667,24,22.3666666666667,25.5,22.5333333333333,20.8333333333333,24.2333333333333,168.8,162.266666666667,174.6,1.08190944151324,-0.0713597296118817,2.23762907088148,2.07173396241444,0.730389577746233,3.40486448243273,-0.305745982790181,-2.30936020855617,1.81257398642404
450,30,11974.7,11538.7333333333,12454.5,11700.9,11221.7666666667,12163.1666666667,1249.76666666667,1233.46666666667,1265.6,1252.43333333333,1234.6,1268.33333333333,25.0333333333333,23.8,26.3333333333333,24.8333333333333,23.3,26.3,170.333333333333,165.033333333333,175.133333333333,0.382949774231475,-0.650379287935021,1.25174472229962,-0.0418331528620555,-1.25196496620809,1.11948498488586,1.30346509983809,-1.27454494880808,3.89767778367324
460,30,11824.0666666667,11418.8666666667,12236.6333333333,11738.1,11235.9,12252.6,1244.7,1229.86666666667,1257.6,1248.43333333333,1231.03333333333,1267.2,24.8,22.9666666666667,26.4666666666667,23.7333333333333,22.0666666666667,25.5,170.8,165.733333333333,176,-0.341373471343251,-1.4379394437543,0.731825066765935,-0.275743297613998,-1.41676263801512,0.941999906842141,0.43059511684543,-1.67229394709371,2.75149558257762
470,30,12022.6,11607.0333333333,12469.4666666667,11812.6333333333,11254.0666666667,12373.7666666667,1246.46666666667,1229.46666666667,1262.73333333333,1250.43333333333,1235.93333333333,1264.66666666667,23.9,21.9666666666667,25.5666666666667,24.1,22.6333333333333,25.7,170.666666666667,165.7,175.466666666667,0.158341199442738,-0.808725160995249,1.15436282518056,0.251662755076645,-0.968243704097047,1.55798126964654,0.232809818439936,-2.39431651571807,2.79351829284825
480,30,11937.5,11437.6333333333,12462.7666666667,11860.2333333333,11359.2333333333,12357.9333333333,1247.03333333333,1230,1262.8,1249.2,1233.3,1265.2,23.7333333333333,22.3,25.2666666666667,24.2666666666667,22.6333333333333,25.9666666666667,172.666666666667,167.633333333333,178.233333333333,0.0963639253741693,-0.998889292419178,1.04258520629929,-0.071085160390753,-1.00454097738938,1.06700384099829,1.46302213397244,-1.35072469077129,4.18063907362419
490,30,11975.9,11501.4333333333,12494.8,11889.9666666667,11451.8333333333,12326.8666666667,1237.2,1219.13333333333,1255.46666666667,1249.26666666667,1230.63333333333,1266.66666666667,24.7666666666667,23.4666666666667,26.1666666666667,23.6666666666667,21.7666666666667,25.6333333333333,171.766666666667,167.566666666667,176.266666666667,-0.773516899747639,-1.82057065554253,0.237701055926669,0.0392621353564001,-1.05172103317033,1.1890468578844,-0.216204473605571,-2.6111418108383,1.82527204888346
500,30,12167.2,11514.2666666667,12762.9666666667,11836.8666666667,11261.6,12369.3333333333,1246.26666666667,1225.46666666667,1266.66666666667,1242.26666666667,1224.23333333333,1260.1,24.0666666666667,22.3333333333333,25.9,24.7,22.3333333333333,27.1666666666667,168.6,162.533333333333,174.333333333333,0.753183117424212,-0.270981670927808,1.72154035926061,-0.530038908048994,-1.53584973239561,0.434268290463845,-1.727289770574,-4.83193031186814,1.32046406831298
510,30,11849.2333333333,11261.8666666667,12458.1,12003,11505.4333333333,12484.8,1249.7,1228.76666666667,1271.7,1248.8,1228.16666666667,1268.6,23.6,21.9,25.5,23.9666666666667,22.2,25.7666666666667,168.6,162.066666666667,174.466666666667,0.336371200744036,-0.988635527995564,1.6844752143879,0.555484534956003,-0.484405590302645,1.56854661231593,0.202501533016201,-2.32783278963335,2.57917747549402
520,30,11850.6,11207.9666666667,12571.9666666667,11739.8,11217.3666666667,12314.0666666667,1257.36666666667,1236.4,1278.06666666667,1255.8,1235.86666666667,1274.56666666667,22.7666666666667,20.8666666666667,24.6666666666667,22.4333333333333,20.5666666666667,24.4666666666667,171.766666666667,167.366666666667,176.333333333333,0.662687380936245,-0.388774436115501,1.79296782680466,0.611018337469628,-0.415687812623194,1.72358439438281,2.33271995666143,0.187047915202529,4.72549455843043
530,30,11702.4,11146.7,12237.8666666667,11660.9,11085.8,12240.5333333333,1249.96666666667,1231.6,1269.3,1254.03333333333,1233.23333333333,1275.23333333333,24.5666666666667,22.9666666666667,26.3,23,20.8666666666667,24.9666666666667,171.9,166,177.366666666667,-0.492227233454519,-1.81959672819096,0.885225176340211,-0.0995293432502196,-1.17998247482288,1.03649416398549,0.299085694790295,-2.51372079306923,3.20014784745435
540,30,11843.0333333333,11209.5666666667,12436.6333333333,11561.3,11003.4666666667,12081.7,1250.06666666667,1230.3,1268.43333333333,1255.46666666667,1236.4,1273.66666666667,23.4,21.3666666666667,25.6333333333333,26.1,24.4,27.9666666666667,173.333333333333,166.633333333333,180.466666666667,0.0542201126346734,-1.10053466562084,1.18103580727051,0.200045572646379,-1.14274505044266,1.50400391498743,0.906977848408726,-1.14254822001803,2.92966901933292
550,30,12005.0333333333,11395.4666666667,12565,11706.2333333333,11185.7,12217.6333333333,1244.93333333333,1225.96666666667,1264.23333333333,1248.96666666667,1232.03333333333,1267.53333333333,23.9666666666667,22.2333333333333,25.7333333333333,25.2,23.5,26.8333333333333,170.5,164.733333333333,176.166666666667,-0.374980411636122,-1.36370675718951,0.603317127124154,-0.470438425148561,-1.38525834562086,0.466925242306629,-1.34014629813895,-3.7255449676863,0.865481832004645
560,30,11875.2,11281.7666666667,12441.1333333333,11926.3666666667,11476.8333333333,12359.8666666667,1253.8,1233.03333333333,1273,1241.43333333333,1225.5,1258.93333333333,25.0666666666667,23.5,26.7,21.9333333333333,20.3,23.4666666666667,168.666666666667,162.5,175.066666666667,0.724568762299793,-0.197631291783581,1.56995007080336,-0.552682572123558,-1.6809428012469,0.606256235771527,-0.837423098564259,-3.71353953272181,1.92339265658726
570,30,11727.3666666667,11148.1666666667,12266.6666666667,12056.2333333333,11570.1666666667,12570.4333333333,1253.6,1233.26666666667,1274.2,1244.73333333333,1228.66666666667,1261,23.7666666666667,22.1,25.6,24.1,22.3333333333333,26.0333333333333,169.6,164.333333333333,175.333333333333,0.0488597884789006,-1.16821241079858,1.21482388074785,0.300740289510468,-0.708032504234404,1.24537788679215,0.90747221298599,-1.44303471192033,3.66699899788868
580,30,11696.1333333333,11183.7666666667,12220.8333333333,11876.6333333333,11327.2333333333,12436.1333333333,1243.93333333333,1223.63333333333,1261.6,1248,1227.86666666667,1269.16666666667,24.6333333333333,23.5333333333333,25.8,23.9,22.2,25.4,171.5,167.033333333333,175.4,-0.728594766191668,-1.77189599728227,0.176768867565059,0.281502000401258,-0.80446150139937,1.33916073346841,1.64367018099834,-1.20354182802784,4.09822537244138
590,30,11964.7,11431.6666666667,12571.6666666667,11902.5,11297.3666666667,12513.4333333333,1244.13333333333,1228.5,1262.33333333333,1249.7,1234.03333333333,1264.63333333333,23.1333333333333,21.7333333333333,24.5,25.5333333333333,24,27.0333333333333,173.033333333333,168.233333333333,177.666666666667,0.0748142711724128,-1.10826968881754,1.30947905739328,0.235736179746794,-0.972582524934284,1.4681221806766,1.05356060587815,-1.3477654406783,3.51388935684585
600,30,12043,11541.5,12500.5333333333,11726.0333333333,11312.6333333333,12197.8666666667,1242.46666666667,1225.03333333333,1259.7,1249.8,1234.66666666667,1265.33333333333,25.5666666666667,23.6666666666667,27.5333333333333,24.2666666666667,22.6333333333333,25.9,174.5,168.166666666667,181.166666666667,-0.0722406919480723,-1.37882169357618,1.18667781505289,0.0600686325330282,-1.03856155302353,1.28006997134176,0.964481710127278,-2.41119810105019,4.19679736524796
610,30,11984.0333333333,11447.5666666667,12537.9333333333,11883.2666666667,11409.3333333333,12375.0333333333,1236.6,1220.1,1253.76666666667,1241.4,1223.56666666667,1257.4,24,22.5333333333333,25.4333333333333,24.2,22.7,25.7333333333333,173.5,167.3,179.733333333333,-0.408045507840888,-1.76247183248184,0.760323202632491,-0.618859060690511,-1.83268435240026,0.708296156409328,-0.263369313501074,-2.52772900066785,1.98228466083929
620,30,12291.4333333333,11756.1666666667,12782.1333333333,12025.8333333333,11447,12600.2666666667,1234.1,1214.8,1254.5,1243.7,1218.83333333333,1268.33333333333,24.4,22.9333333333333,25.8333333333333,23.5666666666667,21.7,25.3,168.9,163.033333333333,174.033333333333,-0.169573807573457,-1.4355374919134,0.878404588719161,0.162043885200775,-1.04376622195499,1.33983707071332,-2.43303970844277,-4.71267119920572,-0.0954125738179114
630,30,12236.0333333333,11683.8666666667,12894.8,12023.5666666667,11243.6333333333,12809.3,1247,1229.63333333333,1265.8,1247.2,1228.4,1266.73333333333,21.7666666666667,20.5666666666667,22.9666666666667,25,23.7,26.4,166.2,161.133333333333,170.966666666667,1.09694394470959,0.159740799905942,1.89975132691489,0.388325179435564,-0.821681648369459,1.56974257546133,-1.07563678893074,-4.01175334760743,2.17378366559811
