timeStep,repNb,resource1amountMean,resource1amountICinf,resource1amountICsup,resource2amountMean,resource2amountICinf,resource2amountICsup,prey1PopulationSizeMean,prey1PopulationSizeICinf,prey1PopulationSizeICsup,prey2PopulationSizeMean,prey2PopulationSizeICinf,prey2PopulationSizeICsup,prey1catchesMean,prey1catchesICinf,prey1catchesICsup,prey2catchesMean,prey2catchesICinf,prey2catchesICsup,predator1PopulationSizeMean,predator1PopulationSizeICinf,predator1PopulationSizeICsup,prey1growthRateMean,prey1growthRateICinf,prey1growthRateICsup,prey2growthRateMean,prey2growthRateICinf,prey2growthRateICsup,predatorGrowthRateMean,predatorGrowthRateICinf,predatorGrowthRateICsup
0,30,62500,62500,62500,62500,62500,62500,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,57510.8,57478.5,57540.2,57480.63333,57446.03333,57517.2,98.23333333,97.23333333,99.23333333,99.33333333,97.63333333,100.9333333,0,0,0,0,0,0,0,0,0,-1.766666667,-2.766666667,-0.833333333,-0.666666667,-2.3,1.133333333,0,0,0
20,30,57580.06667,57516.43333,57639.36667,57551.46667,57443.73333,57648.73333,140.3666667,137.3,143.3333333,141.2,138.8,143.6666667,0,0,0,0,0,0,0,0,0,42.94542059,39.78536166,45.9201731,42.33683698,39.71335795,45.03713596,0,0,0
30,30,55480.43333,55325.96667,55624.83333,55398.53333,55264.23333,55525.3,196.1,192.1,200.2,199.1666667,195.7666667,202.5,0,0,0,0,0,0,0,0,0,39.93941484,36.94534008,42.94813991,41.2598488,38.70117161,43.97902159,0,0,0
40,30,52664.33333,52429.76667,52900.7,52603.13333,52418.6,52779.5,273.7333333,267.2,280.5333333,279.2666667,273.9666667,285.1,0,0,0,0,0,0,0,0,0,39.68801234,37.48860336,42.05285851,40.35069477,37.80120599,43.15912874,0,0,0
50,30,48759,48432.73333,49060.36667,48538.86667,48261.7,48829.33333,388.9,380.3,397.3666667,393.7,386.9,399.7666667,0,0,0,0,0,0,0,0,0,42.2258103,40.10995466,44.18192834,41.12318151,39.65729994,42.59400789,0,0,0
60,30,43053.33333,42624.16667,43487.26667,42864.16667,42510.36667,43204.56667,545.9,532.9666667,557.9,557.4666667,546.6333333,568.1,0,0,0,0,0,0,0,0,0,40.44878296,38.84205899,42.1490785,41.62093635,40.10545462,43.12256616,0,0,0
70,30,35408.23333,34755.93333,36031.2,34854.43333,34295.06667,35420.9,767.9333333,751.1333333,784.2,775.5,758.9,791.3,0,0,0,0,0,0,0,0,0,40.78303348,39.07798142,42.46057227,39.10525146,37.82139564,40.37470974,0,0,0
80,30,25336.46667,24713.56667,26009.4,24983.5,24288.23333,25697.43333,1050.966667,1031.933333,1069.633333,1064.366667,1042.9,1084.2,0,0,0,0,0,0,0,0,0,36.94962444,35.86678133,37.9045721,37.33403729,36.0943173,38.49094716,0,0,0
90,30,14829.43333,14192,15445.53333,14544.06667,13823.46667,15327.46667,1361.466667,1346.233333,1377.366667,1368.566667,1350.466667,1386.066667,0,0,0,0,0,0,0,0,0,29.69943207,28.37801597,30.95953482,28.72826751,27.65212847,29.88390384,0,0,0
