timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,62500,62500,100,100,0,0,0
10,57454,57568,101,99,0,0,0
20,57412,57491,148,147,0,0,0
30,54931,55143,205,211,0,0,0
40,52617,52298,300,292,0,0,0
50,47472,48034,421,405,0,0,0
60,41953,42548,577,596,0,0,0
70,33596,33126,810,830,0,0,0
80,23163,22756,1117,1099,0,0,0
90,12214,13708,1450,1370,0,0,0
100,5193,6924,1607,1613,0,0,0
110,3859,3349,1668,1651,0,0,0
120,3274,3217,1623,1666,0,0,0
130,3364,2778,1651,1641,0,0,0
140,3368,3036,1653,1588,0,0,0
150,2919,3476,1613,1671,0,0,0
160,2616,3053,1656,1661,0,0,0
170,2500,2560,1712,1670,0,0,0
180,2034,2717,1640,1674,0,0,0
190,2628,3003,1639,1617,0,0,0
200,2892,3325,1654,1599,0,0,0
210,3099,6910,1545,1263,10,53,185
220,5418,18294,1391,791,19,55,305
230,10090,39544,1220,267,40,30,387
240,16224,56269,923,35,35,11,271
250,24873,61607,792,6,29,0,114
260,26748,62252,897,5,13,1,31
270,21052,62301,1200,5,2,0,15
280,10984,62192,1389,7,5,0,8
290,6996,62106,1588,10,2,0,5
300,3515,62090,1638,17,1,0,6
310,2912,61731,1617,17,1,0,4
320,2839,61618,1669,23,1,0,6
330,3251,61361,1614,31,2,0,5
340,3379,60998,1686,46,1,1,4
350,2475,60214,1643,66,0,0,5
360,2787,59293,1636,86,1,0,4
370,2672,58426,1650,129,1,0,3
380,2306,56218,1705,171,0,0,3
390,2728,54076,1644,243,0,0,3
400,3691,50474,1624,316,2,0,5
410,3399,46976,1613,440,2,1,4
420,3783,40502,1606,603,1,0,6
430,3517,33584,1639,801,1,2,10
440,2913,24655,1639,1023,2,5,13
450,3258,17108,1581,1318,1,4,23
460,3469,9735,1654,1375,4,7,48
470,3596,8592,1559,1357,10,16,90
480,4557,11977,1536,1217,14,26,149
490,5463,18210,1465,868,22,30,245
500,8016,34251,1271,399,31,41,358
510,14448,52749,1053,62,51,18,293
520,20661,60923,892,16,28,0,128
530,23181,61919,1017,10,16,0,29
540,15927,62018,1220,14,6,0,11
550,10249,61827,1462,17,0,0,3
560,5680,61552,1637,24,2,0,3
570,3330,61298,1679,32,1,0,5
580,2375,60917,1624,46,1,0,4
590,3302,60243,1636,60,3,0,6
600,2691,59564,1663,85,1,0,6
610,2532,58361,1642,109,1,0,4
620,3358,57143,1653,148,0,1,2
630,2912,55167,1637,220,0,0,2
640,3037,51474,1634,304,0,1,4
650,2781,47349,1684,416,1,1,4
660,2588,42071,1611,579,0,2,7
670,2848,33720,1689,787,1,1,7
680,2478,24916,1609,1058,1,1,14
690,2906,15621,1637,1315,2,6,24
700,2786,8870,1684,1423,3,10,40
710,2311,6714,1598,1460,5,13,70
720,3844,7174,1530,1365,8,21,143
730,4927,12615,1505,1062,18,42,245
740,6617,27552,1295,540,32,43,381
750,14400,48553,1025,119,37,18,372
760,22091,59808,814,18,35,2,180
770,27000,61925,842,8,21,1,60
780,23231,62161,1066,11,12,0,20
790,14742,61992,1346,11,3,0,7
800,8040,61928,1541,22,1,0,6
810,4765,61381,1615,23,1,0,3
820,3262,61403,1596,29,1,0,2
830,3744,61073,1658,43,1,0,2
840,3462,60269,1637,68,0,0,1
850,3228,59102,1611,102,0,0,1
860,3045,57523,1654,128,0,0,1
870,2856,56085,1631,176,1,0,1
880,3297,53737,1651,259,0,0,1
890,2688,49352,1608,362,0,0,0
900,2682,44519,1683,524,0,0,0
910,2449,36407,1666,724,0,0,0
920,2970,27038,1681,1064,0,0,0
930,2309,14587,1602,1404,0,0,0
940,3167,6272,1650,1525,0,0,0
950,2732,4093,1646,1671,0,0,0
960,2739,2651,1719,1659,0,0,0
970,2440,2621,1627,1672,0,0,0
980,3078,2505,1615,1679,0,0,0
990,3430,2579,1677,1626,0,0,0
1000,2853,3124,1642,1613,0,0,0
