"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,62500,62500,100,100,0,0,0,0,0,0
1,10,57429,57392,92,101,0,0,0,-8,1,0
1,20,57782,57478,141,146,0,0,0,53.2608695652174,44.5544554455446,0
1,30,55383,54984,201,198,0,0,0,42.5531914893617,35.6164383561644,0
1,40,52237,52644,275,301,0,0,0,36.81592039801,52.020202020202,0
1,50,48685,47440,395,414,0,0,0,43.6363636363636,37.5415282392027,0
1,60,42934,41615,565,573,0,0,0,43.0379746835443,38.4057971014493,0
1,70,34870,34254,769,830,0,0,0,36.1061946902655,44.8516579406632,0
1,80,25072,23142,1093,1109,0,0,0,42.1326397919376,33.6144578313253,0
1,90,14032,13307,1375,1386,0,0,0,25.80054894785,24.9774571686204,0
1,100,6533,6567,1570,1580,0,0,0,14.1818181818182,13.997113997114,0
1,110,3461,3042,1671,1703,0,0,0,6.43312101910828,7.78481012658228,0
1,120,2619,2352,1671,1691,0,0,0,0,-0.704638872577804,0
1,130,2447,2338,1651,1605,0,0,0,-1.19688809096349,-5.08574807806032,0
1,140,2704,2911,1599,1712,0,0,0,-3.1496062992126,6.66666666666667,0
1,150,3310,1834,1681,1624,0,0,0,5.12820512820513,-5.14018691588785,0
1,160,2021,2702,1661,1660,0,0,0,-1.18976799524093,2.21674876847291,0
1,170,2877,2915,1687,1673,0,0,0,1.56532209512342,0.783132530120482,0
1,180,3038,2419,1603,1645,0,0,0,-4.9792531120332,-1.67364016736402,0
1,190,3227,2504,1669,1632,0,0,0,4.11728009981285,-0.790273556231003,0
1,200,2700,3532,1675,1647,0,0,0,0.359496704613541,0.919117647058823,0
1,210,3035,6091,1524,1238,14,52,174,-9.01492537313433,-24.8330297510625,0
1,220,5568,18628,1401,824,27,43,298,-8.07086614173228,-33.4410339256866,71.2643678160919
1,230,9200,38169,1205,286,50,28,368,-13.9900071377587,-65.2912621359223,23.489932885906
1,240,16991,55047,945,63,38,10,246,-21.5767634854772,-77.972027972028,-33.1521739130435
1,250,22694,60659,900,22,26,4,108,-4.76190476190476,-65.0793650793651,-56.0975609756098
1,260,22169,61617,1076,20,9,0,41,19.5555555555556,-9.09090909090909,-62.037037037037
1,270,15272,61622,1227,23,7,1,19,14.0334572490706,15,-53.6585365853659
1,280,9814,61421,1518,31,6,0,7,23.7163814180929,34.7826086956522,-63.1578947368421
1,290,4964,61085,1599,34,3,0,4,5.33596837944664,9.67741935483871,-42.8571428571429
1,300,3260,60796,1622,56,0,0,3,1.43839899937461,64.7058823529412,-25
1,310,3335,59745,1660,72,1,0,2,2.34278668310728,28.5714285714286,-33.3333333333333
1,320,3293,58932,1670,112,0,0,1,0.602409638554217,55.5555555555556,-50
1,330,2570,56718,1631,155,0,0,0,-2.33532934131737,38.3928571428571,-100
