"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,24,62500,62500,62500,62500,62500,62500,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,24,57533.75,57484.7916666667,57586,50041.4166666667,49969.5416666667,50105.75,98.0833333333333,96.5833333333333,99.5833333333333,99.9583333333333,98.7916666666667,101,0,0,0,0,0,0,0,0,0,-1.91666666666667,-3.33333333333333,-0.416666666666667,-0.0416666666666667,-1.125,1.08333333333333,0,0,0
20,24,57614.3333333333,57531.2916666667,57698.625,50029.375,49899.7083333333,50168.0833333333,139.333333333333,135.291666666667,143.375,143.958333333333,140.5,147.25,0,0,0,0,0,0,0,0,0,41.9665118272264,38.7380780093898,44.9755365532423,44.0786766346008,40.714138633459,47.9379974161753,0,0,0
30,24,55562.7916666667,55368.4166666667,55767.4583333333,44572.25,44110.2916666667,45008.2083333333,195.75,190.541666666667,200.791666666667,207.166666666667,202.916666666667,211.583333333333,0,0,0,0,0,0,0,0,0,40.7124016469013,37.8311332170241,43.545929080458,44.0992107430116,41.5358843105922,46.4633161794465,0,0,0
40,24,52756.0416666667,52494.5416666667,53008.625,37379.6666666667,36860.8333333333,37935.25,273.166666666667,265.166666666667,280.75,279.041666666667,273.083333333333,285.333333333333,0,0,0,0,0,0,0,0,0,39.7208808029833,36.718037585275,42.9247752213695,34.8143436083127,32.3892696349646,37.1044568500953,0,0,0
50,24,48841.4166666667,48454.125,49249.2916666667,29524.7916666667,28818.4583333333,30176.2916666667,386.541666666667,375.916666666667,397.125,380.541666666667,372.416666666667,389.625,0,0,0,0,0,0,0,0,0,41.6780653673902,39.2565874610125,44.1754846182329,36.4491116019595,34.3131911484852,38.8204536113287,0,0,0
60,24,43142.75,42600.5416666667,43665.7916666667,20936.5,20126.125,21645,543.833333333333,528.333333333333,559,480.75,473.125,488.291666666667,0,0,0,0,0,0,0,0,0,40.7526939648478,39.0792490670838,42.6508499627722,26.5548924408902,24.5522054811895,28.4023821852942,0,0,0
70,24,35488.375,34721.7916666667,36257.4166666667,13833.6666666667,13327.9583333333,14285.125,765.458333333333,746.291666666667,786.416666666667,557.208333333333,550.666666666667,563.875,0,0,0,0,0,0,0,0,0,40.8462672852329,39.5047045214654,42.2953353430076,16.0150808488395,14.2737325927128,17.7606913946071,0,0,0
80,24,25376.2083333333,24512.1666666667,26317.4583333333,9932.83333333333,9582.375,10292.0416666667,1046.45833333333,1018.25,1071.79166666667,597.833333333333,590.375,606.166666666667,0,0,0,0,0,0,0,0,0,36.8022107445582,35.188551048361,38.3891553659328,7.36330360439236,5.72475584595414,8.9820546493338,0,0,0
90,24,15153.6666666667,14195.2916666667,16005.4583333333,8341.125,7956.83333333333,8716.41666666667,1351.625,1326.5,1376.625,611.25,604.75,617.708333333333,0,0,0,0,0,0,0,0,0,29.3255360889397,27.8896489457639,30.9549643257012,2.33275170971405,0.738448582798476,3.73921684195441,0,0,0
100,24,7434.20833333333,6946.04166666667,7939.75,7804.5,7502.95833333333,8089.83333333333,1564,1548.70833333333,1578.75,611.458333333333,604.5,618.416666666667,0,0,0,0,0,0,0,0,0,15.8670682024146,14.2322592991432,17.3059869299117,0.0966945257041068,-1.47104545475319,1.59624570794513,0,0,0
110,24,3903.04166666667,3646.95833333333,4160,7719.5,7363.91666666667,8056.66666666667,1654.625,1643.08333333333,1665.875,614.625,609.791666666667,619.583333333333,0,0,0,0,0,0,0,0,0,5.84385598843606,4.71679460403713,6.91086639262089,0.619484991138058,-1.04490382616478,2.14339697273988,0,0,0
120,24,2821.79166666667,2649.16666666667,2996.54166666667,7483.79166666667,7241.20833333333,7706.66666666667,1660.79166666667,1653.125,1668.79166666667,614.541666666667,609.041666666667,619.666666666667,0,0,0,0,0,0,0,0,0,0.39928102608722,-0.374908328224845,1.16165170634092,0.0247508604837431,-1.12843349336224,1.22932884898918,0,0,0
