"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,30,62500,62500,62500,62500,62500,62500,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,57506.2333333333,57474.4666666667,57539.7,57502.0666666667,57472.2,57533.2,99,98.1,99.8666666666667,99.5666666666667,98.0666666666667,101,0,0,0,0,0,0,0,0,0,-1,-1.8,-0.166666666666667,-0.433333333333333,-1.86666666666667,1.06666666666667,0,0,0
20,30,57534,57482.2666666667,57590.4333333333,57514.5666666667,57429.1333333333,57591.6,139.8,137.033333333333,142.333333333333,141.766666666667,138.5,145.066666666667,0,0,0,0,0,0,0,0,0,41.2807424533716,38.4396342429126,44.0927067122156,42.4572255253423,39.6041181475672,45.404715009973,0,0,0
30,30,55488.2333333333,55348.2333333333,55627.0666666667,55424.4666666667,55247.0666666667,55583.5333333333,199.066666666667,195,202.966666666667,199.233333333333,194.766666666667,203.5,0,0,0,0,0,0,0,0,0,42.4987051913585,40.2554723121268,44.5521830478012,40.675246237069,38.3716775124215,42.9743277710301,0,0,0
40,30,52539.7666666667,52360.3,52730.7666666667,52522,52275.8,52758.7,273.733333333333,269.566666666667,277.8,278.733333333333,271.5,285.666666666667,0,0,0,0,0,0,0,0,0,37.6766831475788,36.1741985164719,39.3636408355989,39.9344920735618,38.0222030516084,41.7965579889362,0,0,0
50,30,48804.3,48573.3666666667,49036.7333333333,48574.3,48207.9666666667,48937.2666666667,388.6,380.833333333333,396.166666666667,393.933333333333,383.333333333333,404.333333333333,0,0,0,0,0,0,0,0,0,41.954027890246,40.2684759507181,43.5610890123772,41.3926777182989,39.8828663597504,42.9553156698169,0,0,0
60,30,43185.4333333333,42798,43572.8,42816.0666666667,42279.4666666667,43339.2,550.2,539.3,560.066666666667,551.5,539.166666666667,564.866666666667,0,0,0,0,0,0,0,0,0,41.647214868264,40.3499608946565,43.0377939876912,40.1033167947612,38.4745014085817,41.6963100412923,0,0,0
70,30,35160.3,34650.0666666667,35693.2333333333,35115.6,34459.0333333333,35763.6666666667,769.333333333333,753.733333333333,783.2,770.666666666667,752.033333333333,790.3,0,0,0,0,0,0,0,0,0,39.8878380654762,38.4753343429085,41.1830722560369,39.7248770722538,38.5574522750121,40.9349089434302,0,0,0
80,30,25289.3,24627.4333333333,25922.7333333333,25133.7333333333,24274.2666666667,26026.6,1056.93333333333,1035.96666666667,1075.7,1060.16666666667,1035,1084.46666666667,0,0,0,0,0,0,0,0,0,37.4471518345379,36.1903546750854,38.8100804940931,37.7106185385013,36.3356998914879,38.9773888890039,0,0,0
90,30,14556.8666666667,13899.5666666667,15219.9666666667,14584.4,13810.6333333333,15333.0666666667,1372.93333333333,1351.16666666667,1392.36666666667,1368.56666666667,1341.73333333333,1393.7,0,0,0,0,0,0,0,0,0,29.9957478685626,28.8610223748565,31.1526190120586,29.2143944968905,27.8657679091232,30.4972169682091,0,0,0
100,30,6870.33333333333,6460.43333333333,7307.33333333333,7056.33333333333,6490.03333333333,7597.63333333333,1571.56666666667,1558.36666666667,1583.96666666667,1578.1,1561.9,1593.36666666667,0,0,0,0,0,0,0,0,0,14.5920167875947,13.2238516468359,15.8567943019069,15.5214113566393,13.9433133851062,17.0305547202695,0,0,0
110,30,3816.96666666667,3642.06666666667,3978.4,3771.76666666667,3542.13333333333,3978.6,1662.23333333333,1652.13333333333,1673.5,1654.43333333333,1645.9,1662.63333333333,0,0,0,0,0,0,0,0,0,5.82343291246918,4.80104197548448,6.88316688686759,4.91016005651998,3.67663873013671,6.05865196923943,0,0,0
120,30,2812.93333333333,2680.93333333333,2935.23333333333,2824.2,2688.36666666667,2955.83333333333,1662.43333333333,1653.86666666667,1671,1652.03333333333,1642.93333333333,1661.26666666667,0,0,0,0,0,0,0,0,0,0.0455647539018449,-0.788638641511093,0.882723474702063,-0.120723435455899,-0.90211335660896,0.639480845107727,0,0,0
130,30,2762.7,2653.23333333333,2876.8,2851.1,2728.6,2976.66666666667,1651.73333333333,1639.13333333333,1663.9,1654.16666666667,1644.56666666667,1663.43333333333,0,0,0,0,0,0,0,0,0,-0.626955054279633,-1.47867190971686,0.224777838729665,0.155477997831012,-0.697300576028636,0.970281679627421,0,0,0
140,30,2824.66666666667,2679.66666666667,2977.6,2833.33333333333,2715.86666666667,2961.83333333333,1644.4,1634.7,1653.5,1647.7,1639.5,1655.66666666667,0,0,0,0,0,0,0,0,0,-0.394495322078986,-1.39158857367081,0.560890268643663,-0.360683086957892,-1.10953800182916,0.483277990121026,0,0,0
150,30,2955.73333333333,2832.1,3069.6,2949.16666666667,2817.26666666667,3083.7,1649.5,1640.56666666667,1658.23333333333,1642.83333333333,1632.33333333333,1653.2,0,0,0,0,0,0,0,0,0,0.336498544934635,-0.447753571619653,1.10620742912855,-0.276615754357266,-1.06636918649859,0.536656877418142,0,0,0
160,30,2849.4,2733.3,2975.9,2869.06666666667,2733.06666666667,2997.86666666667,1650.33333333333,1641.83333333333,1658.53333333333,1651.76666666667,1641,1662.7,0,0,0,0,0,0,0,0,0,0.0754338345012989,-0.749372676347934,0.756296964275744,0.580636080148531,-0.420104916762419,1.56984091354266,0,0,0
170,30,2860.8,2729.33333333333,2984.56666666667,2934.7,2768.33333333333,3094.36666666667,1656.8,1647.3,1666.53333333333,1647.6,1637.36666666667,1658.16666666667,0,0,0,0,0,0,0,0,0,0.42531824278348,-0.51794662290507,1.41590849325012,-0.222784867652484,-1.04061735396097,0.666591495109836,0,0,0
180,30,2866.93333333333,2764.03333333333,2967.76666666667,2902.53333333333,2746.46666666667,3057.36666666667,1645.46666666667,1636.33333333333,1656.1,1647.46666666667,1635.9,1658.6,0,0,0,0,0,0,0,0,0,-0.649420694427119,-1.5906035999254,0.331968763188783,0.031261365115521,-0.950234753014103,0.980245654505054,0,0,0
190,30,2893.86666666667,2745.36666666667,3023.36666666667,2911.26666666667,2784.93333333333,3035.53333333333,1643.9,1636.86666666667,1650.66666666667,1656.2,1647.4,1665.56666666667,0,0,0,0,0,0,0,0,0,-0.0684763154339524,-0.786948034848353,0.659645457101489,0.567988530917957,-0.353866879897749,1.51158656824851,0,0,0
200,30,2968.4,2862.03333333333,3066.73333333333,2873.9,2721.96666666667,3020.96666666667,1653.56666666667,1642.4,1666.13333333333,1646.53333333333,1635.76666666667,1656.06666666667,0,0,0,0,0,0,0,0,0,0.607129532035103,-0.295170803897382,1.46400559413866,-0.566363639150587,-1.3121116471941,0.138382073308272,0,0,0
210,30,3683.53333333333,3526.66666666667,3840.4,3780.96666666667,3599.96666666667,3975.26666666667,1493.86666666667,1485.9,1501.43333333333,1497.4,1488.66666666667,1505.93333333333,19.0333333333333,17.6666666666667,20.5666666666667,19.3,18.0666666666667,20.5333333333333,91.3,89.1666666666667,93.3333333333333,-9.61565908484419,-10.4822346738616,-8.82320758065888,-9.03112556796124,-9.78478011369007,-8.23764580303476,0,0,0
220,30,5617.7,5456.03333333333,5780.23333333333,5491.6,5299.83333333333,5684.9,1481,1471.43333333333,1490.9,1473.16666666667,1462.96666666667,1482.13333333333,15.2666666666667,13.9666666666667,16.4,17.6333333333333,16.2666666666667,19.0666666666667,97.6333333333333,94.9,100.4,-0.845270686614152,-1.55392958614892,-0.11912302383648,-1.60607460107002,-2.26728027113691,-0.91359490868815,6.96107027381265,5.05703980032387,8.92500855967507
230,30,5860.7,5645.2,6084.43333333333,5980.63333333333,5788.46666666667,6166.8,1466.13333333333,1456.1,1475.93333333333,1473.16666666667,1464.5,1482.66666666667,16.4666666666667,15,18.0666666666667,15.2666666666667,13.8666666666667,16.6333333333333,107.833333333333,104.666666666667,110.7,-0.985583515392193,-1.70064926272185,-0.30097485604602,0.0328397320524241,-0.87824303391179,0.901307495483788,10.6625946700601,7.94886502717944,12.9957659367205
240,30,6237.83333333333,6049.26666666667,6410.43333333333,6169.1,5986.56666666667,6344,1447.93333333333,1438.9,1457.43333333333,1458.23333333333,1447.86666666667,1468.5,17.2666666666667,15.7333333333333,18.7666666666667,17,15.7,18.4666666666667,123.266666666667,119.666666666667,126.9,-1.20898271604715,-2.07256412878453,-0.278186688992875,-0.989560806676719,-1.83824356129652,-0.162664706775108,14.5431966994678,12.0153896127125,17.0799917202936
250,30,6729.46666666667,6530,6918.6,6485.8,6290.63333333333,6682.06666666667,1424.2,1414.76666666667,1434.53333333333,1426.6,1417.26666666667,1436.5,20,18.2666666666667,21.7666666666667,19.0666666666667,17.5,20.7333333333333,134.8,130.833333333333,138.833333333333,-1.62513788722447,-2.2908191311027,-1.0433087734845,-2.140396444727,-3.04186964592496,-1.34521947611599,9.42880280119878,7.72496424772811,11.3578590866234
260,30,7221.76666666667,6980.6,7452.13333333333,7300.06666666667,7044.43333333333,7566.93333333333,1406.06666666667,1393.4,1419.03333333333,1393.1,1379.83333333333,1405.36666666667,20.4333333333333,18.7666666666667,22.2,20.8333333333333,19.0666666666667,22.4666666666667,145.366666666667,142.033333333333,149.033333333333,-1.25620505653735,-2.14921115028924,-0.348786691153881,-2.34078817982134,-3.02000694734472,-1.66960927915634,8.14106496139754,5.88240917053398,10.2396149366795
270,30,7801,7469.06666666667,8155.16666666667,8049.83333333333,7746.23333333333,8354.13333333333,1371.36666666667,1356.7,1384.56666666667,1372.4,1357.16666666667,1387.53333333333,21.2333333333333,19.9333333333333,22.5,22.3333333333333,21,23.7,156.9,153.033333333333,160.8,-2.44591910172198,-3.20652528507484,-1.68740860210267,-1.46488881417139,-2.32369010245576,-0.535935588259707,8.06800791880612,6.20000181528017,10.0990635397916
280,30,8692.33333333333,8364,9049.33333333333,8679.46666666667,8300.4,9096.6,1335.23333333333,1320.13333333333,1349.5,1341.93333333333,1326.1,1356.46666666667,22.1,20.4,23.8333333333333,23.5333333333333,21.9,25.1,164.566666666667,160.366666666667,168.433333333333,-2.61084122758357,-3.47339258886513,-1.79793315809715,-2.19464431163043,-3.03737097587994,-1.25206763085939,5.00928303626661,3.39392165026697,6.67660141993648
290,30,9558.76666666667,9140.06666666667,9971.5,9431.86666666667,9008.26666666667,9813.16666666667,1314.33333333333,1299.6,1328.4,1323.56666666667,1305.43333333333,1341.33333333333,24.0666666666667,22.6666666666667,25.6,23.9,22.4666666666667,25.3,170.833333333333,167.2,173.966666666667,-1.5481153099762,-2.19592872075368,-0.908103632694674,-1.35315196245588,-2.37522941375705,-0.36474328177829,4.05030824989484,1.95514573916837,6.28102701582034
300,30,10219.6666666667,9828.53333333333,10609.1666666667,10059.6666666667,9619.8,10539.6,1291.9,1276.96666666667,1305.63333333333,1286.4,1272.23333333333,1300.46666666667,22.7,21,24.2333333333333,24.6666666666667,23.1666666666667,26.2,174.9,171.2,178.433333333333,-1.67522887689743,-2.59336838964814,-0.727556572190425,-2.7300448744407,-3.74868928698945,-1.4903309614459,2.47749539198313,0.918267294398121,4.01178487540235
