timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,62500,62500,100,100,0,0,0
10,57445,57375,100,97,0,0,0
20,57379,57613,148,142,0,0,0
30,55025,55542,208,212,0,0,0
40,52321,51592,272,277,0,0,0
50,48789,48568,396,415,0,0,0
60,42824,41655,561,563,0,0,0
70,34191,33968,774,806,0,0,0
80,24790,23267,1082,1128,0,0,0
90,14210,11868,1393,1424,0,0,0
100,6319,5727,1545,1617,0,0,0
110,4267,3293,1624,1685,0,0,0
120,2756,1981,1721,1666,0,0,0
130,2462,3309,1677,1601,0,0,0
140,2651,3626,1629,1633,0,0,0
150,3276,3253,1617,1633,0,0,0
160,3484,2901,1647,1659,0,0,0
170,2265,2959,1682,1615,0,0,0
180,2721,2427,1644,1663,0,0,0
190,3356,2306,1618,1648,0,0,0
200,2934,2554,1674,1671,0,0,0
210,3219,3293,1501,1525,31,20,103
220,5910,5495,1441,1446,19,27,116
230,6287,6710,1413,1455,19,12,115
240,7058,6259,1474,1483,16,13,132
250,6297,6430,1386,1425,20,17,149
260,8062,7275,1368,1324,17,24,161
270,8852,9877,1341,1334,23,26,169
280,10409,9439,1251,1264,24,23,174
290,11699,11334,1242,1243,21,22,176
300,10991,12282,1300,1222,23,20,176
310,10188,12350,1292,1263,32,20,169
320,11082,11518,1255,1244,30,26,173
330,11498,12143,1228,1253,19,25,184
340,12092,12472,1279,1226,14,23,173
350,11042,12183,1280,1246,25,24,181
360,11386,12661,1239,1194,22,19,167
370,12463,12740,1241,1278,23,25,145
380,11608,9986,1270,1328,25,19,139
390,10957,9321,1316,1303,18,21,143
400,10399,9702,1309,1348,21,19,149
410,9757,9259,1292,1363,21,21,146
420,9610,8694,1345,1341,16,25,156
430,8633,8988,1329,1381,33,20,151
440,9969,8239,1284,1345,23,17,157
450,10608,8939,1303,1336,30,24,166
460,9806,9220,1288,1331,27,26,168
470,10772,9589,1284,1268,30,31,170
480,11013,11080,1234,1298,26,30,175
490,12168,10513,1261,1261,26,16,172
500,12054,11456,1202,1275,21,23,181
510,12964,11073,1222,1263,23,23,185
520,12614,11468,1222,1264,29,26,181
530,12912,11600,1218,1225,22,30,182
540,12317,12180,1205,1213,31,24,165
550,12306,12883,1234,1201,21,26,166
560,11518,13072,1284,1262,23,20,159
570,11123,11078,1256,1272,31,20,153
580,10908,10788,1321,1299,20,23,146
590,9614,10129,1326,1299,16,18,143
600,9104,10496,1366,1372,22,25,150
610,9767,8696,1301,1303,24,26,164
620,10665,10932,1345,1333,25,21,166
630,10198,9297,1259,1274,24,27,173
640,11960,11723,1267,1270,18,26,167
650,11770,11962,1309,1253,30,23,178
660,10349,11892,1222,1243,27,23,164
670,12847,12651,1242,1215,16,22,175
680,12016,12928,1247,1227,22,21,176
690,12235,12305,1251,1202,25,26,181
700,10812,13046,1245,1237,22,26,164
710,11789,11903,1257,1235,24,24,152
720,11394,11734,1335,1257,22,20,151
730,9636,11802,1327,1277,20,22,154
740,9856,11410,1243,1249,23,24,158
750,11156,11586,1327,1267,25,19,158
760,9521,11172,1305,1308,24,18,160
770,10253,10397,1312,1313,24,24,175
780,10067,10387,1319,1277,25,27,168
790,10249,10719,1237,1274,23,16,176
800,12693,12110,1219,1239,28,26,171
810,13045,11200,1224,1249,20,29,169
820,13185,12176,1186,1289,27,27,173
830,13406,11482,1230,1236,27,25,166
840,11838,11487,1279,1263,18,28,160
850,10321,11346,1300,1288,29,23,156
860,10893,11098,1273,1283,26,20,167
870,10692,10592,1282,1247,28,22,151
880,11012,11244,1221,1264,26,15,142
890,11850,11263,1361,1277,10,24,139
900,8528,10979,1415,1342,22,18,144
910,7924,9055,1335,1329,16,22,163
920,10088,9959,1333,1346,26,22,176
930,10452,9349,1245,1289,21,25,186
940,12162,10738,1215,1265,27,19,180
950,12881,12167,1275,1242,34,15,182
960,11556,11695,1224,1254,35,28,164
970,12099,11926,1277,1274,17,28,170
980,10897,11388,1264,1285,24,28,177
990,11212,12064,1244,1194,22,25,173
1000,12892,13927,1197,1193,20,20,159
