timeStep,repNb,resource1amountMean,resource1amountICinf,resource1amountICsup,resource2amountMean,resource2amountICinf,resource2amountICsup,prey1PopulationSizeMean,prey1PopulationSizeICinf,prey1PopulationSizeICsup,prey2PopulationSizeMean,prey2PopulationSizeICinf,prey2PopulationSizeICsup,prey1catchesMean,prey1catchesICinf,prey1catchesICsup,prey2catchesMean,prey2catchesICinf,prey2catchesICsup,predator1PopulationSizeMean,predator1PopulationSizeICinf,predator1PopulationSizeICsup,prey1growthRateMean,prey1growthRateICinf,prey1growthRateICsup,prey2growthRateMean,prey2growthRateICinf,prey2growthRateICsup,predatorGrowthRateMean,predatorGrowthRateICinf,predatorGrowthRateICsup
0,30,62500,62500,62500,62500,62500,62500,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,57483.96667,57446.33333,57522.1,55007.66667,54955.53333,55060.43333,100.2,98.76666667,101.6,100.5333333,98.93333333,102.1,0,0,0,0,0,0,0,0,0,0.2,-1.233333333,1.533333333,0.533333333,-1.066666667,2.033333333,0,0,0
20,30,57481.76667,57383.23333,57570.13333,54972.6,54839.13333,55107.73333,143.0666667,139.6666667,146.2666667,149.3,146.2,152.3666667,0,0,0,0,0,0,0,0,0,42.81894144,39.91682125,45.95574416,48.66276885,45.4095767,52.06611206,0,0,0
30,30,55358.53333,55179,55529.4,51302.83333,51048.1,51551.1,201.9666667,196.3666667,207.5,211.4333333,206.6666667,216.0666667,0,0,0,0,0,0,0,0,0,41.26381327,38.56923231,43.7813634,41.75513701,39.70943079,43.83752255,0,0,0
40,30,52450.86667,52176.13333,52789.36667,46716.03333,46358.93333,47030.26667,283.9,276.1,291.8333333,301.5333333,294.3666667,308.0333333,0,0,0,0,0,0,0,0,0,40.66906256,38.5005944,42.84010481,42.73895775,40.3470198,45.15675478,0,0,0
50,30,48317.3,47936.03333,48765.8,39964,39456.83333,40439.13333,397.1333333,383.4333333,410.1333333,431.9,422.8,440.8,0,0,0,0,0,0,0,0,0,39.75326955,38.21508173,41.3119737,43.33425237,42.03348178,44.66107579,0,0,0
60,30,42728.23333,42100.53333,43429.03333,30978.33333,30411.83333,31544.1,558.9333333,540.9333333,575.2,608.2666667,596.0666667,620.2,0,0,0,0,0,0,0,0,0,40.85462966,39.61591758,42.16667233,40.90811645,39.36906723,42.4176546,0,0,0
70,30,34800.76667,33995.56667,35621.76667,20345.43333,19700.5,21049.96667,780.4,756.0666667,802.9,805.6,791.3666667,818.9,0,0,0,0,0,0,0,0,0,39.74019007,38.37699005,40.98492867,32.54324677,31.12134312,33.805182,0,0,0
80,30,24844.16667,23939.9,25923.53333,11548.73333,11002.6,12168.9,1062.266667,1031.866667,1089.633333,985.8,975.5,995.9333333,0,0,0,0,0,0,0,0,0,36.19474694,35.05915661,37.21356315,22.55927191,20.79383012,24.22016498,0,0,0
90,30,14565.6,13720.6,15588.7,6217.266667,5915.1,6552.033333,1367.5,1338.533333,1393.266667,1091.266667,1080.066667,1102.733333,0,0,0,0,0,0,0,0,0,29.00309795,27.64562631,30.42413772,10.7456488,9.66798383,11.87523984,0,0,0
100,30,7016.366667,6478.3,7574.033333,4264.866667,4036.4,4494.666667,1574.833333,1555.7,1590.166667,1098.1,1090.2,1105.7,0,0,0,0,0,0,0,0,0,15.38564716,13.61840867,16.97075738,0.704706112,-0.502787255,1.899223052,0,0,0
110,30,3855.933333,3632.266667,4130.6,4000,3804.166667,4165.133333,1653.566667,1643.533333,1663.9,1102.8,1094.533333,1110.5,0,0,0,0,0,0,0,0,0,5.097404216,3.876852323,6.523211495,0.476117915,-0.578381766,1.536790098,0,0,0
120,30,2954.866667,2825.1,3069.7,3950.633333,3790.333333,4104.8,1659.2,1647.733333,1669.9,1098.933333,1093.1,1104.666667,0,0,0,0,0,0,0,0,0,0.379016855,-0.635425786,1.433480562,-0.31322094,-1.102402016,0.496919168,0,0,0
130,30,2857.733333,2705.333333,2989.4,4063.733333,3894.766667,4242.4,1638.033333,1628.833333,1646.566667,1102.033333,1096.066667,1107.6,0,0,0,0,0,0,0,0,0,-1.236784009,-2.135053903,-0.38532017,0.29854192,-0.411404076,0.918776189,0,0,0
140,30,2914.366667,2789.1,3036.166667,3933.8,3780.933333,4078.2,1651.666667,1643.266667,1660.333333,1101,1094.966667,1106.8,0,0,0,0,0,0,0,0,0,0.851860758,0.103622126,1.536258706,-0.075305968,-0.767441542,0.637682459,0,0,0
150,30,2853.933333,2722.1,2996.433333,3938.2,3769.866667,4116.366667,1654.7,1646,1663.966667,1100.133333,1094.7,1106.233333,0,0,0,0,0,0,0,0,0,0.212229962,-0.67693565,1.032142467,-0.051319312,-0.929429285,0.806354857,0,0,0
160,30,2865.6,2728,3001.833333,3990.533333,3840.966667,4138.666667,1657.066667,1647.4,1665.6,1099.933333,1093.366667,1105.966667,0,0,0,0,0,0,0,0,0,0.165477247,-0.642420405,0.972001496,0.008720914,-0.813188541,0.897595777,0,0,0
170,30,2834.166667,2704.133333,2967.9,4100.033333,3943.966667,4251.166667,1642.733333,1632.733333,1652.8,1099.366667,1092.466667,1106.233333,0,0,0,0,0,0,0,0,0,-0.83856185,-1.662183809,-0.005706757,-0.015727119,-0.977608869,0.9860615,0,0,0
180,30,2876.933333,2746.466667,3014.833333,4045.766667,3907.166667,4182.566667,1651.1,1643.133333,1659.366667,1095.7,1089.033333,1102.633333,0,0,0,0,0,0,0,0,0,0.540328285,-0.206514991,1.397826038,-0.293760958,-1.329444242,0.649176714,0,0,0
190,30,2777.9,2641.066667,2925,4113.433333,3974.666667,4253.8,1655.966667,1646.2,1665.8,1092.466667,1086.2,1097.9,0,0,0,0,0,0,0,0,0,0.311933903,-0.437995819,1.064236544,-0.26342511,-1.027737903,0.583209109,0,0,0
200,30,2796.766667,2685.266667,2910.1,4203.4,4042.7,4363.766667,1641.933333,1632.633333,1651.1,1099.133333,1092.9,1105.3,0,0,0,0,0,0,0,0,0,-0.817966327,-1.654205438,-0.044639336,0.635592976,-0.186444633,1.432873949,0,0,0
210,30,3791.066667,3669.966667,3907.4,5006.566667,4834.9,5187.966667,1491.733333,1482.333333,1500.733333,991.6333333,983.3666667,999.7,20.83333333,19.16666667,22.33333333,13.56666667,12.46666667,14.76666667,82.06666667,79.16666667,84.93333333,-9.125614467,-9.856653634,-8.324773007,-9.764340683,-10.5099574,-8.939787493,0,0,0
220,30,5581.666667,5414.733333,5741.666667,6977.633333,6719.533333,7240,1490,1479.166667,1501.666667,978.1,969.9666667,986.3666667,15.7,14.4,17.26666667,11.13333333,10.2,12.1,83.23333333,80.43333333,85.96666667,-0.09065723,-0.972790949,0.830612453,-1.327979715,-2.259406879,-0.30914237,1.975367965,-1.768617876,5.812448168
230,30,5543.9,5332.333333,5737.033333,7311.566667,7104.333333,7529.333333,1486.466667,1475.666667,1497.033333,980.7333333,970.4,991.2333333,15.63333333,14.53333333,16.73333333,10.56666667,9.533333333,11.7,87.9,85.1,90.96666667,-0.200899635,-1.072159934,0.77770232,0.316348974,-1.141712136,1.779043876,5.945846133,2.759475139,8.883754808
240,30,5672.233333,5450.866667,5900.433333,7340.1,6991.633333,7644,1481.733333,1471.366667,1493.233333,975.7,965.7333333,986.6,15.56666667,14.26666667,16.96666667,10.26666667,9.233333333,11.36666667,89.53333333,86.5,92.76666667,-0.278517029,-1.36918241,0.755609572,-0.453597881,-1.680296185,0.737218285,2.274194049,-0.899441213,5.312644367
250,30,5786.1,5574.866667,6000,7448.233333,7143.866667,7810.3,1482.766667,1471.933333,1494.166667,975.5,966.6666667,984.4,16.5,15.23333333,17.73333333,11.1,10.13333333,12.13333333,93.33333333,89.93333333,96.56666667,0.094016798,-0.755080798,0.959132608,0.046231513,-1.151198134,1.211161876,4.438452659,1.627851977,7.251320426
260,30,5861.033333,5649.133333,6070.433333,7479.533333,7211.966667,7764.7,1458.6,1445.9,1472.3,972.8,963.7333333,980.8333333,16.4,14.63333333,18.1,11.63333333,10.7,12.46666667,99.43333333,95.46666667,103.6,-1.607981032,-2.502261269,-0.814533612,-0.226853492,-1.364488553,0.88240482,7.029355183,3.356790505,11.2060817
270,30,6324.333333,6067.933333,6582.1,7520.333333,7253.033333,7827.766667,1447.3,1435.833333,1458.733333,955.9666667,945.4333333,965.5333333,17.63333333,16.13333333,19.13333333,11.96666667,10.66666667,13.23333333,102.9,99,106.8,-0.747679816,-1.516952771,-0.042170653,-1.695878352,-2.721681096,-0.600087469,3.819288591,1.011991225,6.42330488
280,30,6589.7,6314.433333,6851.833333,8197.533333,7821,8522.8,1444.466667,1434.066667,1454.866667,947.7666667,939.1,956.5,18.03333333,16.96666667,19.13333333,11.16666667,10.16666667,12.3,103.1333333,98.56666667,107.5333333,-0.165591749,-1.073086127,0.606143332,-0.813172262,-1.787017265,0.119259054,0.423459528,-2.60209862,3.697647103
290,30,6601.633333,6351.333333,6880.3,8338.133333,7992.966667,8622.333333,1436.666667,1425.466667,1446.733333,950.1666667,938.3666667,962.8,19.36666667,17.76666667,21.03333333,11.13333333,10,12.26666667,102.3666667,97.96666667,106.5666667,-0.520349472,-1.240709874,0.149655627,0.292905461,-0.90067755,1.5380069,-0.486217967,-3.064298376,2.269828362
300,30,6799.333333,6523.533333,7088.033333,8222.4,7821.733333,8554.4,1447.9,1432.666667,1463.5,954.2333333,943.7666667,964.7333333,17.63333333,16.33333333,18.86666667,12.76666667,11.3,14.16666667,102.3333333,97.8,106.2333333,0.79692909,-0.241356189,1.861369162,0.478023635,-0.587471213,1.566746775,0.515916414,-2.77667581,3.931747369
310,30,6462.233333,6134.433333,6765.1,8046.933333,7690.566667,8372.4,1445.7,1431.9,1459.4,955.8,947.5,964.9666667,18.06666667,16.33333333,19.83333333,11.26666667,10.23333333,12.2,103.1,99.56666667,106.2333333,-0.111006854,-1.064983582,0.83135241,0.230657055,-0.844550661,1.370009783,1.590280168,-2.306692249,6.017469503
320,30,6633.166667,6322.333333,6938.333333,8120.333333,7826.666667,8443.066667,1441.633333,1428.933333,1453.033333,951.1333333,941.1333333,961,18.1,16.86666667,19.33333333,11.73333333,10.83333333,12.63333333,102.9333333,99.3,106.5,-0.247608377,-1.041988284,0.42054492,-0.434079309,-1.790244624,0.87196027,0.169446734,-3.220277312,3.332374393
330,30,6679.433333,6403.033333,6982.5,8150.533333,7811.1,8466.533333,1431.833333,1419.9,1443.733333,948.1666667,940.9333333,955.4666667,18.33333333,16.93333333,19.66666667,11.1,9.866666667,12.36666667,106.9,102.9666667,110.6333333,-0.645970445,-1.638300944,0.241103404,-0.247306412,-1.453981502,0.727681435,4.174321703,1.384098027,7.077621599
340,30,6942.433333,6706.166667,7184.333333,8374.466667,8081.733333,8719.6,1427.3,1415.1,1440.1,949,939.3333333,958.1666667,18.46666667,17.06666667,19.76666667,12.26666667,10.9,13.46666667,105.9333333,101.6333333,109.8333333,-0.273891037,-1.355878044,0.776741247,0.122354916,-1.064549991,1.207499964,-0.667086166,-3.709887358,2.168819096
350,30,6913.3,6650.266667,7190.266667,8265,7974.933333,8545.133333,1438.866667,1426.066667,1449.966667,949.2333333,941.2333333,959.5,19.33333333,17.76666667,20.8,12.73333333,11.33333333,14.06666667,104.8333333,101.1333333,108.0333333,0.847938002,-0.154363693,1.744695989,0.065374932,-0.849961588,1.082873281,-0.675481774,-3.053086554,1.612185102
360,30,6718.433333,6479.866667,6957.766667,8348.266667,8009.5,8656.1,1434.233333,1423.633333,1445.833333,949.4,938.9333333,958.6,18.1,16.6,19.53333333,12.93333333,11.7,14.23333333,109.4,106.1333333,112.5666667,-0.295835378,-1.021420883,0.502550551,0.063533072,-1.237381153,1.280993077,4.743450882,1.959447829,7.4488857
370,30,6851.033333,6594.2,7114.8,8381.166667,8108.033333,8688.433333,1433.166667,1419.8,1447.466667,940.1666667,932.9333333,947.1333333,19.43333333,17.83333333,21,12.73333333,11.36666667,14.16666667,109.0333333,105.2,113.2666667,-0.049685883,-0.975939122,0.877761771,-0.903307722,-1.985522667,0.185532453,-0.116540141,-2.929601371,2.944341497
380,30,6928.566667,6647.8,7240.533333,8565.533333,8244.366667,8848.866667,1431.4,1418.466667,1444.066667,936.6333333,926.5333333,945.5666667,19.93333333,18,21.83333333,12.33333333,11.13333333,13.53333333,109.1,104.5,113.9666667,-0.079105491,-1.137286696,1.035806506,-0.352270838,-1.422706101,0.765604383,0.214422034,-2.802054013,3.528042814
