"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,62500,62500,100,100,0,0,0,0,0,0
1,10,57338,48005,97,99,0,0,0,-3,-1,0
1,20,57601,47968,139,132,0,0,0,43.298969072165,33.3333333333333,0
1,30,55773,43404,199,175,0,0,0,43.1654676258993,32.5757575757576,0
1,40,52580,36513,280,231,0,0,0,40.7035175879397,32,0
1,50,48440,29915,410,335,0,0,0,46.4285714285714,45.021645021645,0
1,60,42254,19016,557,408,0,0,0,35.8536585365854,21.7910447761194,0
1,70,34675,15444,793,469,0,0,0,42.3698384201077,14.9509803921569,0
1,80,24072,10733,1092,483,0,0,0,37.7049180327869,2.98507462686567,0
1,90,13698,9489,1402,496,0,0,0,28.3882783882784,2.69151138716356,0
1,100,6246,9378,1605,520,0,0,0,14.4793152639087,4.83870967741935,0
1,110,3850,7359,1620,516,0,0,0,0.934579439252336,-0.769230769230769,0
1,120,3363,7342,1670,521,0,0,0,3.08641975308642,0.968992248062015,0
1,130,2861,8566,1650,500,0,0,0,-1.19760479041916,-4.03071017274472,0
1,140,2824,8843,1659,518,0,0,0,0.545454545454545,3.6,0
1,150,2744,9393,1636,474,0,0,0,-1.38637733574442,-8.49420849420849,0
1,160,2730,9744,1628,528,0,0,0,-0.488997555012225,11.3924050632911,0
1,170,2741,8462,1679,493,0,0,0,3.13267813267813,-6.62878787878788,0
1,180,2715,9052,1654,488,0,0,0,-1.48898153662895,-1.01419878296146,0
1,190,2852,8814,1658,505,0,0,0,0.241837968561064,3.48360655737705,0
1,200,2363,8844,1622,527,0,0,0,-2.17129071170084,4.35643564356436,0
1,210,3558,9979,1553,456,18,8,52,-4.25400739827374,-13.4724857685009,0
1,220,3989,11670,1540,467,8,3,39,-0.837089504185447,2.41228070175439,-25
1,230,4608,10849,1578,434,10,2,44,2.46753246753247,-7.06638115631692,12.8205128205128
1,240,3889,12813,1578,478,9,2,33,0,10.1382488479263,-25
1,250,3926,10582,1574,476,9,2,29,-0.253485424588086,-0.418410041841004,-12.1212121212121
1,260,3585,11371,1588,481,9,2,30,0.889453621346887,1.05042016806723,3.44827586206897
1,270,3635,10456,1597,468,7,2,34,0.566750629722922,-2.7027027027027,13.3333333333333
1,280,4046,9722,1561,481,5,1,29,-2.25422667501565,2.77777777777778,-14.7058823529412
1,290,4400,9497,1581,527,5,2,34,1.28122998078155,9.56340956340956,17.2413793103448
1,300,3889,8288,1575,489,8,0,32,-0.379506641366224,-7.21062618595825,-5.88235294117647
1,310,3227,10427,1579,473,11,1,27,0.253968253968254,-3.2719836400818,-15.625
1,320,3616,11170,1635,476,6,2,36,3.54654844838505,0.634249471458774,33.3333333333333
1,330,3287,10667,1592,483,9,3,36,-2.62996941896024,1.47058823529412,0
1,340,3757,10678,1565,460,7,3,34,-1.69597989949749,-4.76190476190476,-5.55555555555556
1,350,3906,11313,1592,498,9,0,22,1.72523961661342,8.26086956521739,-35.2941176470588
1,360,3358,9491,1621,496,5,1,27,1.82160804020101,-0.401606425702811,22.7272727272727
1,370,3184,10285,1645,471,7,2,27,1.48056755089451,-5.04032258064516,0
1,380,2999,10402,1574,471,7,5,26,-4.3161094224924,0,-3.7037037037037
1,390,3806,11328,1599,458,4,4,26,1.58831003811944,-2.76008492569002,0
1,400,3992,11814,1578,483,7,1,21,-1.31332082551595,5.45851528384279,-19.2307692307692
1,410,3556,9918,1606,487,5,2,20,1.7743979721166,0.82815734989648,-4.76190476190476
1,420,3909,9528,1612,486,5,1,22,0.37359900373599,-0.205338809034908,10
1,430,3051,10422,1660,477,7,0,24,2.97766749379653,-1.85185185185185,9.09090909090909
1,440,2834,10160,1610,467,10,0,21,-3.01204819277108,-2.09643605870021,-12.5
1,450,3380,11867,1577,470,5,0,19,-2.04968944099379,0.642398286937901,-9.52380952380952
1,460,3882,10686,1603,490,5,2,22,1.64870006341154,4.25531914893617,15.7894736842105
1,470,3396,10844,1647,492,6,1,25,2.74485339987523,0.408163265306122,13.6363636363636
1,480,3348,9346,1549,479,5,2,24,-5.95021250758956,-2.64227642276423,-4
1,490,3878,10150,1597,480,8,0,20,3.09877340219496,0.208768267223382,-16.6666666666667
1,500,3707,9818,1634,507,4,2,21,2.31684408265498,5.625,5
1,510,3495,9028,1633,489,8,0,24,-0.0611995104039168,-3.55029585798817,14.2857142857143
1,520,3118,9993,1629,477,3,1,20,-0.244947948560931,-2.45398773006135,-16.6666666666667
1,530,3340,10057,1550,453,7,3,21,-4.84960098219767,-5.0314465408805,5
1,540,3390,11127,1644,478,4,0,17,6.06451612903226,5.51876379690949,-19.047619047619
1,550,3030,9528,1651,507,4,1,15,0.425790754257908,6.06694560669456,-11.7647058823529
1,560,3255,8192,1606,511,4,0,17,-2.72562083585706,0.788954635108481,13.3333333333333
1,570,3422,8617,1627,472,4,1,13,1.30759651307597,-7.6320939334638,-23.5294117647059
1,580,3148,10074,1629,483,3,2,14,0.122925629993854,2.33050847457627,7.69230769230769
1,590,3197,9509,1595,531,2,1,16,-2.08717004297115,9.93788819875776,14.2857142857143
1,600,3271,8448,1654,494,1,1,17,3.69905956112853,-6.96798493408663,6.25
1,610,2787,9962,1616,505,6,2,16,-2.29746070133011,2.22672064777328,-5.88235294117647
1,620,3403,8768,1620,512,3,0,13,0.247524752475248,1.38613861386139,-18.75
1,630,3506,8441,1588,494,0,1,12,-1.97530864197531,-3.515625,-7.69230769230769
1,640,4352,9133,1630,485,3,0,10,2.6448362720403,-1.82186234817814,-16.6666666666667
1,650,3403,10249,1579,500,3,1,14,-3.12883435582822,3.09278350515464,40
1,660,3035,9590,1652,488,3,2,11,4.62317922735909,-2.4,-21.4285714285714
1,670,2476,9999,1659,471,3,1,9,0.423728813559322,-3.48360655737705,-18.1818181818182
1,680,3105,9453,1654,517,1,0,9,-0.301386377335744,9.76645435244161,0
1,690,3512,9035,1572,481,2,3,7,-4.95767835550181,-6.96324951644101,-22.2222222222222
1,700,3451,9778,1656,500,2,0,8,5.34351145038168,3.95010395010395,14.2857142857143
1,710,2814,9026,1639,492,4,0,13,-1.02657004830918,-1.6,62.5
1,720,3347,9476,1609,481,2,1,9,-1.83038438071995,-2.23577235772358,-30.7692307692308
1,730,3725,9371,1616,515,1,2,11,0.435052827843381,7.06860706860707,22.2222222222222
1,740,3351,8162,1609,500,7,0,8,-0.433168316831683,-2.9126213592233,-27.2727272727273
1,750,3535,9445,1660,495,2,0,9,3.16967060285892,-1,12.5
1,760,3350,9631,1584,491,2,0,8,-4.57831325301205,-0.808080808080808,-11.1111111111111
1,770,3473,9371,1658,487,2,0,7,4.67171717171717,-0.814663951120163,-12.5
1,780,3171,8497,1649,526,2,1,7,-0.542822677925211,8.0082135523614,0
1,790,2664,7352,1595,523,3,0,6,-3.27471194663432,-0.570342205323194,-14.2857142857143
1,800,3373,7763,1661,501,0,0,5,4.13793103448276,-4.20650095602294,-16.6666666666667
1,810,2626,9055,1678,510,1,0,10,1.02347983142685,1.79640718562874,100
1,820,2467,8685,1602,496,1,2,13,-4.52920143027414,-2.74509803921569,30
1,830,3701,10062,1609,485,2,1,13,0.436953807740325,-2.21774193548387,0
1,840,3693,10458,1634,486,5,3,13,1.55376009944065,0.206185567010309,0
1,850,2874,10495,1617,467,3,0,12,-1.04039167686659,-3.90946502057613,-7.69230769230769
1,860,3476,10760,1621,488,2,0,7,0.247371675943105,4.49678800856531,-41.6666666666667
1,870,3247,10164,1630,510,2,0,9,0.555212831585441,4.50819672131148,28.5714285714286
1,880,2926,8669,1672,496,2,0,8,2.57668711656442,-2.74509803921569,-11.1111111111111
1,890,2815,8585,1672,488,2,0,4,0,-1.61290322580645,-50
1,900,2591,9972,1629,524,2,0,3,-2.57177033492823,7.37704918032787,-25
1,910,2154,8274,1664,523,1,1,3,2.14855739717618,-0.190839694656489,0
1,920,2513,7854,1660,487,0,1,2,-0.240384615384615,-6.88336520076482,-33.3333333333333
