timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,62500,62500,100,100,0,0,0
10,57490,39267,99,91,0,0,0
20,57461,41140,142,131,0,0,0
30,55376,33865,202,156,0,0,0
40,52412,29988,292,175,0,0,0
50,48011,27096,402,205,0,0,0
60,42541,21847,552,238,0,0,0
70,34852,18017,801,257,0,0,0
80,22932,16710,1120,246,0,0,0
90,13026,18391,1421,249,0,0,0
100,6777,16773,1583,278,0,0,0
110,3411,15364,1619,260,0,0,0
120,3163,17669,1656,236,0,0,0
130,2826,18176,1702,253,0,0,0
140,1900,16710,1671,266,0,0,0
150,2261,15735,1652,266,0,0,0
160,2789,15160,1651,256,0,0,0
170,3324,16246,1614,264,0,0,0
180,2827,16839,1638,255,0,0,0
190,2711,16125,1678,248,0,0,0
200,2314,17361,1675,275,0,0,0
210,3739,16881,1531,235,30,2,51
220,5180,18303,1475,220,10,1,38
230,5943,21482,1569,235,8,1,26
240,3884,19262,1561,250,9,1,20
250,4008,17668,1601,267,5,0,10
260,3374,15057,1635,251,3,2,9
270,3337,17502,1622,244,2,0,6
280,3149,17095,1643,257,3,0,3
290,2592,16296,1679,268,0,0,3
300,2301,15801,1694,270,0,0,3
310,2492,15045,1605,256,2,0,6
320,3121,15469,1641,266,1,0,4
330,3059,15923,1602,252,2,0,4
340,3489,17495,1680,266,0,0,2
350,2923,16041,1634,249,0,0,2
360,2865,17309,1627,255,1,0,1
370,2814,16589,1682,261,0,0,1
380,2706,16086,1647,272,0,0,0
390,2897,14787,1604,259,0,0,0
400,3021,18100,1688,235,0,0,0
410,2759,17961,1641,250,0,0,0
420,2482,17426,1670,277,0,0,0
430,2377,15106,1652,248,0,0,0
440,2851,16927,1682,247,0,0,0
450,2223,16901,1641,267,0,0,0
460,2728,17357,1653,237,0,0,0
470,2503,19388,1623,254,0,0,0
480,2797,16586,1690,267,0,0,0
490,3408,14596,1627,255,0,0,0
500,3093,16364,1641,269,0,0,0
510,2807,15911,1686,279,0,0,0
520,2607,15290,1660,244,0,0,0
530,2504,17494,1649,241,0,0,0
540,3450,18399,1675,257,0,0,0
550,2506,17144,1593,254,0,0,0
560,3521,16803,1640,257,0,0,0
570,3372,16771,1647,257,0,0,0
580,3158,15496,1635,270,0,0,0
590,3185,14726,1632,267,0,0,0
600,3136,14926,1631,270,0,0,0
610,2576,16028,1692,267,0,0,0
620,2726,15807,1660,257,0,0,0
630,2508,16551,1675,250,0,0,0
640,3100,17800,1605,251,0,0,0
650,3096,17313,1654,260,0,0,0
660,2883,17793,1659,242,0,0,0
670,2916,17506,1619,257,0,0,0
680,2699,16336,1680,259,0,0,0
690,2636,17170,1628,244,0,0,0
700,2986,17118,1653,262,0,0,0
710,2760,15386,1660,262,0,0,0
720,3163,16403,1670,265,0,0,0
730,3272,16375,1585,243,0,0,0
740,3523,17391,1642,256,0,0,0
750,2882,17162,1650,261,0,0,0
760,2725,15926,1661,242,0,0,0
770,2784,18059,1667,253,0,0,0
780,3442,17357,1652,274,0,0,0
790,3546,14571,1590,276,0,0,0
800,3273,14294,1600,260,0,0,0
810,3355,15762,1658,268,0,0,0
820,2605,14524,1663,267,0,0,0
830,2557,14741,1633,263,0,0,0
840,2905,15902,1659,268,0,0,0
850,2253,16413,1676,260,0,0,0
860,2649,17249,1689,241,0,0,0
870,2241,18028,1677,263,0,0,0
880,3060,15789,1611,255,0,0,0
890,3957,16391,1608,261,0,0,0
900,3456,15739,1643,246,0,0,0
910,3638,17764,1643,255,0,0,0
920,2610,16724,1693,268,0,0,0
930,2394,15313,1633,277,0,0,0
940,3615,14413,1628,265,0,0,0
950,3073,17197,1629,256,0,0,0
960,2957,17129,1652,253,0,0,0
970,2939,17847,1672,252,0,0,0
980,2692,16003,1692,258,0,0,0
990,2446,16864,1624,265,0,0,0
1000,3128,15287,1664,251,0,0,0
