"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,30,62500,62500,62500,125000,125000,125000,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,57487.4,57448.6333333333,57523.4333333333,120046.433333333,120008.366666667,120078.433333333,99.4666666666667,98.2,100.8,99.1,97.3666666666667,100.733333333333,0,0,0,0,0,0,0,0,0,-0.533333333333333,-1.8,0.7,-0.9,-2.43333333333333,0.733333333333333,0,0,0
20,30,57502.5333333333,57414.4,57581.3666666667,120064.433333333,119968.666666667,120153.666666667,141.933333333333,139.1,144.933333333333,137.333333333333,133.8,140.4,0,0,0,0,0,0,0,0,0,42.7307524426707,40.0023045973267,45.6321648374632,38.6316015503085,35.5640400159384,41.5521075979833,0,0,0
30,30,55415.1666666667,55261.2333333333,55567.2333333333,118132.9,117961.8,118309.1,199.466666666667,195.033333333333,203.833333333333,193,188.4,197.9,0,0,0,0,0,0,0,0,0,40.7219195236278,38.1622148558183,43.2213083198051,40.741091758205,38.1270217917992,43.4269949728234,0,0,0
40,30,52517.6333333333,52311.6333333333,52706.4,115364.866666667,115120.333333333,115598.5,281.066666666667,275.466666666667,286.833333333333,271.7,265.366666666667,278.933333333333,0,0,0,0,0,0,0,0,0,41.0709890321673,38.8250923677291,43.3894540910896,40.8997548379032,38.7585943006735,42.9779992725036,0,0,0
50,30,48434.6,48152.0333333333,48726.7,111430.7,111070.633333333,111775.433333333,396.766666666667,389.533333333333,404.633333333333,378.833333333333,369.433333333333,388.533333333333,0,0,0,0,0,0,0,0,0,41.2644269736852,39.3254906976647,43.0651328505756,39.5041044836364,38.1108006550396,41.0082399885463,0,0,0
60,30,42624.9666666667,42225.0333333333,43046.0333333333,106022.866666667,105554.8,106467.7,558.133333333333,547.833333333333,568.366666666667,538.133333333333,525.333333333333,552.133333333333,0,0,0,0,0,0,0,0,0,40.7783809547212,39.0476047834935,42.3424882913002,42.0665788752944,40.4739291512953,43.6307382323364,0,0,0
70,30,34822,34276.6333333333,35328.1,98088.4333333333,97327.1,98785.2,776.333333333333,759.1,791.333333333333,757.766666666667,736.666666666667,777.4,0,0,0,0,0,0,0,0,0,39.1059878064152,37.7721961800672,40.199352324472,40.8403365831538,39.5007300730112,42.1624496705682,0,0,0
80,30,24920.6666666667,24267.4666666667,25541.8,87087.4,85969.0666666667,88067.0666666667,1069.93333333333,1050.26666666667,1087.86666666667,1068.6,1041.63333333333,1095,0,0,0,0,0,0,0,0,0,37.9000803554227,36.8041677200567,38.9507778019488,41.0427282216655,39.7353231713841,42.2533759293689,0,0,0
90,30,14316.1,13669.1666666667,14906.8666666667,71607,70174.3333333333,73011.3333333333,1373.1,1353.23333333333,1391.73333333333,1508.9,1467.86666666667,1545.8,0,0,0,0,0,0,0,0,0,28.4403507857771,27.2871260011475,29.5587477765151,41.2333614352674,40.2702844892767,42.1173035761676,0,0,0
100,30,6868.93333333333,6444.4,7249.36666666667,50830.6,48977.4,52687.8333333333,1589.9,1578.13333333333,1600.66666666667,2087.9,2034.43333333333,2137.43333333333,0,0,0,0,0,0,0,0,0,15.9267597182915,14.6274623145999,17.280574053395,38.4369025467317,37.6000970342657,39.2255320703386,0,0,0
110,30,3652.53333333333,3469.8,3824.6,28120.9333333333,26391.0666666667,29938.0333333333,1655.43333333333,1647.23333333333,1663.3,2759.23333333333,2710.7,2812.06666666667,0,0,0,0,0,0,0,0,0,4.16586284342527,3.21099569772013,5.13244532226408,32.3364201475946,31.1525308893428,33.5068802762324,0,0,0
120,30,2803.5,2663.03333333333,2949.26666666667,10877.6,9799.36666666667,11951.1333333333,1654.26666666667,1645.03333333333,1663.93333333333,3259.83333333333,3223.76666666667,3295.43333333333,0,0,0,0,0,0,0,0,0,-0.0495248327172333,-0.850065482670177,0.747841841305316,18.3088284085855,17.1195032754808,19.4970820999672,0,0,0
130,30,2853.43333333333,2741.36666666667,2967.93333333333,4144.56666666667,3819.36666666667,4468.9,1650.23333333333,1638.96666666667,1660.76666666667,3397.66666666667,3382.46666666667,3413.03333333333,0,0,0,0,0,0,0,0,0,-0.205030648647927,-1.20488248575041,0.80588795984749,4.32072886024973,3.02279973277484,5.5218528643136,0,0,0
140,30,2965.3,2830.6,3090.3,2830.03333333333,2640.1,3029.7,1651.1,1641.96666666667,1659.96666666667,3397.43333333333,3386,3410.06666666667,0,0,0,0,0,0,0,0,0,0.0924244151100481,-0.916864308256533,1.08207742026291,0.0098828496333685,-0.563106722807183,0.567410151361142,0,0,0
150,30,2786.8,2662,2910.56666666667,2589.03333333333,2414.76666666667,2750.36666666667,1649.16666666667,1639.46666666667,1660.3,3393.06666666667,3378.2,3407.63333333333,0,0,0,0,0,0,0,0,0,-0.0751987674952885,-1.06043867741132,0.935444465737972,-0.119761829115652,-0.666765242399563,0.390100618389318,0,0,0
160,30,2860.86666666667,2710.9,3005.43333333333,2741.5,2574.66666666667,2894.13333333333,1654.53333333333,1644.4,1664.23333333333,3374,3362.3,3386.1,0,0,0,0,0,0,0,0,0,0.355415515487211,-0.501926360993474,1.21103647637872,-0.543874758619009,-1.17265743417811,0.0949159944871829,0,0,0
170,30,2905.06666666667,2779.2,3020.1,2821.2,2670.3,2955.56666666667,1652.13333333333,1644.3,1660,3373.86666666667,3360.7,3386,0,0,0,0,0,0,0,0,0,-0.117013694619507,-0.918754270016009,0.659613488965977,0.00838318113030675,-0.530584985376284,0.545379156003123,0,0,0
180,30,2808.46666666667,2683.5,2950.83333333333,2787.36666666667,2663.2,2925.73333333333,1649.56666666667,1640.43333333333,1658.1,3396.86666666667,3383.56666666667,3408.03333333333,0,0,0,0,0,0,0,0,0,-0.13582389297619,-0.91858680984936,0.631388240853584,0.696058689483656,0.0501442582603617,1.29405885501424,0,0,0
190,30,2927.16666666667,2767.33333333333,3094.76666666667,2772.03333333333,2601.63333333333,2926.06666666667,1647.33333333333,1637.16666666667,1658.63333333333,3372.3,3358.2,3386.96666666667,0,0,0,0,0,0,0,0,0,-0.110583969480988,-1.02298802842166,0.734681858738289,-0.710397369781065,-1.3120793999643,-0.087644954472094,0,0,0
200,30,2946.43333333333,2782.73333333333,3104.2,2966.13333333333,2819.4,3090.73333333333,1657.73333333333,1651.13333333333,1664.9,3379.73333333333,3364.26666666667,3394.83333333333,0,0,0,0,0,0,0,0,0,0.66998539288525,-0.166038982996814,1.49565485075224,0.236548236138451,-0.426144949611012,0.941815075284217,0,0,0
210,30,3538.46666666667,3423.3,3643.96666666667,3874.36666666667,3697.23333333333,4058.73333333333,1511.86666666667,1502.2,1521.16666666667,3123.3,3112.03333333333,3134.5,17.2666666666667,15.8333333333333,18.6333333333333,35.9,34.3666666666667,37.5666666666667,144.766666666667,142.233333333333,147.3,-8.7819690567589,-9.60392992122744,-8.05576759219894,-7.56879674248334,-8.16987231431802,-6.97540529533609,0,0,0
220,30,5573.76666666667,5382.8,5784.66666666667,6734.43333333333,6467.56666666667,7003.66666666667,1422.06666666667,1411.03333333333,1433.43333333333,2976.16666666667,2959.03333333333,2994,20.3,18.4666666666667,22.1666666666667,40.9333333333333,39.1333333333333,42.6666666666667,232.733333333333,227.833333333333,238.2,-5.91915336373408,-6.75852672741375,-5.17169070532989,-4.7001061328831,-5.3859225099171,-4.05714469954675,60.9521442107571,57.5214805729969,64.2309937586596
230,30,8229.93333333333,7964.9,8508.96666666667,10626.6,10186.5,11100.3666666667,1301.83333333333,1290.8,1312.83333333333,2751.46666666667,2727.96666666667,2773.43333333333,29.5333333333333,27.9,31.3,62.8666666666667,59.6333333333333,65.9333333333333,344.133333333333,337.833333333333,350.766666666667,-8.4171498160524,-9.39520842054413,-7.36564038448899,-7.54369011625366,-8.20105493959007,-6.82837239576932,48.0665331051301,45.7705253562371,50.2241204388175
240,30,12613.5333333333,12182.2,13061.1333333333,18503.6,17664.3666666667,19286.5,1105.23333333333,1087.9,1121.73333333333,2374.03333333333,2345.56666666667,2402.26666666667,37.3666666666667,35.4,39,81.1666666666667,78.1,84.1333333333333,479.566666666667,471.233333333333,488.1,-15.1046903108987,-16.2175171314343,-13.9462980312956,-13.7185668984502,-14.3815140998807,-13.1116521315841,39.5392808959931,37.2189005990363,41.8198479297741
250,30,21045.6666666667,20388.2666666667,21773.3666666667,34139.8333333333,32957.0333333333,35370.5666666667,815.733333333333,794.6,836.3,1816.26666666667,1779.93333333333,1855.06666666667,39.7333333333333,37.7333333333333,41.8333333333333,90.4,87.4666666666667,93.3,565.133333333333,557.266666666667,572.833333333333,-26.2390708891262,-27.5735385650787,-25.0404685538202,-23.534868923537,-24.4646908460823,-22.5831702137821,18.0944901692056,15.6043031860124,20.3915491020771
260,30,32564,31760.7333333333,33420.0333333333,58027,56516.4666666667,59472.1333333333,536.266666666667,518.966666666667,552.066666666667,1210.5,1175.23333333333,1245.26666666667,32.9,30.6333333333333,35.1666666666667,78.1666666666667,75.7333333333333,80.2333333333333,502.266666666667,489.833333333333,512.766666666667,-34.29542828228,-35.1314817049581,-33.3355574747389,-33.384137695836,-34.439360419166,-32.4027061123952,-11.0382242509806,-13.1806693609827,-9.04710032062757
270,30,42701.3666666667,42120.1,43277.4666666667,79765.1666666667,78486.7666666667,81006.4666666667,362.933333333333,349.866666666667,376.033333333333,839.633333333333,816.233333333333,863.7,20.6,18.7,22.4,48.4,45.6,51.1666666666667,289.833333333333,275.533333333333,305.033333333333,-32.148084742235,-34.3152109293637,-30.1090490886921,-30.5415580052968,-31.8974085553113,-29.2618092066065,-42.4035840167504,-44.5413161528047,-40.1614408196514
280,30,47500.1666666667,47005.8,47962.7333333333,90143.6666666667,89174.1666666667,91054.9333333333,323.633333333333,312.766666666667,333.866666666667,763.7,742.9,785.233333333333,11.7,10.4,13.0666666666667,24.5666666666667,22.6,26.5333333333333,123.666666666667,116.433333333333,132.666666666667,-10.4492566270997,-13.1197052435967,-7.99954788543397,-8.80655758514093,-10.875597266429,-6.73222141188833,-57.449508613684,-59.0598218218257,-55.7066722389408
290,30,47598.0666666667,47075.9,48103.0666666667,89871.6,88871.0666666667,90756.5,379.033333333333,361.533333333333,394.833333333333,896.2,872.066666666667,921.033333333333,5.33333333333333,4.5,6.33333333333333,11.7333333333333,10.3333333333333,13.1666666666667,45.7666666666667,41.1,50.5333333333333,17.0057346680309,14.3152695972147,19.1698346790811,17.4997861337545,15.4798080458928,19.3525116879478,-63.1310946236103,-65.4940573444349,-60.5206077615584
300,30,44072.2,43332.6333333333,44882.7666666667,81452.0333333333,80246.9333333333,82595.2333333333,500.6,479.8,522.5,1174.43333333333,1144.03333333333,1209.4,2.43333333333333,1.8,3.1,6.5,5.13333333333333,7.9,21.0333333333333,18.3,24.0666666666667,32.1526051605083,30.091495965129,34.0200182492797,31.049083782627,29.7963407071264,32.1420478247334,-54.1605562104129,-57.8346509762633,-50.4966159989592
310,30,37897.4333333333,36901.6666666667,38885.1333333333,67260.6333333333,65734.7666666667,68758.6,680.033333333333,651.033333333333,706.666666666667,1611.66666666667,1571.56666666667,1655.5,1.33333333333333,0.933333333333333,1.73333333333333,3,2.46666666666667,3.5,13.8666666666667,11.8333333333333,16,35.8691663399527,34.6972958876185,37.0696035058632,37.3090650540234,36.2861468336144,38.2175318091857,-33.5958696531396,-39.1050921601411,-27.91112065941
320,30,29515.6333333333,28310.5,30815.9666666667,46964.8666666667,45208.1666666667,48650.7,924.3,885.133333333333,961.433333333333,2177.53333333333,2121.86666666667,2227.43333333333,1.16666666666667,0.766666666666667,1.6,3.23333333333333,2.5,4.03333333333333,13.8,11.3,16.3,36.0414061424992,34.819840180482,37.2756967945803,35.1949775994824,34.062451477388,36.3186065885895,-2.26276691717869,-10.0434505581564,5.52527592233475
330,30,19490.4,18223.7666666667,20830.1666666667,25399.6666666667,23697.5,27212.0333333333,1209.46666666667,1167.93333333333,1245.73333333333,2805.83333333333,2754,2856.86666666667,1.53333333333333,1.06666666666667,2.03333333333333,4.3,3.23333333333333,5.46666666666667,17.7666666666667,14.0666666666667,21.4333333333333,31.2481627750119,29.4586102645263,32.9017488680782,29.0274719266744,27.836923640255,30.2387313460915,25.6250694895001,14.7584197421659,35.7291927370955
340,30,10901.1333333333,9873.66666666667,12037.3333333333,10370.0666666667,9395,11299.4666666667,1458.03333333333,1429.73333333333,1485.23333333333,3230.86666666667,3201.93333333333,3256.7,2.3,1.73333333333333,2.96666666666667,5.2,3.76666666666667,6.56666666666667,26.9,21.9,32.1,21.0436113676198,19.062748567862,22.9937484742761,15.3059722452609,14.0766195376908,16.5589159217821,60.5367527255409,48.3351325549525,73.8898511266148
350,30,5631.1,5159.03333333333,6056.26666666667,4519.73333333333,4169.03333333333,4868.3,1579.03333333333,1564.53333333333,1592.1,3334.1,3310,3358.6,3.76666666666667,2.7,4.96666666666667,8.2,6.8,9.8,44.1,35.6666666666667,53.4333333333333,8.55181770314353,6.65098814641794,10.5810737880384,3.246607684073,2.29813138143335,4.41345192215794,63.6094520841306,55.3377835956,71.3278677679513
360,30,4050.9,3803.06666666667,4282.6,3743.7,3379.46666666667,4108.06666666667,1596.7,1581.33333333333,1613.1,3284.36666666667,3255.06666666667,3312.4,5.8,4.46666666666667,7.13333333333333,12.9666666666667,10.2333333333333,15.7,71.3333333333333,58.3,86.4666666666667,1.1498356147865,0.0578322288008437,2.13132824840021,-1.48304479007085,-2.15521148782124,-0.833724538126654,62.4641903690756,55.2048317493344,68.7874545925806
370,30,4086.63333333333,3767.86666666667,4421.03333333333,4240,3800.4,4726.56666666667,1548.63333333333,1524.2,1570.03333333333,3203.03333333333,3158.86666666667,3238.9,10.3,8.43333333333333,12.5333333333333,20.2333333333333,16.6333333333333,24.0666666666667,116.733333333333,93.7666666666667,139.866666666667,-3.01776458013715,-3.95498776166715,-2.10305428684633,-2.48039439798835,-3.16006432957236,-1.79819571761203,65.2783862888891,60.5411657040533,70.2830000750563
380,30,5081.46666666667,4590.5,5601.83333333333,5635.13333333333,4882.43333333333,6383.8,1480.2,1446.06666666667,1511.16666666667,3084.96666666667,3016.4,3142.03333333333,14.0333333333333,11.4,16.9333333333333,32.9666666666667,26.9333333333333,39.1333333333333,187.7,157.133333333333,220.3,-4.47740979427054,-5.63155894935874,-3.34293556308059,-3.74071569869246,-4.86278381974394,-2.63868670565142,65.2830507587489,61.1232282887667,69.8637992056564
390,30,7034.76666666667,6095.53333333333,8049.36666666667,8574.2,6992.33333333333,10410.7666666667,1377.1,1329.53333333333,1421.5,2893.83333333333,2802.36666666667,2993.26666666667,23.3,19.4666666666667,26.8333333333333,48.1666666666667,41.0333333333333,55.6666666666667,282.9,239.466666666667,326.533333333333,-7.16398980446875,-9.06470265753072,-5.41070099801356,-6.37940674362856,-7.87354456881107,-5.04076958149219,54.6455063222439,51.0655359522634,58.2691379585698
400,30,10526.9333333333,8765.4,12500.5666666667,14965.6,11701.1666666667,18518.5666666667,1201.36666666667,1119,1277.03333333333,2585.46666666667,2424.26666666667,2729.86666666667,32.4,28.2,36.6666666666667,65.5333333333333,57.0666666666667,74.0333333333333,390.566666666667,343.433333333333,437.333333333333,-13.5259572012277,-16.5344361903059,-10.7004101612774,-11.2686036170251,-13.7251565269508,-8.87977749011653,43.3733043581894,38.2539783197151,47.9280535518391
410,30,17237.8666666667,14163.6,20281.2666666667,26561.0666666667,20819.3666666667,32860.8,978.833333333333,862.633333333333,1086.53333333333,2143.86666666667,1930.83333333333,2354.83333333333,34.7333333333333,31.7666666666667,37.5333333333333,76.6,69.7666666666667,82.9333333333333,469.666666666667,430.2,505.566666666667,-20.3340355625463,-24.222129460433,-16.7657241749669,-18.6344406466064,-22.2053330828434,-15.231889554041,27.940097798279,19.0350116648275,35.5633137563806
420,30,26024.7333333333,21744.9666666667,30268.6333333333,43767.3333333333,35838.7666666667,52120.2666666667,735.233333333333,628.033333333333,851.6,1656.23333333333,1446.33333333333,1883.56666666667,31.7333333333333,28.7,34.8666666666667,74.8,68.1666666666667,80.6,474.066666666667,435.9,506.033333333333,-27.0713466223488,-30.4653749892283,-23.5502609760003,-24.6006704137869,-27.8551959816893,-21.3248716535465,5.94334563723343,-4.32547769460737,15.4070379666886
430,30,35056.4666666667,30827.6,38599.5666666667,62281.5666666667,53799.3666666667,70263.7333333333,532.7,449.5,627.5,1223.6,1035.56666666667,1414.26666666667,25.9666666666667,21.8333333333333,30,60.1333333333333,51.4333333333333,68.6333333333333,390,325.566666666667,449.466666666667,-27.0807088216612,-30.6764122958697,-22.8099268648213,-26.1394716866354,-29.4837175999803,-22.6693807603378,-18.5891655444675,-30.4064955640015,-6.57694290190476
440,30,42008.8,38836.5,44759.9333333333,77285.9,70052.0333333333,82984.0666666667,411.4,363,472.066666666667,959.366666666667,851.2,1074.5,17.7333333333333,13.9,21.8333333333333,43.9333333333333,35.5666666666667,52.8333333333333,257.333333333333,190.533333333333,321.2,-17.5224593725361,-24.0097979564539,-10.2723619336522,-16.9041339160132,-22.9976194949441,-10.2339735347131,-41.260181416237,-49.6759804689527,-31.7842612586904
450,30,45260.5333333333,43190.9666666667,46852.7333333333,84881.1333333333,80660.4333333333,88262.1333333333,384.8,350.6,417.9,907.966666666667,841.866666666667,976.266666666667,11.3666666666667,8.03333333333333,14.5,24.6666666666667,17.9666666666667,31.8333333333333,142.266666666667,96.1666666666667,199.133333333333,-0.931033642811385,-9.24303728873079,7.56700870765632,-0.251761818052747,-8.71735189455152,7.86745080290048,-53.0781990516984,-58.478782303149,-47.1021810178891
460,30,44943.4,43484.9666666667,46339.6,83546.4333333333,80285.9666666667,86360.9333333333,446.533333333333,401.8,492.166666666667,1045.4,944.2,1158.86666666667,5.46666666666667,3.76666666666667,7.56666666666667,14.8333333333333,10,20.9666666666667,66.0666666666667,39.5333333333333,98.4333333333333,17.1381341548355,8.30261615723336,24.8860142206537,15.7343546607359,7.64205150426484,22.7890472420746,-52.2074500228198,-58.0781006391412,-45.6595323288065
470,30,41060.8666666667,38528.8666666667,43349.6333333333,74794.6,69071.4,79667.9,577.633333333333,503.833333333333,646.3,1369.53333333333,1207.9,1539.96666666667,2.83333333333333,1.7,4.23333333333333,7.2,5.13333333333333,9.66666666666667,29.4333333333333,19.2333333333333,42.3,27.6995154812096,21.7012633431602,32.3029299716374,29.7219270482208,24.3817176871683,34.0414761738047,-39.4618567481727,-48.5299439768099,-29.6047208472422
480,30,34601.2666666667,31238.4,37782.4333333333,59437.6,52486.5333333333,66391,780.8,677.466666666667,878.866666666667,1806.43333333333,1608.03333333333,2026.2,1.8,1.3,2.36666666666667,4.53333333333333,3.16666666666667,6.2,18.2333333333333,14.5333333333333,22.2333333333333,34.3617132899751,31.8831394125995,36.5204760338172,31.7196514723044,29.5287490346631,33.7248423449643,-17.8896375642851,-29.1812589851143,-5.44557871899801
490,30,26380.6666666667,22211.9333333333,30070.3,42019.8333333333,34373.6,50311.6,1003.73333333333,893.133333333333,1106.5,2326.7,2105.23333333333,2548.63333333333,1.53333333333333,1.03333333333333,2.03333333333333,3.86666666666667,3.1,4.56666666666667,17.8333333333333,14.6666666666667,21.1666666666667,30.4699891601467,27.1553789318124,33.4756749498263,30.8158049930099,28.0189543720911,33.4426289560389,4.47394185019931,-7.89280809967085,16.2092930277074
500,30,18458.7,14392.8666666667,22472.8333333333,25281.3,18532.0666666667,32341.9333333333,1231.36666666667,1122.83333333333,1339.1,2803.16666666667,2607.33333333333,2990.1,2.26666666666667,1.53333333333333,3,4.23333333333333,3.26666666666667,5.4,23.9,19.1333333333333,29.0333333333333,25.3660855146009,21.8177495507185,28.626187081815,23.4552912050706,19.1540751484955,27.3765625719028,38.0615445151827,22.4630819943064,52.2948351708871
510,30,11916.3333333333,8916.76666666667,15218.6666666667,13234.6333333333,9150.66666666667,17941.9666666667,1420.76666666667,1334.26666666667,1499.63333333333,3107.1,2967.4,3215.53333333333,2.9,1.83333333333333,4.06666666666667,6.73333333333333,4.93333333333333,8.76666666666667,36.3,27.6333333333333,45.9666666666667,18.5306241113397,13.9806265877887,23.1427066211276,13.1769279753047,8.75557189962554,17.4911267859905,45.7659548584268,35.8879348600091,55.8543506991446
520,30,7237.66666666667,5443.3,9186.16666666667,7062.4,5201.53333333333,9305.46666666667,1515.86666666667,1465.63333333333,1560.06666666667,3240.16666666667,3179.8,3286.43333333333,5.23333333333333,3.8,6.6,10.3333333333333,8.26666666666667,12.6666666666667,58.9333333333333,44.1333333333333,76.3333333333333,8.62721534553537,4.40070943607097,12.9119767723971,5.25057470558836,2.18946534787643,8.6516704684329,57.0758332151631,49.2604939138574,63.5796578702954
