timeStep,repNb,resource1amountMean,resource1amountICinf,resource1amountICsup,resource2amountMean,resource2amountICinf,resource2amountICsup,prey1PopulationSizeMean,prey1PopulationSizeICinf,prey1PopulationSizeICsup,prey2PopulationSizeMean,prey2PopulationSizeICinf,prey2PopulationSizeICsup,prey1catchesMean,prey1catchesICinf,prey1catchesICsup,prey2catchesMean,prey2catchesICinf,prey2catchesICsup,predator1PopulationSizeMean,predator1PopulationSizeICinf,predator1PopulationSizeICsup,prey1growthRateMean,prey1growthRateICinf,prey1growthRateICsup,prey2growthRateMean,prey2growthRateICinf,prey2growthRateICsup,predatorGrowthRateMean,predatorGrowthRateICinf,predatorGrowthRateICsup,prey1catchRate,prey2catchrate
0,30,62500,62500,62500,93750,93750,93750,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,57493.8,57459.6,57525.3,88747.26667,88713.7,88777.2,99.5,98.33333333,100.6,98.7,97.66666667,99.9,0,0,0,0,0,0,0,0,0,-0.5,-1.633333333,0.633333333,-1.3,-2.433333333,-0.066666667,0,0,0,0,0
20,30,57535.76667,57467.3,57605.5,88803.46667,88747.46667,88854.93333,139.8666667,136.2333333,143.4,143.0333333,140.5,145.6666667,0,0,0,0,0,0,0,0,0,40.61472982,37.20820712,43.75499363,45.0121992,42.09187207,47.71483802,0,0,0,0,0
30,30,55511.2,55334.46667,55691.2,86596.76667,86465.93333,86721.3,200.2666667,195.8,204.9666667,197.2,193.8666667,200.1333333,0,0,0,0,0,0,0,0,0,43.35079943,41.18260419,45.60281143,38.06615116,35.61400637,40.52711356,0,0,0,0,0
40,30,52439.1,52179.8,52678.73333,83876.53333,83708.16667,84032.8,280.8666667,274.8,286.9333333,279.8,275.1,284.5,0,0,0,0,0,0,0,0,0,40.41225287,38.45681888,42.49310119,41.95675247,40.14203394,43.58320675,0,0,0,0,0
50,30,48449.7,48113.06667,48727.4,79762.33333,79485.26667,80004.53333,400.0666667,390.0333333,409.6,391.7,384,399.1666667,0,0,0,0,0,0,0,0,0,42.46676012,40.47604718,44.45520705,40.03045123,38.29051247,41.61137559,0,0,0,0,0
60,30,42474.26667,41939.06667,42993.03333,74200.4,73833.63333,74590.9,557.3,543,570.9666667,548.5,538.4333333,557.9,0,0,0,0,0,0,0,0,0,39.36136942,37.67813791,40.9584078,40.13830295,38.65369345,41.71535452,0,0,0,0,0
70,30,34825.13333,34113.8,35517.23333,66322.86667,65871.86667,66817.9,782.8,762.0666667,806.1,777.1333333,765.3,789.4,0,0,0,0,0,0,0,0,0,40.43013885,39.16258921,41.54347386,41.79964449,40.26573201,43.43813606,0,0,0,0,0
80,30,24760.9,23851.73333,25697.16667,54885.6,54312.5,55517.33333,1068.4,1043.766667,1094.9,1092.3,1073.833333,1110.8,0,0,0,0,0,0,0,0,0,36.63712856,35.2927789,37.97368887,40.55334369,39.25189761,41.88394004,0,0,0,0,0
90,30,14471.63333,13653,15247.76667,40067.13333,39251.03333,40939.96667,1365.9,1346.966667,1384.833333,1514.466667,1486.633333,1541.5,0,0,0,0,0,0,0,0,0,28.12056941,26.31418262,29.75066897,38.66274268,37.97524962,39.3144408,0,0,0,0,0
100,30,7149.266667,6735.866667,7521.766667,23000.5,21982.43333,23945.36667,1575.566667,1560.933333,1590.266667,2014.766667,1987.666667,2042.866667,0,0,0,0,0,0,0,0,0,15.44210799,14.39087513,16.51406407,33.1413974,31.93433376,34.22978562,0,0,0,0,0
110,30,3880.533333,3705,4051.9,10022,9409,10632.16667,1659.033333,1647.7,1671.266667,2390.566667,2374.066667,2405.966667,0,0,0,0,0,0,0,0,0,5.354180766,4.238018657,6.402686238,18.77063945,17.55214141,19.92876673,0,0,0,0,0
120,30,2814.833333,2684.6,2939.966667,4149,3955.966667,4370.9,1659.1,1649.7,1668.866667,2539.366667,2524.266667,2554.1,0,0,0,0,0,0,0,0,0,0.054377597,-1.078283733,1.070647383,6.25913748,5.359322077,7.119455234,0,0,0,0,0
130,30,2837.933333,2712.666667,2970.566667,2662.966667,2463.1,2856.433333,1645.733333,1637.7,1654.633333,2534.933333,2523.933333,2545.366667,0,0,0,0,0,0,0,0,0,-0.782440298,-1.590191481,-0.013323618,-0.146513538,-0.861787253,0.610291648,0,0,0,0,0
140,30,2933.066667,2806.433333,3066.266667,2695.166667,2526.966667,2860.533333,1644.633333,1634.966667,1654.766667,2513.633333,2503.566667,2523.6,0,0,0,0,0,0,0,0,0,-0.046158338,-0.806638089,0.723237276,-0.824128966,-1.440164358,-0.20026846,0,0,0,0,0
150,30,2927.566667,2810.9,3035.566667,2821.133333,2704.366667,2936.366667,1653.133333,1643.7,1662.233333,2512.233333,2502.866667,2520.8,0,0,0,0,0,0,0,0,0,0.552843251,-0.423377078,1.484168068,-0.037984243,-0.679094346,0.631513246,0,0,0,0,0
160,30,2811.6,2725.3,2901.4,2930.266667,2799.366667,3062.833333,1648,1639.9,1656.366667,2507.4,2496.2,2517.633333,0,0,0,0,0,0,0,0,0,-0.284148656,-1.054259013,0.481291095,-0.188741563,-0.590826073,0.191667947,0,0,0,0,0
170,30,2873.333333,2731.833333,3001.166667,2959.6,2843.766667,3080.633333,1656.066667,1647.933333,1663.633333,2510.2,2500.433333,2520.533333,0,0,0,0,0,0,0,0,0,0.506974712,-0.131253461,1.173126799,0.131687759,-0.576336386,0.810584749,0,0,0,0,0
180,30,2744.966667,2595.566667,2879.366667,2796.2,2630.7,2952.233333,1648.566667,1640.066667,1656.6,2522.933333,2513.533333,2532.4,0,0,0,0,0,0,0,0,0,-0.434277809,-1.191283007,0.28998641,0.521763754,-0.033705692,1.105766575,0,0,0,0,0
190,30,2932.566667,2797.266667,3072.066667,2832.2,2692.733333,2963.033333,1643.566667,1631.933333,1654.6,2527.4,2516.066667,2539.2,0,0,0,0,0,0,0,0,0,-0.277704268,-1.190231591,0.570864903,0.192043288,-0.515748049,0.857311387,0,0,0,0,0
200,30,3014.333333,2870.666667,3150.666667,2717.833333,2573.4,2859.6,1646.566667,1636.966667,1655.266667,2508.666667,2496.2,2521.566667,0,0,0,0,0,0,0,0,0,0.228232932,-0.813901581,1.18253916,-0.718864079,-1.465873748,0.107199624,0,0,0,0,0
210,30,3802.633333,3637.8,3980.866667,3840.966667,3676.833333,4024.633333,1501.7,1492.266667,1511.2,2304.166667,2295.033333,2314.3,18.66666667,17.23333333,20.4,28.36666667,27.1,29.46666667,122.2,119.1,125.5,-8.770908288,-9.640319584,-7.941015452,-8.128038324,-8.84107308,-7.498231628,0,0,0,0.012430357,0.012311031
220,30,5718.9,5522.8,5944.266667,6246.366667,5994.333333,6477.333333,1439.166667,1426.633333,1451.766667,2226.566667,2215.7,2238,19.03333333,17.63333333,20.23333333,30.3,28.4,32.26666667,173.2333333,166.9333333,179.5,-4.137708941,-5.158687709,-3.054850405,-3.360620863,-3.837846418,-2.847304868,41.73233565,38.46125035,44.97855937,0.013225246,0.013608396
230,30,7340.433333,7014.066667,7667.466667,8037.766667,7729.766667,8338.233333,1371.4,1356,1384.333333,2127.933333,2109.766667,2144.866667,24.83333333,23.33333333,26.36666667,37.5,35.16666667,39.63333333,235.9333333,228.4333333,242.9333333,-4.694738046,-5.408677222,-4.047270567,-4.417788539,-5.257341507,-3.598725877,36.62696529,33.11818669,40.27154926,0.018108016,0.017622733
240,30,9660.333333,9270.466667,10047.96667,11280.73333,10827.36667,11748.8,1246.733333,1229.933333,1262.6,1959.133333,1934.466667,1983.6,31,29.56666667,32.43333333,46.93333333,44.7,49.06666667,306.9666667,299.2333333,314,-9.090686012,-9.943047974,-8.241202278,-7.927731173,-8.921495507,-6.971501483,30.50887393,27.87536427,33.1085046,0.02486498,0.023956171
250,30,13937,13388.86667,14537.53333,16997.6,16156.66667,17849.66667,1080.9,1060,1101.233333,1722.9,1693.766667,1751.9,35.33333333,33.3,37.43333333,56.3,54.1,58.43333333,361.7,354.5666667,368.5666667,-13.29696289,-14.57730308,-12.14378686,-12.07457281,-12.91889187,-11.29270493,18.12167634,15.81719988,20.4331838,0.032688809,0.032677462
260,30,20057.16667,19247.1,20869.73333,25677.93333,24557.16667,26746.06667,898.5333333,874.2333333,922.7666667,1450.9,1418.3,1484.533333,34.53333333,32.83333333,36.26666667,56.46666667,53.56666667,59.3,372.6666667,367.0666667,378.5,-16.91443731,-18.20813171,-15.73187337,-15.81855017,-16.75983602,-14.82158672,3.26655929,0.883421535,5.418365811,0.038433002,0.038918373
270,30,27036.3,25989.73333,27958.4,36060.63333,34795.33333,37333.13333,740.0333333,718.3,762.4333333,1209.7,1180.6,1241,31.66666667,29.3,34.13333333,49.16666667,46.7,51.63333333,320.5,310.6666667,330.5333333,-17.61685453,-18.82125153,-16.27054236,-16.61468176,-17.40993397,-15.69733152,-13.92004448,-16.53794419,-11.52439557,0.042790865,0.040643686
280,30,32278.26667,31447.8,33164.43333,44171.13333,43119.26667,45193.83333,647.4,628.7333333,666.7666667,1082.5,1061.266667,1104.933333,23.83333333,21.96666667,25.7,38.36666667,34.93333333,41.36666667,234.1,222.8666667,246.1,-12.38750608,-13.98292266,-10.88529144,-10.36145932,-11.68914392,-8.944059785,-27.17014212,-29.22183617,-24.99269306,0.036813922,0.035442648
290,30,34728.36667,34074.6,35413.83333,47159.1,46272.73333,48007,644.0333333,629.1,658,1090.966667,1071.433333,1115.366667,16.46666667,14.5,18.43333333,28.26666667,26.1,30.3,152.9,143.2666667,162.7,-0.208487897,-2.343068933,1.869470357,0.91892963,-0.88911202,2.672942556,-34.98653737,-36.61331582,-33.35678087,0.025568035,0.025909744
300,30,33499.4,32847,34206.46667,44633.43333,43603.93333,45648,719.4666667,701.6333333,738.4,1216.066667,1182.1,1251.433333,12.2,10.63333333,13.76666667,19.56666667,17.6,21.46666667,104.7333333,98.2,111.2666667,11.77896631,9.68773582,13.87299739,11.44017153,9.491461427,13.25760328,-31.22760544,-33.2889865,-28.73616139,0.016957005,0.016090127
310,30,29390.53333,28534.8,30207.63333,37746.26667,36227.16667,39247.33333,860.4,835.5666667,885.3666667,1454.2,1413.933333,1496.5,9.366666667,8.033333333,10.7,16.5,15.26666667,17.7,82.56666667,76.73333333,88.7,19.59967475,17.86602852,21.24634224,19.58564957,18.14165613,21.10235034,-20.98693778,-23.83496065,-17.98855967,0.010886409,0.011346445
