"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,30,62500,62500,62500,187500,187500,187500,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,57484.4333333333,57444.5,57522.6666666667,182506.266666667,182465.033333333,182542.866666667,98.7666666666667,97.3666666666667,100.2,98.4,97.0333333333333,99.8333333333333,0,0,0,0,0,0,0,0,0,-1.23333333333333,-2.56666666666667,0.2,-1.6,-2.9,-0.133333333333333,0,0,0
20,30,57550.9666666667,57464.5333333333,57632.5666666667,182567.3,182489.533333333,182633.2,142.933333333333,139.166666666667,146.7,139.233333333333,135.733333333333,143.1,0,0,0,0,0,0,0,0,0,44.7296972704835,41.4754437917863,47.9865964155854,41.5374643171614,38.0277633248638,44.8700211849886,0,0,0
30,30,55395,55189.4,55584.1333333333,180549,180345,180757.2,200.366666666667,194.966666666667,205.766666666667,194.133333333333,189.866666666667,198.266666666667,0,0,0,0,0,0,0,0,0,40.4269656789158,37.4764559457304,43.376420419292,39.7658522953435,37.0888959994318,42.4234722836461,0,0,0
40,30,52497.9666666667,52192.1666666667,52762.7,177756.766666667,177548.366666667,177976.433333333,282.133333333333,275.3,289.1,272.166666666667,265.766666666667,278.8,0,0,0,0,0,0,0,0,0,41.0838859264186,38.3811234704636,43.4502184507397,40.3325305297417,37.7259915097483,42.9920063904446,0,0,0
50,30,48360.9333333333,48016.6333333333,48717.3666666667,173916.966666667,173618.633333333,174226.833333333,395.9,386.1,405.133333333333,386.633333333333,377.1,395.466666666667,0,0,0,0,0,0,0,0,0,40.4289625002769,38.1704372212574,42.6514907377833,42.1190551282799,40.6695693800783,43.4895160491771,0,0,0
60,30,42709.1333333333,42203.9333333333,43203.4333333333,168193.066666667,167701.133333333,168643.7,555.966666666667,542.366666666667,568.566666666667,541,528.666666666667,553.333333333333,0,0,0,0,0,0,0,0,0,40.5354162808456,38.8317044845093,42.228386342341,39.9628735532112,38.7965232212794,41.1336986337869,0,0,0
70,30,34939.7,34302.3,35522.7,160494.133333333,159864.333333333,161139.8,775.833333333333,759.066666666667,792.533333333333,765.5,745.2,784.966666666667,0,0,0,0,0,0,0,0,0,39.6521412736707,38.1332816034472,41.1129731689383,41.5043375098565,40.0740249811084,42.7914963191729,0,0,0
80,30,24992.4,24241.1666666667,25777.7333333333,149183,148186.2,150133.1,1059.8,1041.33333333333,1079.5,1082.06666666667,1053.23333333333,1112.43333333333,0,0,0,0,0,0,0,0,0,36.738688852674,35.4129147124468,38.1132076523938,41.3550009583888,40.1007421244396,42.622993357299,0,0,0
90,30,14678.9333333333,14063.1,15311.6333333333,133430.2,131885.166666667,134830.1,1368.96666666667,1347.13333333333,1390.2,1525.23333333333,1480.7,1570.23333333333,0,0,0,0,0,0,0,0,0,29.3095996204107,27.8013435115175,30.7866967517995,40.9640917583825,40.0000054493813,41.92136435309,0,0,0
100,30,7049.9,6657,7475.9,111372.033333333,109275.266666667,113355.533333333,1576.33333333333,1561.83333333333,1589.76666666667,2145.36666666667,2090.73333333333,2200.53333333333,0,0,0,0,0,0,0,0,0,15.3007959535154,13.6954435145867,16.7741342786089,40.6818060614311,39.8314135132823,41.491318364023,0,0,0
110,30,3651.1,3483.4,3811.96666666667,81266.1333333333,78633.1666666667,84057.9,1654.13333333333,1646.6,1661.56666666667,3004.43333333333,2930.2,3084.06666666667,0,0,0,0,0,0,0,0,0,4.99095177584535,3.95207755421144,5.90210470271062,40.0733422293416,39.3898924656849,40.784916385571,0,0,0
120,30,2884.3,2745.9,3001.7,45150.2666666667,42169.8,48131.7333333333,1664.53333333333,1656.53333333333,1671.63333333333,4045.33333333333,3955.53333333333,4129.53333333333,0,0,0,0,0,0,0,0,0,0.649449540036521,-0.109703721855669,1.32836852383124,34.8381359626325,33.6733784040014,35.9119726443443,0,0,0
130,30,2795.1,2649.53333333333,2936.9,16960.6333333333,15344.2666666667,18564.3,1655.2,1645.83333333333,1665.06666666667,4863,4808.3,4915.06666666667,0,0,0,0,0,0,0,0,0,-0.538146937341563,-1.41081402486214,0.354330787194954,20.4135277765208,19.0619004576822,21.6996376390044,0,0,0
140,30,2794.46666666667,2649.4,2928.7,5333.46666666667,4843.4,5781.03333333333,1655.83333333333,1649.3,1663.1,5148.66666666667,5130.26666666667,5167.56666666667,0,0,0,0,0,0,0,0,0,0.0655401702257912,-0.690512977278015,0.762553531248195,5.96537707994478,4.83871317427497,7.22674438545582,0,0,0
150,30,2801.4,2674.63333333333,2929.06666666667,2908.23333333333,2747.63333333333,3071.86666666667,1633.9,1625.53333333333,1641.63333333333,5136,5119.5,5152.03333333333,0,0,0,0,0,0,0,0,0,-1.30882745388281,-2.00771040563288,-0.65264785225467,-0.233463619874812,-0.773773954562624,0.360597603879773,0,0,0
160,30,3128.96666666667,2987.06666666667,3277.23333333333,2799,2626.8,2967.86666666667,1651.26666666667,1643.7,1659,5102,5086.23333333333,5117.56666666667,0,0,0,0,0,0,0,0,0,1.08557413676111,0.353724354044159,1.81853429086613,-0.651710073314277,-1.19127772044987,-0.158639923812325,0,0,0
170,30,2953.73333333333,2808.26666666667,3101.16666666667,2878.13333333333,2723.7,3031.1,1647.43333333333,1639.16666666667,1654.6,5098.3,5079.2,5116.23333333333,0,0,0,0,0,0,0,0,0,-0.214098296785872,-0.938010415405401,0.44435715132581,-0.0595901710945358,-0.636366261751499,0.522128674688326,0,0,0
180,30,2960,2831.86666666667,3083.13333333333,2889.5,2714.73333333333,3081.53333333333,1647.73333333333,1637.63333333333,1658,5125.76666666667,5107,5145.5,0,0,0,0,0,0,0,0,0,0.0370693329777282,-0.74697040866787,0.857506674039472,0.551865766737724,-0.0233462837162757,1.11845741261741,0,0,0
190,30,2984.56666666667,2879.66666666667,3106.03333333333,2805.7,2611.43333333333,2996.03333333333,1643.36666666667,1632.06666666667,1653.4,5120.46666666667,5105.36666666667,5135.06666666667,0,0,0,0,0,0,0,0,0,-0.218681803573304,-1.2901708518861,0.937582108542621,-0.0902960120659844,-0.656043442090313,0.442217849842705,0,0,0
200,30,2862.43333333333,2735.9,2991.16666666667,2934.16666666667,2778.16666666667,3084.9,1652.53333333333,1645.06666666667,1659.83333333333,5097.3,5082.7,5110.16666666667,0,0,0,0,0,0,0,0,0,0.597496673133039,-0.313263250616506,1.48613844449851,-0.443922561942393,-0.880029442846709,-0.0114229877617374,0,0,0
210,30,3560.76666666667,3407.7,3718.13333333333,3903.9,3713.26666666667,4099.66666666667,1533.26666666667,1526.06666666667,1539.2,4772.6,4756.76666666667,4788.93333333333,15.5,14.4,16.5333333333333,45.5333333333333,43.7,47.3,175.766666666667,171.9,180.1,-7.2018399762457,-7.7808346723822,-6.59874342505662,-6.36491232045379,-6.78249348164492,-5.95786397124608,0,0,0
220,30,5553.73333333333,5420.86666666667,5704.63333333333,7558.6,7318.23333333333,7792.83333333333,1421.5,1411.1,1433.53333333333,4533.13333333333,4509.6,4552.26666666667,20.3666666666667,18.5666666666667,22.1666666666667,62.1333333333333,59.5666666666667,64.9666666666667,313.1,304.766666666667,321.966666666667,-7.2780056918288,-8.05753318795886,-6.45896732118743,-5.00939921112653,-5.53382703466567,-4.4909119255856,78.1389272935545,75.3655391152932,80.7231938709686
230,30,9035.73333333333,8705.56666666667,9387.56666666667,13962.5666666667,13466.3,14437.9,1245.46666666667,1228.56666666667,1260.43333333333,4093.33333333333,4056.23333333333,4128.16666666667,27.7,26.1,29.3,103.166666666667,98.7333333333333,107.866666666667,535.833333333333,521.833333333333,549.233333333333,-12.381333625821,-13.3115753332919,-11.4819244394522,-9.69202693992378,-10.6009398420231,-8.87616517058739,71.2548465674725,69.4756298422179,72.7920892058025
240,30,16549.6,15792.6333333333,17222.8,32216.1333333333,30573.8666666667,33740.6333333333,918.666666666667,895.3,941.1,3219.16666666667,3154.43333333333,3278.33333333333,43.8,40.9333333333333,46.5666666666667,150,145.333333333333,154.533333333333,841.733333333333,823.9,858.9,-26.2798106257105,-27.6307286073958,-25.1108240390074,-21.3944226692999,-22.4001377591341,-20.3940854763917,57.3531936377961,55.4083978845258,59.362812370515
