timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,62500,62500,100,100,0,0,0
10,57502,57407,97,101,0,0,0
20,57612,57264,145,137,0,0,0
30,55326,55608,192,193,0,0,0
40,52968,53074,272,264,0,0,0
50,48588,49477,399,367,0,0,0
60,42791,44394,545,509,0,0,0
70,35211,36791,773,714,0,0,0
80,24433,27552,1068,1001,0,0,0
90,14149,16104,1397,1339,0,0,0
100,6478,7876,1573,1567,0,0,0
110,3507,3622,1670,1639,0,0,0
120,3046,3011,1641,1680,0,0,0
130,2960,2556,1649,1676,0,0,0
140,2480,2824,1664,1638,0,0,0
150,3060,3423,1667,1624,0,0,0
160,2495,2515,1653,1708,0,0,0
170,2858,1985,1643,1648,0,0,0
180,3179,2531,1636,1698,0,0,0
190,3133,2917,1642,1618,0,0,0
200,2889,3462,1705,1635,0,0,0
210,2713,3565,1482,1514,16,15,86
220,5981,5048,1461,1508,14,19,101
230,5907,5115,1461,1496,18,11,113
240,7000,5788,1454,1465,18,22,115
250,6903,5939,1411,1440,14,14,122
260,7703,7276,1390,1403,20,19,136
270,7964,7518,1357,1396,22,19,148
280,8634,8442,1392,1326,18,24,153
290,8149,9217,1359,1384,17,19,163
300,8163,8629,1328,1308,14,27,181
310,10116,10280,1283,1300,22,24,196
320,11312,10735,1211,1243,29,36,198
330,12617,11595,1232,1269,23,29,182
340,12920,10755,1213,1255,25,27,181
350,12503,11603,1206,1262,22,27,174
360,12816,11435,1280,1244,12,38,162
370,11282,11938,1254,1295,17,22,155
380,10974,9883,1269,1316,21,12,143
390,9884,9404,1360,1324,20,20,132
400,9142,9374,1378,1360,12,19,141
410,8276,8638,1392,1369,26,14,165
420,7233,9262,1375,1313,27,28,175
430,8367,10792,1329,1207,18,27,178
440,9653,12213,1293,1241,28,28,164
450,10118,12853,1301,1262,19,20,160
460,10406,12309,1298,1219,25,27,161
470,10761,12186,1278,1268,22,21,176
480,11509,11602,1250,1309,19,32,166
490,12682,9972,1222,1264,26,23,173
500,13017,10985,1217,1246,25,23,186
510,12748,11533,1169,1319,26,26,186
520,13973,10302,1217,1222,25,24,163
530,12243,12618,1235,1250,21,24,161
540,12065,11903,1246,1273,31,18,157
550,11988,10638,1289,1317,23,28,137
560,10245,10191,1329,1323,19,25,149
570,9496,9229,1302,1290,16,28,144
580,9883,9764,1333,1342,22,25,149
590,9972,9336,1346,1308,21,19,159
600,9319,10990,1346,1308,20,18,152
610,8737,10653,1338,1256,29,38,160
620,9387,11241,1333,1291,22,22,174
630,9423,10789,1315,1333,28,22,174
640,9494,9400,1354,1266,22,29,178
650,8920,11050,1298,1298,27,15,180
660,10420,10933,1281,1234,28,28,193
670,11712,12505,1255,1232,27,21,188
680,11838,12291,1182,1201,25,29,188
690,15336,13401,1109,1229,19,22,208
700,16823,13498,1140,1129,25,40,182
710,14893,15988,1137,1167,19,26,160
720,14865,14078,1186,1206,21,22,156
730,13336,12489,1224,1234,23,21,159
740,12710,11789,1286,1261,26,24,140
750,10210,11523,1292,1332,21,15,139
760,9955,9728,1327,1310,20,28,141
770,9258,9296,1388,1359,21,22,151
780,8182,8938,1352,1319,27,19,161
790,9067,10348,1369,1329,23,17,163
800,9394,10211,1319,1262,22,21,172
810,10535,11386,1209,1264,31,26,178
820,13953,11539,1259,1240,23,28,176
830,11411,11420,1269,1257,33,30,186
840,11851,11531,1189,1262,29,29,181
850,14169,11708,1145,1225,18,23,170
860,15453,12384,1200,1264,19,24,167
870,13374,11058,1180,1244,23,24,173
880,13230,12915,1250,1202,21,25,162
890,11612,13476,1328,1204,28,31,166
900,10091,12650,1248,1233,20,21,161
910,11051,11852,1296,1308,25,23,151
920,10054,11251,1362,1219,19,27,147
930,8898,12643,1355,1293,17,20,156
940,8637,10957,1377,1278,30,22,156
950,8455,10968,1359,1316,27,23,171
960,9666,9711,1269,1317,17,32,180
970,10862,10301,1275,1252,30,32,168
980,10866,12235,1320,1216,20,24,173
990,10262,12392,1283,1232,28,25,171
1000,11208,12444,1297,1251,23,25,165
