timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,62500,125000,100,100,0,0,0
10,57459,57504,104,97,0,0,0
20,57368,57734,144,143,0,0,0
30,55262,55518,215,206,0,0,0
40,51885,51964,299,258,0,0,0
50,47464,49745,409,383,0,0,0
60,42203,43632,586,541,0,0,0
70,33117,35600,810,742,0,0,0
80,23388,26377,1116,1048,0,0,0
90,13004,14369,1449,1366,0,0,0
100,5316,7524,1621,1523,0,0,0
110,3454,4171,1643,1649,0,0,0
120,2672,3126,1609,1731,0,0,0
130,3141,2790,1647,1604,0,0,0
140,2820,3116,1684,1627,0,0,0
150,1936,3420,1645,1662,0,0,0
160,3474,2913,1653,1629,0,0,0
170,2535,3501,1666,1641,0,0,0
180,2752,3182,1664,1647,0,0,0
190,2492,3152,1597,1650,0,0,0
200,3249,2748,1641,1627,0,0,0
210,4241,4228,1472,1520,20,24,98
220,6365,4931,1417,1475,22,11,121
230,7219,6243,1416,1464,20,10,136
240,7950,6629,1398,1405,22,16,158
250,7785,8127,1307,1343,17,29,177
260,10508,9171,1299,1258,25,24,186
270,11285,11837,1198,1221,24,27,209
280,13880,13665,1205,1182,38,21,193
290,12821,13985,1192,1173,25,32,202
300,14080,14964,1139,1132,29,21,171
310,14545,15249,1201,1141,31,25,156
320,13135,14582,1260,1186,27,19,148
330,11415,13326,1234,1282,21,18,133
340,12053,10435,1242,1303,22,17,140
350,12093,10771,1307,1330,26,15,139
360,10550,9317,1284,1373,26,22,153
370,10575,8347,1274,1327,25,24,160
380,11198,10154,1285,1319,21,22,191
390,11424,10428,1247,1244,30,33,186
400,12396,12080,1244,1266,23,28,190
410,11309,11080,1199,1278,32,22,189
420,14278,10589,1126,1244,30,28,202
430,15235,11935,1169,1247,23,27,181
440,13895,12312,1187,1219,25,25,169
450,13824,12601,1176,1218,31,24,169
460,12869,12640,1267,1232,23,33,165
470,10699,12221,1280,1218,20,26,157
480,11263,12452,1250,1216,21,24,160
490,11452,12608,1262,1249,27,20,188
500,11553,12729,1229,1201,31,22,180
510,12642,13243,1234,1180,26,11,178
520,12275,13697,1240,1161,22,29,187
530,12022,15054,1232,1195,21,29,180
540,12852,12663,1206,1180,22,30,172
550,13106,13080,1217,1208,23,17,164
560,11924,12989,1276,1246,20,31,173
570,11189,12592,1257,1207,23,27,197
580,11755,14021,1224,1148,27,28,195
590,12353,15575,1212,1149,26,25,168
600,12521,15241,1227,1128,28,27,161
610,11950,16001,1312,1112,21,24,168
620,9950,15857,1240,1210,23,17,175
630,11604,13187,1230,1213,30,25,166
640,11639,12959,1270,1195,16,29,177
650,11019,13453,1268,1199,22,28,168
660,11518,13295,1233,1240,24,24,167
670,11898,11618,1267,1257,20,24,163
680,11961,11167,1251,1275,28,27,171
690,12248,11368,1209,1240,31,19,194
700,13394,12845,1157,1177,28,29,204
710,15711,13911,1110,1161,24,29,197
720,15949,14069,1105,1184,33,18,162
730,16136,12939,1147,1191,27,15,139
740,14453,12892,1227,1248,16,25,139
750,12230,11342,1247,1352,22,19,132
760,11240,9346,1325,1315,9,20,143
770,8812,10025,1354,1288,20,26,163
780,8509,10528,1357,1316,30,21,170
790,9536,10073,1267,1268,25,24,176
800,10811,12077,1252,1200,24,16,182
810,12012,13756,1217,1178,25,20,174
820,13262,13165,1212,1263,25,19,161
830,12255,11297,1248,1231,18,30,179
840,11491,11706,1255,1285,24,31,163
850,11004,9932,1296,1318,23,18,150
860,10186,9788,1319,1283,14,28,163
870,10067,10340,1304,1275,26,25,187
880,10514,11263,1235,1280,29,22,182
890,11436,11774,1237,1257,33,32,181
900,12741,11149,1182,1217,24,26,190
910,12948,12897,1186,1189,24,28,187
920,14134,12736,1173,1232,26,23,171
930,14316,12880,1189,1202,26,22,175
940,13837,13140,1199,1242,22,20,154
950,13209,12116,1215,1273,28,21,165
960,13094,10555,1220,1274,22,23,178
970,13375,10830,1184,1267,20,20,168
980,13847,11186,1198,1264,31,27,173
990,12567,11303,1223,1284,26,31,176
1000,12459,10885,1230,1272,18,25,170
