"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,62500,312500,100,100,0,0,0,0,0,0
1,10,57643,307533,97,104,0,0,0,-3,4,0
1,20,57606,307269,143,151,0,0,0,47.4226804123711,45.1923076923077,0
1,30,55495,305057,191,209,0,0,0,33.5664335664336,38.4105960264901,0
1,40,52904,301980,261,285,0,0,0,36.6492146596859,36.3636363636364,0
1,50,49599,298118,383,413,0,0,0,46.7432950191571,44.9122807017544,0
1,60,43610,291796,523,580,0,0,0,36.5535248041775,40.4358353510896,0
1,70,36418,283429,752,793,0,0,0,43.7858508604207,36.7241379310345,0
1,80,25910,272867,1038,1168,0,0,0,38.031914893617,47.2887767969735,0
1,90,14998,253761,1307,1612,0,0,0,25.9152215799615,38.013698630137,0
1,100,7416,231812,1587,2320,0,0,0,21.4231063504208,43.9205955334988,0
1,110,3954,196553,1638,3242,0,0,0,3.21361058601134,39.7413793103448,0
1,120,3590,150563,1634,4524,0,0,0,-0.244200244200244,39.5434916718075,0
1,130,3140,93115,1643,6230,0,0,0,0.550795593635251,37.709991158267,0
1,140,3045,35584,1696,7930,0,0,0,3.2258064516129,27.2873194221509,0
1,150,2748,9911,1677,8583,0,0,0,-1.12028301886792,8.23455233291299,0
1,160,2065,3958,1598,8630,0,0,0,-4.71079308288611,0.547594081323547,0
1,170,3087,3413,1643,8582,0,0,0,2.81602002503129,-0.556199304750869,0
1,180,2777,2952,1625,8482,0,0,0,-1.09555690809495,-1.16522955022139,0
1,190,3746,3284,1649,8584,0,0,0,1.47692307692308,1.20254656920538,0
1,200,2872,2656,1646,8542,0,0,0,-0.181928441479685,-0.48928238583411,0
1,210,3540,5057,1529,8133,9,51,196,-7.10814094775213,-4.78810583001639,0
1,220,5760,7822,1458,7924,17,74,374,-4.64355788096795,-2.56977744989549,90.8163265306122
1,230,7832,15465,1323,7157,19,120,721,-9.25925925925926,-9.67945482079758,92.7807486631016
